met_day,fire_count,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2015-01-01,3,114.238,167.607,86.892,8.268,11.112,5.062,6.771,9.929,3.1,7.627,10.529,4.329,89.77,92.343,85.957,1027.801,1018.372,1027.146,11.892,16.2,825.104,512.5,30.667,0.0,0.0,0.025,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,114.238,167.607,86.892,206.917,1.0,8
2015-01-02,4,309.756,497.325,116.63,8.199,11.775,4.225,3.232,10.086,0.086,6.19,10.971,2.829,71.207,90.5,55.743,1028.983,1019.558,1028.417,9.667,15.2,2515.521,647.5,26.333,0.0,0.662,2.162,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,309.756,497.325,116.63,263.948,1.0,8
2015-01-03,3,66.956,188.268,21.046,4.34,6.1,2.05,3.267,5.8,1.1,3.976,6.029,1.886,92.155,97.514,78.771,1023.976,1014.481,1023.479,6.275,10.2,1043.75,212.5,,0.0,0.0,0.025,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,66.956,188.268,21.046,69.352,2.0,8
2015-01-04,4,25.074,51.732,8.491,1.143,2.7,-0.862,0.931,2.533,-1.267,1.22,2.867,-1.033,96.397,98.717,93.1,1035.275,1025.565,1034.708,2.167,4.2,222.625,11.5,,0.0,0.0,0.075,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,25.074,51.732,8.491,191.886,3.0,8
2015-01-05,3,128.813,251.367,39.453,6.665,8.888,3.662,4.757,7.2,2.9,5.836,7.943,3.371,87.856,95.514,77.371,1029.182,1019.713,1028.583,4.108,6.6,1349.375,332.5,,0.0,0.0,0.062,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,128.813,251.367,39.453,202.229,1.5,8
2015-01-06,2,148.318,259.092,53.818,6.956,9.6,2.775,4.739,8.486,1.486,6.065,9.057,2.357,85.367,94.814,75.543,1021.399,1011.993,1020.812,6.6,12.2,2412.917,435.0,22.0,0.0,0.075,0.3,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,148.318,259.092,53.818,218.542,1.5,8
2015-01-07,3,137.071,306.255,25.951,5.455,8.8,0.962,3.355,6.957,0.0,4.532,7.9,0.6,86.764,96.314,73.114,1023.822,1014.374,1023.125,8.758,14.0,2083.333,1075.0,26.5,0.0,0.0,0.288,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,137.071,306.255,25.951,210.147,1.5,8
2015-01-08,1,143.985,264.183,50.456,8.569,10.5,6.625,6.607,9.743,3.943,7.726,10.129,5.571,87.18,95.629,77.929,1021.062,1011.715,1020.479,7.583,11.8,1758.75,395.0,23.0,0.0,0.262,1.025,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,143.985,264.183,50.456,248.475,2.0,8
2015-01-09,1,280.163,426.733,163.847,11.558,14.288,8.775,8.581,11.45,5.925,10.257,12.575,7.825,80.281,87.7,70.662,1018.215,1009.001,1017.625,14.783,21.8,2898.674,1100.0,34.75,0.0,0.325,0.938,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,280.163,426.733,163.847,244.41,1.5,8
2015-01-10,3,302.669,526.706,173.436,9.915,13.262,4.712,5.356,10.5,-0.725,7.97,11.75,3.075,74.054,87.9,54.675,1014.994,1005.732,1014.458,16.425,23.4,3013.542,1225.0,38.25,0.0,0.125,0.638,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,302.669,526.706,173.436,260.495,2.0,8
2015-01-11,5,252.783,402.491,150.703,5.46,7.825,2.962,0.922,3.312,-0.95,3.677,5.675,1.738,72.748,80.388,61.962,1022.251,1012.792,1021.625,11.717,14.4,2716.667,1100.0,21.5,0.0,0.488,1.725,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,252.783,402.491,150.703,246.601,1.0,8
2015-01-12,1,216.875,359.292,92.754,9.944,11.338,7.962,6.961,9.538,3.55,8.567,10.162,6.3,82.085,92.65,69.362,1010.843,1001.639,1010.167,14.75,19.6,2252.812,817.5,29.5,0.0,0.0,0.125,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,216.875,359.292,92.754,225.849,1.0,8
2015-01-13,2,163.629,313.901,78.802,7.325,10.488,3.6,4.745,9.412,1.012,6.215,9.938,2.612,83.865,93.412,72.462,1002.569,993.364,995.958,8.942,14.0,3236.458,1000.0,24.0,0.0,0.5,1.462,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,163.629,313.901,78.802,232.055,2.0,8
