met_day,pump_hours,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count,days_since_rain,rain_category
2009-01-01,12,125.078,169.058,94.664,1.714,2.656,0.9,-0.996,-0.4,-1.489,0.745,1.389,0.089,82.223,86.189,77.7,1030.293,1021.384,1029.979,3.344,4.286,559.583,418.333,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,125.078,169.058,94.664,57.512,2.667,9,,unknown
2009-01-02,4,130.115,228.256,54.409,2.509,4.25,0.762,-0.105,1.312,-3.012,1.553,2.7,-0.5,83.077,92.562,71.05,1030.133,1021.25,1029.75,5.826,8.5,970.917,310.0,,0.0,0.162,0.188,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,130.115,228.256,54.409,35.008,0.667,8,,unknown
2009-01-03,2,165.936,282.691,101.357,-1.146,1.6,-3.1,-4.843,-4.022,-5.556,-2.208,-0.5,-3.589,73.924,82.444,62.489,1029.925,1020.921,1029.396,2.821,4.0,1842.5,1140.0,,0.0,0.689,0.733,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,165.936,282.691,101.357,20.267,3.0,9,,unknown
2009-01-04,7,102.043,139.882,75.277,-2.444,-0.878,-4.367,-4.777,-3.467,-6.022,-3.059,-1.744,-4.544,81.276,85.789,76.333,1023.638,1014.671,1023.229,2.726,4.714,995.208,735.0,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,102.043,139.882,75.277,223.16,4.0,9,,unknown
2009-01-05,6,115.124,211.089,39.796,0.761,2.156,-0.667,-1.724,0.233,-4.111,-0.037,1.111,-1.533,82.601,94.067,69.178,1021.738,1012.856,1021.5,10.568,13.714,1340.556,486.667,,0.0,0.211,0.1,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,10006.0,6.0,115.124,211.089,39.796,31.189,13.0,9,,unknown
2009-01-06,3,121.733,242.883,60.971,-1.898,0.189,-3.989,-4.926,-4.122,-6.689,-2.729,-1.656,-4.211,77.766,86.289,62.622,1026.997,1017.966,1026.729,4.542,5.857,1761.111,1050.0,,0.0,0.711,0.756,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,121.733,242.883,60.971,74.473,8.0,9,,unknown
2009-01-07,2,69.324,105.635,32.324,-0.425,1.722,-3.956,-1.7,0.256,-4.967,-0.737,1.078,-3.989,88.523,95.033,81.833,1025.973,1017.007,1025.667,2.643,3.714,656.319,441.667,,0.0,0.0,0.022,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,69.324,105.635,32.324,257.657,11.667,9,,unknown
2009-01-08,3,69.879,186.297,25.641,2.032,4.478,0.456,0.697,1.533,-0.2,1.527,3.2,0.233,90.986,96.244,79.311,1029.167,1020.281,1028.979,1.714,3.143,329.097,138.333,,0.0,0.267,0.389,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,69.879,186.297,25.641,177.183,3.0,9,,unknown
2009-01-09,6,81.95,186.575,37.061,-1.296,0.944,-2.911,-2.502,-1.025,-3.925,-1.367,0.05,-2.8,87.489,94.225,74.662,1029.041,1020.015,1028.708,2.107,3.571,273.056,81.667,,0.0,0.411,0.667,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,81.95,186.575,37.061,108.149,4.0,9,,unknown
2009-01-10,7,40.121,53.529,28.854,-3.316,-1.311,-4.667,-4.098,-1.829,-5.629,-3.596,-1.357,-5.114,91.82,94.529,88.457,1027.15,1018.098,1026.792,3.53,6.143,154.514,43.333,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,40.121,53.529,28.854,160.043,4.0,9,,unknown
