met_day,pump_hours,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2023-01-01,11,238.59,362.051,58.36,10.295,12.04,7.36,7.241,8.96,6.06,8.828,10.46,6.94,81.731,94.5,72.92,1008.055,1001.02,,9.448,15.0,1810.0,366.667,,0.0,0.0,0.08,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,238.59,362.051,58.36,226.012,1.0,5
2023-01-02,2,123.016,352.394,33.527,5.94,8.34,2.36,3.898,6.5,0.76,5.081,7.0,1.82,87.318,96.54,67.58,1016.908,1009.697,,4.781,8.75,3601.389,1266.667,,0.0,1.06,1.82,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,123.016,352.394,33.527,239.618,0.0,5
2023-01-03,3,88.982,176.219,25.875,8.485,12.48,3.16,7.226,11.04,1.74,7.848,11.62,2.6,92.359,97.26,86.28,1018.775,1011.628,,9.375,16.5,1729.792,902.5,,0.0,0.0,0.06,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,88.982,176.219,25.875,185.718,1.0,5
2023-01-04,1,267.136,443.551,99.552,12.357,13.48,10.8,9.208,11.54,7.0,10.776,12.1,9.12,81.435,93.2,70.24,1014.631,1007.608,,15.0,20.25,2217.222,920.0,,0.0,0.08,0.1,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,267.136,443.551,99.552,240.74,1.0,5
2023-01-05,5,235.873,386.089,118.438,11.292,13.1,9.62,8.424,9.86,7.0,9.872,11.16,8.5,82.696,90.74,74.2,1018.672,1011.581,,9.969,14.25,2484.722,866.667,,0.0,0.08,0.32,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,235.873,386.089,118.438,227.216,1.0,5
2023-01-06,4,163.233,290.188,74.36,9.753,12.24,6.32,7.591,10.58,4.72,8.713,11.12,5.64,86.728,94.44,77.32,1013.886,1006.798,,9.667,16.5,4084.311,675.0,,0.0,0.46,1.32,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,163.233,290.188,74.36,212.322,1.0,5
2023-01-07,1,206.053,294.196,111.204,10.202,12.26,7.3,7.538,9.72,4.38,8.924,10.94,6.08,83.665,91.06,77.58,1000.794,993.807,,13.156,19.75,2924.167,490.0,,0.0,0.0,0.1,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,206.053,294.196,111.204,193.742,1.0,5
2023-01-08,5,131.321,213.111,81.682,7.194,9.18,5.24,5.21,6.92,3.44,6.308,8.02,4.5,87.328,91.7,81.1,992.989,985.986,,9.417,14.5,2791.875,292.5,,0.0,0.04,0.56,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,131.321,213.111,81.682,202.38,2.0,5
2023-01-09,1,199.423,418.354,66.266,6.515,8.82,5.0,3.216,5.4,1.14,5.138,6.6,3.62,80.077,93.1,62.5,1001.281,994.205,,9.76,14.5,3771.875,1725.0,,0.0,0.48,0.92,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,199.423,418.354,66.266,259.241,1.0,5
2023-01-10,3,128.93,237.095,52.793,8.874,12.58,4.26,6.85,11.28,1.5,7.845,11.78,3.2,88.393,95.94,79.58,1008.438,1001.36,,11.042,17.25,1645.833,305.0,,0.0,0.0,0.0,,26.0,26.0,26.0,6.0,6.0,,31.0,31.0,6.0,,,6.0,1.0,,6.0,128.93,237.095,52.793,204.181,2.0,5
2023-01-11,3,231.035,425.46,133.662,8.928,10.417,7.3,5.603,7.4,3.683,7.419,8.9,6.183,80.092,87.767,65.35,1008.485,1001.416,,12.383,16.2,2938.333,845.0,,0.0,0.55,0.65,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,231.035,425.46,133.662,239.566,1.0,6
2023-01-12,3,216.057,451.073,96.542,10.829,12.417,8.117,7.977,10.333,2.9,9.485,11.233,6.117,82.99,92.883,63.15,1003.136,996.148,,15.142,19.0,2270.625,352.5,,0.0,0.017,0.1,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,216.057,451.073,96.542,236.546,1.0,6
2023-01-13,3,321.505,482.656,174.37,8.156,10.333,6.15,3.165,3.767,2.7,6.021,7.283,4.783,70.997,82.167,61.65,1008.789,1001.682,,13.667,19.4,2883.333,1900.0,,0.0,0.833,1.0,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,321.505,482.656,174.37,246.563,0.0,6
2023-01-14,3,179.58,345.375,61.227,8.942,12.167,5.983,6.262,10.883,1.583,7.753,11.483,4.333,83.783,94.55,67.383,1000.69,993.67,,12.333,17.4,2830.729,432.5,,0.0,0.017,0.067,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,179.58,345.375,61.227,226.149,1.0,6
