met_day,fire_count,VPD_mean,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode,station_count
2019-01-01,5,256.278,8.314,10.443,5.486,4.473,7.171,0.443,6.635,8.8,3.629,76.732,86.886,65.643,1035.58,1028.297,,6.433,9.4,3628.125,2100.0,18.0,0.0,0.057,0.214,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,316.931,1.0,7
2019-01-02,2,248.36,5.016,6.014,4.071,0.392,1.171,-0.657,3.234,3.829,2.471,71.759,78.157,64.314,1042.948,1035.532,,4.683,7.0,2646.875,1925.0,,0.0,0.0,0.1,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,218.445,1.0,7
2019-01-03,7,271.488,4.498,5.257,2.886,-0.88,0.843,-2.643,2.517,3.129,1.5,68.076,79.457,57.143,1043.127,1035.678,,2.9,4.6,3485.417,1575.0,,0.0,0.0,0.057,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,13.595,1.0,7
2019-01-04,1,195.156,2.762,4.157,1.329,-1.354,0.043,-2.614,1.283,2.114,0.086,74.127,82.5,63.443,1042.21,1034.73,,3.417,7.0,1606.25,850.0,,0.0,0.657,2.614,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,344.41,1.0,7
2019-01-05,6,194.998,4.421,5.429,3.086,0.754,1.771,-0.286,3.005,3.871,1.957,76.859,82.671,71.929,1039.033,1031.628,,4.975,8.4,1911.458,975.0,,0.0,0.0,0.0,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,308.242,1.0,7
2019-01-06,8,195.454,7.159,9.557,5.057,4.101,5.857,2.014,5.833,7.686,3.829,80.791,87.043,74.329,1036.774,1029.461,,4.058,6.6,2004.167,1350.0,,0.0,0.029,0.171,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,293.206,1.0,7
2019-01-07,2,193.721,9.151,11.0,6.9,6.479,8.429,4.886,7.913,9.586,6.229,83.377,90.743,78.529,1032.26,1025.027,,8.0,12.8,2865.625,1625.0,18.0,0.0,0.0,0.014,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,56.0,,6.0,67.667,,6.0,260.851,1.0,7
2019-01-08,2,295.328,6.942,9.143,3.571,1.936,3.514,0.686,4.885,6.6,2.557,70.627,83.443,58.029,1027.985,1020.721,,8.675,12.6,2463.542,1450.0,20.0,0.0,0.729,2.343,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,56.0,,6.0,67.667,,6.0,319.701,1.0,7
2019-01-09,5,184.169,3.917,5.771,2.529,0.331,0.929,-0.371,2.552,3.743,1.557,77.396,84.643,69.029,1029.547,1022.197,,7.575,10.2,2798.958,1550.0,,0.0,0.443,1.086,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,273.876,1.0,7
2019-01-10,5,96.675,3.018,5.543,0.414,1.144,4.586,-0.829,2.291,5.143,-0.071,87.467,94.629,78.057,1030.536,1023.155,,3.983,6.0,921.929,357.5,,0.0,0.0,0.043,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,300.935,1.0,7
2019-01-11,1,158.329,6.977,8.3,5.186,4.504,5.443,3.071,5.902,6.786,4.514,84.422,92.571,76.657,1030.119,1022.838,,4.367,6.6,1370.729,517.5,,0.0,0.029,0.586,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,67.667,,6.0,313.529,1.0,7
2019-01-12,4,240.253,8.726,10.143,6.986,5.248,7.071,3.3,7.164,8.529,5.486,78.758,85.114,72.186,1023.078,1015.896,,8.992,12.6,4139.583,2500.0,21.333,0.0,0.0,0.271,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,39.333,,6.0,67.667,,6.0,270.834,1.0,7
2019-01-13,11,303.912,10.418,11.557,9.357,6.32,7.571,1.786,8.521,9.586,6.286,76.034,85.057,57.7,1014.254,1007.166,,11.508,16.4,4015.625,2225.0,26.8,0.0,0.014,0.629,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,26.0,,6.0,67.667,,6.0,283.867,1.0,7
2019-01-14,8,325.743,7.813,9.243,4.786,2.55,3.6,1.071,5.611,6.486,3.357,69.37,78.486,58.857,1020.199,1013.009,,8.308,13.4,2827.083,1875.0,23.5,0.0,0.243,0.686,,20.286,20.286,20.286,6.0,6.0,,26.0,26.0,6.0,56.0,,6.0,67.667,,6.0,302.956,1.0,7
