met_day,fire_count,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2010-01-01,6,113.835,208.517,62.405,0.135,1.733,-1.444,-2.446,-1.589,-3.189,-0.764,0.2,-1.956,82.354,88.944,71.644,1005.674,997.109,1005.125,7.577,9.0,2304.861,1383.333,,0.0,0.7,2.278,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,113.835,208.517,62.405,309.524,4.0,9
2010-01-02,0,107.172,206.526,58.001,1.058,3.156,-0.689,-1.215,-0.444,-2.3,0.235,1.667,-1.289,84.701,90.467,75.167,1015.617,1006.999,1014.979,7.232,9.286,1986.806,1500.0,,0.0,0.644,2.056,0.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,107.172,206.526,58.001,232.349,7.667,9
2010-01-03,5,104.44,186.616,63.2,0.259,1.422,-1.233,-2.066,-0.589,-3.211,-0.558,0.478,-1.8,83.881,90.189,73.622,1023.001,1014.281,1022.375,4.857,6.429,1724.306,1133.333,,0.0,0.433,1.522,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,104.44,186.616,63.2,72.625,4.0,9
2010-01-04,10,71.363,148.855,37.235,-2.577,-0.333,-4.133,-4.175,-3.238,-5.3,-3.19,-1.312,-4.662,86.901,92.4,77.012,1019.666,1010.893,1019.0,2.438,4.0,1156.478,862.0,,0.0,0.689,2.356,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,71.363,148.855,37.235,251.807,4.0,9
2010-01-05,2,93.638,166.812,37.427,-1.596,0.233,-4.067,-3.471,-1.075,-5.25,-2.102,-0.275,-4.462,84.33,93.362,74.888,1005.442,996.832,1004.625,2.382,4.667,1349.583,654.0,,0.0,0.022,0.1,2.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,93.638,166.812,37.427,131.868,4.0,9
2010-01-06,0,48.35,126.393,16.343,0.164,0.767,-1.833,-0.914,0.262,-4.0,-0.22,0.588,-2.712,92.009,97.488,78.562,1003.078,994.522,1002.375,7.16,9.333,729.083,212.0,,0.0,0.0,0.011,6.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,48.35,126.393,16.343,58.524,13.75,9
2010-01-07,1,83.194,128.569,49.321,-3.029,-1.211,-5.378,-4.838,-2.825,-6.962,-3.593,-1.625,-5.975,84.03,89.35,77.588,1011.511,1002.791,1010.979,4.917,8.167,1384.417,844.0,,0.0,0.344,0.822,5.5,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,83.194,128.569,49.321,274.169,14.333,9
2010-01-08,2,68.007,130.063,38.611,-1.456,-0.322,-2.444,-2.942,-2.175,-3.8,-2.022,-1.012,-3.0,88.055,93.138,79.3,1022.047,1013.28,1021.5,6.66,8.5,1003.25,590.0,,0.0,0.222,0.867,5.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,68.007,130.063,38.611,115.868,14.333,9
2010-01-09,2,119.713,180.944,71.712,-1.693,-0.389,-3.067,-4.707,-3.2,-5.533,-2.648,-1.267,-3.7,78.621,86.0,69.644,1023.28,1014.535,1022.917,12.472,14.667,1648.917,890.0,26.0,0.0,0.244,1.022,4.5,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,6.0,6.0,119.713,180.944,71.712,137.443,14.333,9
2010-01-10,3,91.146,125.51,47.013,1.37,1.722,1.067,-0.62,0.122,-1.556,0.661,0.889,0.178,86.657,93.0,81.367,1018.29,1009.638,1017.833,8.493,10.333,1601.25,992.0,,0.0,0.0,0.0,4.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,91.146,125.51,47.013,33.631,14.333,9
2010-01-11,2,70.78,114.018,29.567,0.619,1.067,0.189,-0.931,-0.233,-1.733,0.066,0.422,-0.244,89.202,95.278,83.067,1019.185,1010.502,1018.521,2.521,3.667,578.083,422.0,,0.0,0.0,0.011,2.5,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,70.78,114.018,29.567,66.37,14.0,9
2010-01-12,2,94.463,124.902,63.428,1.148,1.611,0.844,-0.936,-0.333,-1.444,0.404,0.744,0.156,85.933,90.378,81.911,1009.696,1001.11,1009.0,7.185,9.714,501.806,418.333,,0.0,0.0,0.022,2.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,94.463,124.902,63.428,100.905,14.0,9
2010-01-13,3,50.184,95.616,24.483,0.291,1.089,-0.311,-0.788,0.344,-1.667,-0.099,0.822,-0.556,92.22,96.2,85.411,1000.814,992.292,1000.125,4.512,8.857,232.014,121.667,,0.0,0.0,0.278,5.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,50.184,95.616,24.483,98.334,15.667,9
2010-01-14,5,28.459,46.74,14.524,2.195,3.144,0.689,1.64,2.411,0.178,1.982,2.822,0.511,96.172,97.989,93.744,1005.018,996.519,1004.333,4.143,5.286,304.764,127.667,,0.0,0.0,0.022,4.5,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,28.459,46.74,14.524,38.136,12.333,9
2010-01-15,2,44.403,72.701,21.334,2.708,4.422,0.622,1.912,3.444,0.1,2.39,3.989,0.433,94.673,96.911,92.156,1017.471,1008.89,1016.688,5.845,8.714,515.486,201.667,,0.0,0.0,0.089,0.0,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,44.403,72.701,21.334,170.235,12.333,9
2010-01-16,2,69.792,119.06,34.469,5.362,6.589,4.044,4.161,5.978,1.944,4.863,6.333,3.233,92.044,96.178,85.767,1006.847,998.425,1005.958,9.952,13.0,690.694,313.333,,0.0,0.0,0.0,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,69.792,119.06,34.469,161.324,5.0,9
2010-01-17,7,99.887,247.112,23.975,5.076,7.333,2.944,3.479,5.844,2.078,4.392,6.167,2.6,89.738,97.367,77.978,1016.539,1008.048,1015.833,5.78,8.429,1786.111,1183.333,,0.0,0.678,2.267,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,99.887,247.112,23.975,218.621,4.667,9
2010-01-18,4,33.324,65.162,7.689,4.392,6.0,2.2,3.866,5.156,1.856,4.164,5.589,2.056,96.396,99.067,93.556,1025.091,1016.516,1024.458,3.875,5.857,502.083,91.667,,0.0,0.0,0.256,,6.0,6.0,6.0,31.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,33.324,65.162,7.689,202.809,1.667,9
