date,fire_count
2010-01-01,3
2010-01-02,2
2010-01-03,7
2010-01-04,8
2010-01-05,3
2010-01-06,1
2010-01-07,2
2010-01-08,1
2010-01-09,3
2010-01-10,4
2010-01-11,2
2010-01-12,1
2010-01-13,3
2010-01-14,1
2010-01-15,2
2010-01-16,0
2010-01-17,5
2010-01-18,3
2010-01-19,3
2010-01-20,2
2010-01-21,1
2010-01-22,0
2010-01-23,4
2010-01-24,1
2010-01-25,3
2010-01-26,1
2010-01-27,2
2010-01-28,3
2010-01-29,1
2010-01-30,4
2010-01-31,5
2010-02-01,3
2010-02-02,1
2010-02-03,1
2010-02-04,3
2010-02-05,0
2010-02-06,4
2010-02-07,0
2010-02-08,2
2010-02-09,2
2010-02-10,1
2010-02-11,1
2010-02-12,4
2010-02-13,3
2010-02-14,1
2010-02-15,1
2010-02-16,2
2010-02-17,1
2010-02-18,2
2010-02-19,2
2010-02-20,4
2010-02-21,3
2010-02-22,0
2010-02-23,0
2010-02-24,1
2010-02-25,0
2010-02-26,2
2010-02-27,3
2010-02-28,1
2010-03-01,1
2010-03-02,1
2010-03-03,2
2010-03-04,5
2010-03-05,6
2010-03-06,5
2010-03-07,7
2010-03-08,8
2010-03-09,7
2010-03-10,8
2010-03-11,6
2010-03-12,8
2010-03-13,8
2010-03-14,18
2010-03-15,12
2010-03-16,20
2010-03-17,13
2010-03-18,14
2010-03-19,2
2010-03-20,2
2010-03-21,7
2010-03-22,4
2010-03-23,2
2010-03-24,6
2010-03-25,2
2010-03-26,2
2010-03-27,2
2010-03-28,7
2010-03-29,3
2010-03-30,0
2010-03-31,3
2010-04-01,2
2010-04-02,2
2010-04-03,3
2010-04-04,4
2010-04-05,6
2010-04-06,10
2010-04-07,5
2010-04-08,9
2010-04-09,16
2010-04-10,13
2010-04-11,23
2010-04-12,16
2010-04-13,18
2010-04-14,20
2010-04-15,22
2010-04-16,10
2010-04-17,17
2010-04-18,16
2010-04-19,18
2010-04-20,9
2010-04-21,15
2010-04-22,26
2010-04-23,27
2010-04-24,28
2010-04-25,22
2010-04-26,17
2010-04-27,14
2010-04-28,17
2010-04-29,15
2010-04-30,9
2010-05-01,12
2010-05-02,3
2010-05-03,6
2010-05-04,6
2010-05-05,6
2010-05-06,14
2010-05-07,13
2010-05-08,3
2010-05-09,14
2010-05-10,6
2010-05-11,6
2010-05-12,8
2010-05-13,17
2010-05-14,7
2010-05-15,20
2010-05-16,8
2010-05-17,7
2010-05-18,10
2010-05-19,21
2010-05-20,10
2010-05-21,21
2010-05-22,19
2010-05-23,23
2010-05-24,22
2010-05-25,23
2010-05-26,15
2010-05-27,10
2010-05-28,17
2010-05-29,5
2010-05-30,14
2010-05-31,23
2010-06-01,5
2010-06-02,10
2010-06-03,23
2010-06-04,17
2010-06-05,18
2010-06-06,9
2010-06-07,10
2010-06-08,3
2010-06-09,6
2010-06-10,11
2010-06-11,9
2010-06-12,10
2010-06-13,14
2010-06-14,10
2010-06-15,20
2010-06-16,25
2010-06-17,15
2010-06-18,10
2010-06-19,23
2010-06-20,27
2010-06-21,31
2010-06-22,39
2010-06-23,34
2010-06-24,33
2010-06-25,34
2010-06-26,51
2010-06-27,47
2010-06-28,73
2010-06-29,35
2010-06-30,44
2010-07-01,41
2010-07-02,41
2010-07-03,59
2010-07-04,71
2010-07-05,69
2010-07-06,62
2010-07-07,46
2010-07-08,34
2010-07-09,63
2010-07-10,88
2010-07-11,68
2010-07-12,49
2010-07-13,14
2010-07-14,17
2010-07-15,22
2010-07-16,37
2010-07-17,48
2010-07-18,49
2010-07-19,66
2010-07-20,77
2010-07-21,99
2010-07-22,35
2010-07-23,54
2010-07-24,82
2010-07-25,81
2010-07-26,44
2010-07-27,38
2010-07-28,68
2010-07-29,73
2010-07-30,58
2010-07-31,45
2010-08-01,55
2010-08-02,77
2010-08-03,82
2010-08-04,16
2010-08-05,41
2010-08-06,35
2010-08-07,17
2010-08-08,30
2010-08-09,41
2010-08-10,4
2010-08-11,13
2010-08-12,7
2010-08-13,8
2010-08-14,6
2010-08-15,22
2010-08-16,18
2010-08-17,12
2010-08-18,13
2010-08-19,19
2010-08-20,13
2010-08-21,16
2010-08-22,11
2010-08-23,5
2010-08-24,10
2010-08-25,2
2010-08-26,2
2010-08-27,1
2010-08-28,5
2010-08-29,4
2010-08-30,11
2010-08-31,10
2010-09-01,19
2010-09-02,13
2010-09-03,20
2010-09-04,13
2010-09-05,10
2010-09-06,6
2010-09-07,7
2010-09-08,2
2010-09-09,3
2010-09-10,6
2010-09-11,16
2010-09-12,17
2010-09-13,6
2010-09-14,4
2010-09-15,5
2010-09-16,7
2010-09-17,8
2010-09-18,16
2010-09-19,16
2010-09-20,11
2010-09-21,13
2010-09-22,15
2010-09-23,4
2010-09-24,4
2010-09-25,7
2010-09-26,5
2010-09-27,7
2010-09-28,3
2010-09-29,1
2010-09-30,1
2010-10-01,1
2010-10-02,0
2010-10-03,4
2010-10-04,2
2010-10-05,5
2010-10-06,3
2010-10-07,1
2010-10-08,6
2010-10-09,8
2010-10-10,7
2010-10-11,9
2010-10-12,8
2010-10-13,9
2010-10-14,3
2010-10-15,6
2010-10-16,5
2010-10-17,7
2010-10-18,6
2010-10-19,3
2010-10-20,4
2010-10-21,9
2010-10-22,7
2010-10-23,2
2010-10-24,6
2010-10-25,6
2010-10-26,2
2010-10-27,5
2010-10-28,1
2010-10-29,6
2010-10-30,10
2010-10-31,8
2010-11-01,1
2010-11-02,10
2010-11-03,7
2010-11-04,7
2010-11-05,31
2010-11-06,17
2010-11-07,13
2010-11-08,1
2010-11-09,2
2010-11-10,2
2010-11-11,0
2010-11-12,2
2010-11-13,4
2010-11-14,1
2010-11-15,0
2010-11-16,2
2010-11-17,3
2010-11-18,0
2010-11-19,2
2010-11-20,1
2010-11-21,4
2010-11-22,3
2010-11-23,2
2010-11-24,5
2010-11-25,2
2010-11-26,3
2010-11-27,2
2010-11-28,3
2010-11-29,4
2010-11-30,1
2010-12-01,2
2010-12-02,2
2010-12-03,0
2010-12-04,1
2010-12-05,3
2010-12-06,1
2010-12-07,3
2010-12-08,4
2010-12-09,2
2010-12-10,3
2010-12-11,6
2010-12-12,5
2010-12-13,5
2010-12-14,2
2010-12-15,3
2010-12-16,1
2010-12-17,1
2010-12-18,3
2010-12-19,1
2010-12-20,0
2010-12-21,2
2010-12-22,1
2010-12-23,0
2010-12-24,2
2010-12-25,0
2010-12-26,1
2010-12-27,2
2010-12-28,0
2010-12-29,4
2010-12-30,1
2010-12-31,2
