date,pump_count
2023-01-01,11
2023-01-02,2
2023-01-03,3
2023-01-04,1
2023-01-05,6
2023-01-06,5
2023-01-07,2
2023-01-08,7
2023-01-09,1
2023-01-10,3
2023-01-11,3
2023-01-12,4
2023-01-13,3
2023-01-14,3
2023-01-15,4
2023-01-16,4
2023-01-17,4
2023-01-18,1
2023-01-19,4
2023-01-20,5
2023-01-21,2
2023-01-22,5
2023-01-23,8
2023-01-24,5
2023-01-25,4
2023-01-26,6
2023-01-27,1
2023-01-28,2
2023-01-29,4
2023-01-30,6
2023-01-31,4
2023-02-01,6
2023-02-02,6
2023-02-03,6
2023-02-04,7
2023-02-05,8
2023-02-06,6
2023-02-07,2
2023-02-08,1
2023-02-09,5
2023-02-10,7
2023-02-11,6
2023-02-12,13
2023-02-13,9
2023-02-14,14
2023-02-15,9
2023-02-16,5
2023-02-17,5
2023-02-18,2
2023-02-19,11
2023-02-20,12
2023-02-21,6
2023-02-22,6
2023-02-23,2
2023-02-24,14
2023-02-25,10
2023-02-26,8
2023-02-27,8
2023-02-28,4
2023-03-01,11
2023-03-02,10
2023-03-03,7
2023-03-04,9
2023-03-05,7
2023-03-06,2
2023-03-07,6
2023-03-08,1
2023-03-09,1
2023-03-10,4
2023-03-11,2
2023-03-12,2
2023-03-13,2
2023-03-14,5
2023-03-15,6
2023-03-16,4
2023-03-17,2
2023-03-18,2
2023-03-19,4
2023-03-20,1
2023-03-21,4
2023-03-22,4
2023-03-23,5
2023-03-24,2
2023-03-25,7
2023-03-26,7
2023-03-27,4
2023-03-28,3
2023-03-29,6
2023-03-30,0
2023-03-31,0
2023-04-01,7
2023-04-02,2
2023-04-03,8
2023-04-04,7
2023-04-05,10
2023-04-06,1
2023-04-07,3
2023-04-08,15
2023-04-09,13
2023-04-10,2
2023-04-11,6
2023-04-12,4
2023-04-13,4
2023-04-14,4
2023-04-15,3
2023-04-16,1
2023-04-17,2
2023-04-18,8
2023-04-19,13
2023-04-20,1
2023-04-21,0
2023-04-22,6
2023-04-23,3
2023-04-24,2
2023-04-25,2
2023-04-26,6
2023-04-27,0
2023-04-28,4
2023-04-29,7
2023-04-30,6
2023-05-01,10
2023-05-02,10
2023-05-03,10
2023-05-04,6
2023-05-05,8
2023-05-06,1
2023-05-07,8
2023-05-08,11
2023-05-09,1
2023-05-10,4
2023-05-11,5
2023-05-12,4
2023-05-13,1
2023-05-14,7
2023-05-15,5
2023-05-16,9
2023-05-17,9
2023-05-18,9
2023-05-19,12
2023-05-20,11
2023-05-21,10
2023-05-22,3
2023-05-23,15
2023-05-24,11
2023-05-25,5
2023-05-26,14
2023-05-27,15
2023-05-28,24
2023-05-29,26
2023-05-30,20
2023-05-31,12
2023-06-01,20
