met_day,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,station_count
2012-12-31,9.6,3.3,0.7,1.7,8
2013-01-01,7.7,2.0,-1.1,-0.2,8
2013-01-02,10.6,5.0,6.6,6.7,8
2013-01-03,11.4,8.9,7.8,8.0,8
2013-01-04,10.0,7.6,7.4,7.8,8
2013-01-05,10.5,5.4,2.0,3.3,8
2013-01-06,8.3,6.6,6.3,6.9,8
2013-01-07,9.4,7.0,5.0,5.6,8
2013-01-08,11.1,7.7,7.6,8.0,8
2013-01-09,8.8,-0.6,-4.9,-1.6,8
2013-01-10,3.1,-0.3,-3.5,-1.3,8
2013-01-11,6.6,0.3,-3.4,-1.5,8
2013-01-12,4.6,0.1,-1.5,-0.8,8
2013-01-13,3.0,-0.8,-2.4,-0.4,8
2013-01-14,2.8,-0.4,-1.7,-1.0,8
2013-01-15,2.2,-3.3,-7.9,-3.7,8
2013-01-16,-0.2,-4.8,-9.4,-4.6,8
2013-01-17,3.1,-2.5,-2.1,-1.2,8
2013-01-18,0.3,-2.2,-1.1,-0.2,8
2013-01-19,0.6,-1.7,-1.7,-1.2,8
2013-01-20,-0.3,-1.8,-2.0,-0.9,8
2013-01-21,1.7,-5.3,-8.4,-5.7,8
2013-01-22,2.6,-1.0,0.3,0.7,8
2013-01-23,2.1,0.6,0.2,0.5,8
2013-01-24,1.9,-1.5,-4.0,-2.8,8
2013-01-25,3.2,0.5,-0.5,-0.2,8
2013-01-26,10.1,2.8,4.3,4.0,8
2013-01-27,9.8,1.8,-1.2,-0.9,8
2013-01-28,11.1,3.2,7.5,7.0,8
2013-01-29,13.4,8.2,6.0,6.4,8
2013-01-30,11.5,6.6,4.1,4.0,8
2013-01-31,10.3,4.5,4.1,4.8,8
2013-02-01,7.1,2.0,-0.7,0.4,8
2013-02-02,5.3,-1.4,-5.5,-2.6,8
2013-02-03,10.1,2.9,6.1,5.7,8
2013-02-04,10.4,1.7,-0.7,-0.1,8
2013-02-05,6.0,2.5,1.3,2.0,8
2013-02-06,5.9,0.0,-2.9,-2.1,8
2013-02-07,5.5,-0.8,-4.1,-1.8,8
2013-02-08,5.7,0.6,-1.2,0.6,8
2013-02-09,4.5,2.3,2.1,3.0,8
2013-02-10,4.8,0.2,-0.1,0.0,8
2013-02-11,1.5,0.4,-0.6,0.3,8
2013-02-12,1.8,0.2,-0.4,0.3,8
2013-02-13,8.4,0.6,0.4,1.2,8
2013-02-14,11.2,1.1,-2.5,-0.7,8
2013-02-15,10.2,3.0,-1.0,2.0,8
2013-02-16,10.2,0.3,-4.4,-2.2,8
2013-02-17,10.3,1.2,-3.1,-1.8,8
2013-02-18,8.7,-2.2,-7.2,-3.6,8
2013-02-19,10.9,-0.2,-3.8,-1.0,8
2013-02-20,5.4,0.4,-1.2,0.0,8
2013-02-21,1.9,-0.1,-0.7,-0.0,8
2013-02-22,1.7,-0.3,-0.9,-0.1,8
2013-02-23,2.2,-0.2,-1.6,-0.8,8
2013-02-24,2.7,0.6,-0.9,-0.3,8
2013-02-25,4.0,2.2,1.8,2.4,8
2013-02-26,4.6,1.7,1.6,2.1,8
2013-02-27,6.1,1.4,-0.5,0.0,8
2013-02-28,8.2,2.1,0.8,1.8,8
2013-03-01,6.5,2.1,1.6,2.4,8
2013-03-02,5.2,-2.6,-7.6,-3.7,8
2013-03-03,8.3,1.0,-2.9,-1.3,8
2013-03-04,9.9,0.2,-3.7,-1.8,8
2013-03-05,16.1,5.0,2.2,3.8,8
2013-03-06,13.3,7.0,6.3,6.8,8
2013-03-07,10.0,7.9,8.0,8.1,8
2013-03-08,9.9,5.4,5.4,6.2,8
2013-03-09,6.7,2.0,1.8,3.0,8
2013-03-10,3.4,-1.0,-1.5,-0.4,8
2013-03-11,0.4,-2.4,-3.3,-2.3,8
2013-03-12,4.3,-0.6,-3.0,-2.0,8
2013-03-13,6.7,-3.0,-7.3,-3.9,8
2013-03-14,7.1,1.1,0.2,1.6,8
2013-03-15,8.4,5.6,5.0,5.2,8
2013-03-16,8.4,2.7,-0.0,1.6,8
2013-03-17,7.1,-1.2,-4.8,-2.0,8
2013-03-18,7.9,2.3,0.8,2.4,8
2013-03-19,8.4,1.4,-2.1,-0.2,8
2013-03-20,6.2,0.1,-3.4,-1.3,8
2013-03-21,6.6,2.1,1.2,2.3,8
2013-03-22,5.6,0.6,0.2,0.6,8
2013-03-23,1.4,-0.5,-0.4,0.4,8
2013-03-24,1.1,-0.8,-0.4,0.4,8
2013-03-25,1.1,0.2,-0.7,-0.1,8
2013-03-26,2.0,-0.9,-2.8,-2.3,8
2013-03-27,4.2,-1.6,-4.4,-3.1,8
2013-03-28,4.5,-2.2,-6.5,-3.6,8
2013-03-29,6.2,0.6,-2.2,-0.4,8
2013-03-30,5.6,-3.2,-7.7,-4.2,8
2013-03-31,5.7,0.1,-2.9,-1.0,8
2013-04-01,6.2,-0.7,-3.2,-2.8,8
2013-04-02,8.0,-0.3,-2.9,-2.1,8
2013-04-03,4.8,0.3,-1.6,-1.2,8
2013-04-04,3.2,0.8,-0.3,0.4,8
2013-04-05,7.6,-0.3,-3.0,-2.4,8
2013-04-06,10.1,-1.9,-7.6,-4.0,8
2013-04-07,10.4,3.4,1.2,2.9,8
2013-04-08,10.5,3.0,0.6,2.2,8
2013-04-09,9.1,2.5,0.6,2.2,8
2013-04-10,10.8,4.1,5.5,6.3,8
2013-04-11,12.2,5.8,3.8,4.6,8
2013-04-12,12.0,3.7,0.0,2.1,8
2013-04-13,15.2,9.1,8.8,8.7,8
2013-04-14,19.6,10.3,8.1,8.3,8
2013-04-15,15.6,8.9,6.5,7.4,8
2013-04-16,16.7,8.6,5.9,7.1,8
2013-04-17,18.1,8.6,6.4,6.7,8
2013-04-18,14.6,6.5,4.1,4.8,8
2013-04-19,12.9,1.3,-3.4,1.2,8
2013-04-20,13.7,-0.0,-5.0,0.2,8
2013-04-21,14.4,5.8,3.0,5.0,8
2013-04-22,14.9,8.9,6.9,7.6,8
2013-04-23,20.4,8.1,4.0,7.1,8
2013-04-24,19.4,10.1,6.9,9.8,8
