met_day,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,station_count
2014-12-31,8.0,3.6,1.5,1.1,8
2015-01-01,12.5,7.6,4.6,4.8,8
2015-01-02,9.0,3.3,-1.3,0.4,8
2015-01-03,6.4,-1.2,-4.7,-2.7,8
2015-01-04,6.2,-0.2,1.3,2.4,8
2015-01-05,9.4,6.2,6.2,6.4,8
2015-01-06,10.0,0.4,-3.5,-1.8,8
2015-01-07,11.0,4.3,7.2,7.1,8
2015-01-08,11.5,6.1,3.3,3.4,8
2015-01-09,15.2,10.8,10.8,10.7,8
2015-01-10,13.5,2.6,0.1,0.5,8
2015-01-11,9.7,3.8,5.1,5.3,8
2015-01-12,11.8,6.8,5.6,6.4,8
2015-01-13,9.4,2.2,0.2,0.6,8
2015-01-14,10.6,2.6,4.6,4.6,8
2015-01-15,9.1,4.1,1.0,1.0,8
2015-01-16,7.2,-2.4,-6.8,-3.7,8
2015-01-17,6.8,0.8,-0.1,1.0,8
2015-01-18,4.2,-1.8,-6.3,-2.9,8
2015-01-19,4.9,-4.0,-8.8,-4.6,8
2015-01-20,5.1,-2.9,1.3,1.6,8
2015-01-21,3.6,-0.4,-4.7,-1.9,8
2015-01-22,4.4,-4.6,-9.6,-5.3,8
2015-01-23,8.2,-3.1,-0.8,-0.5,8
2015-01-24,7.0,-1.1,-5.7,-3.0,8
2015-01-25,9.2,1.1,5.9,5.7,8
2015-01-26,9.9,2.0,-1.6,-0.5,8
2015-01-27,9.5,4.3,5.2,5.4,8
2015-01-28,10.2,1.2,-0.9,-1.0,8
2015-01-29,6.6,1.0,-1.0,-0.5,8
2015-01-30,6.1,-0.7,-3.4,-2.5,8
2015-01-31,4.9,0.8,0.0,0.5,8
2015-02-01,5.2,-3.3,-7.0,-4.2,8
2015-02-02,2.4,-1.6,-4.6,-2.4,8
2015-02-03,3.9,0.0,-1.7,-1.2,8
2015-02-04,4.5,0.9,-1.0,-0.6,8
2015-02-05,4.6,-0.2,-2.4,-2.1,8
2015-02-06,5.1,-0.2,-2.7,-2.4,8
2015-02-07,5.2,1.8,-1.8,-1.0,8
2015-02-08,8.5,0.4,-4.7,-2.0,8
2015-02-09,9.4,2.8,-2.5,1.1,8
2015-02-10,6.4,3.9,3.6,4.0,8
2015-02-11,5.0,3.2,2.3,3.1,8
2015-02-12,7.3,1.6,-2.0,-0.6,8
2015-02-13,8.8,3.4,-0.7,1.6,8
2015-02-14,8.4,5.1,3.4,4.0,8
2015-02-15,9.8,0.4,-4.2,-1.5,8
2015-02-16,8.1,1.6,-1.6,-0.7,8
2015-02-17,8.8,-0.2,-4.6,-2.1,8
2015-02-18,10.3,3.5,1.1,1.3,8
2015-02-19,8.2,4.2,2.0,3.3,8
2015-02-20,6.8,1.2,-1.6,-0.1,8
2015-02-21,7.0,-2.3,-6.7,-4.0,8
2015-02-22,9.5,1.3,1.0,1.2,8
2015-02-23,8.3,3.1,0.3,0.4,8
2015-02-24,9.8,4.0,1.5,2.2,8
2015-02-25,12.0,6.7,5.8,7.2,8
2015-02-26,11.0,-0.4,-4.4,-2.2,8
2015-02-27,9.5,3.0,1.0,2.3,8
2015-02-28,10.8,6.6,3.9,4.0,8
2015-03-01,11.5,2.2,-0.5,0.0,8
2015-03-02,8.7,2.4,-1.2,-0.1,8
2015-03-03,9.3,1.4,-1.2,-1.0,8
2015-03-04,10.3,-0.6,-5.6,-2.5,8
2015-03-05,11.8,3.8,1.3,3.3,8
2015-03-06,12.4,5.4,2.0,2.6,8
2015-03-07,15.8,6.1,2.3,2.8,8
2015-03-08,12.4,1.4,-3.3,-0.7,8
2015-03-09,9.9,3.1,-1.9,0.7,8
2015-03-10,12.6,3.0,-1.8,0.9,8
2015-03-11,13.7,5.3,0.5,3.4,8
2015-03-12,14.4,7.0,4.6,5.7,8
2015-03-13,11.5,2.2,-0.7,0.8,8
2015-03-14,8.6,4.6,3.2,4.1,8
2015-03-15,6.8,4.2,3.3,4.5,8
2015-03-16,8.3,3.6,0.2,2.0,8
2015-03-17,12.2,3.3,1.5,2.5,8
2015-03-18,10.6,4.8,4.0,5.2,8
2015-03-19,7.6,4.4,4.4,5.2,8
2015-03-20,12.5,3.9,-0.3,2.3,8
2015-03-21,8.0,3.5,1.7,2.9,8
2015-03-22,9.4,0.2,-4.3,-1.2,8
2015-03-23,11.5,4.3,3.3,4.6,8
2015-03-24,10.2,-0.1,-4.9,-1.7,8
2015-03-25,10.0,2.6,-2.4,1.0,8
2015-03-26,12.8,2.0,-1.9,-0.3,8
2015-03-27,12.8,6.2,3.3,4.6,8
2015-03-28,13.7,8.7,7.6,7.8,8
2015-03-29,13.6,5.4,2.9,3.3,8
2015-03-30,12.3,7.7,6.9,7.4,8
2015-03-31,12.9,3.8,1.5,1.9,8
2015-04-01,11.0,5.7,5.3,6.2,8
2015-04-02,11.3,6.2,5.8,7.2,8
2015-04-03,12.2,7.6,6.8,7.7,8
2015-04-04,9.3,4.9,0.4,3.9,8
2015-04-05,12.8,2.0,-2.4,1.0,8
2015-04-06,16.5,2.3,-2.5,1.5,8
2015-04-07,17.8,5.1,0.2,3.6,8
2015-04-08,17.9,5.0,0.9,4.1,8
2015-04-09,17.8,5.5,0.8,3.6,8
2015-04-10,21.1,9.4,7.0,8.5,8
2015-04-11,13.8,3.4,-1.2,2.0,8
2015-04-12,17.5,7.1,6.5,8.6,8
2015-04-13,16.7,6.1,2.8,4.1,8
2015-04-14,22.1,8.0,2.6,5.2,8
2015-04-15,24.2,7.9,5.4,7.1,8
2015-04-16,16.8,7.7,6.0,7.2,8
2015-04-17,14.7,4.7,2.9,4.1,8
2015-04-18,14.6,4.3,2.6,4.4,8
2015-04-19,11.6,3.5,-1.1,1.7,8
2015-04-20,18.4,4.1,-0.4,2.7,8
2015-04-21,18.4,4.8,0.2,3.3,8
2015-04-22,15.6,6.8,3.1,5.8,8
2015-04-23,17.4,5.2,0.1,3.8,8
2015-04-24,17.6,10.7,10.5,11.3,8
2015-04-25,18.0,6.9,7.5,8.8,8
2015-04-26,10.6,2.9,-0.7,1.9,8
2015-04-27,13.0,2.8,0.3,1.9,8
2015-04-28,13.4,6.3,4.2,6.2,8
2015-04-29,13.1,3.8,0.8,2.0,8
2015-04-30,15.1,5.4,2.4,5.5,8
2015-05-01,13.3,5.4,2.1,4.6,8
2015-05-02,14.6,8.8,8.8,10.4,8
2015-05-03,19.6,10.9,8.9,9.6,8
2015-05-04,18.4,12.0,11.7,12.9,8
2015-05-05,15.8,7.7,6.4,7.4,8
2015-05-06,14.2,8.3,6.3,7.2,8
2015-05-07,17.2,7.6,4.6,7.4,8
2015-05-08,16.8,11.0,9.8,10.1,8
2015-05-09,18.1,7.8,3.6,6.5,8
2015-05-10,18.6,11.4,8.7,10.2,8
2015-05-11,21.2,9.9,8.1,10.1,8
2015-05-12,17.4,4.9,0.5,4.2,8
2015-05-13,19.7,8.3,6.3,8.4,8
2015-05-14,11.0,7.4,7.0,8.2,8
2015-05-15,15.4,10.3,10.0,11.2,8
2015-05-16,18.2,5.8,1.8,5.3,8
2015-05-17,17.0,8.7,7.5,9.4,8
2015-05-18,15.3,6.7,4.7,5.6,8
2015-05-19,14.3,4.0,1.4,3.4,8
2015-05-20,15.3,4.5,0.1,3.7,8
2015-05-21,19.7,7.2,4.3,7.0,8
2015-05-22,19.3,12.6,11.8,12.8,8
2015-05-23,17.2,11.3,10.4,12.3,8
2015-05-24,19.5,8.3,5.2,8.4,8
2015-05-25,16.1,8.3,4.7,7.6,8
2015-05-26,19.2,6.2,2.0,6.0,8
2015-05-27,19.7,11.3,9.1,10.9,8
2015-05-28,17.3,8.8,7.2,9.6,8
2015-05-29,14.2,5.8,2.3,4.6,8
2015-05-30,17.5,10.3,9.3,11.3,8
2015-05-31,15.9,7.0,4.3,6.4,8
2015-06-01,15.4,10.7,9.4,10.1,8
2015-06-02,18.7,10.8,8.9,10.0,8
2015-06-03,19.2,7.1,2.7,6.6,8
2015-06-04,22.9,13.9,11.0,13.6,8
2015-06-05,23.6,7.9,4.9,7.1,8
2015-06-06,19.2,6.5,2.2,6.2,8
2015-06-07,20.0,8.0,4.2,8.0,8
2015-06-08,18.5,6.8,4.6,6.2,8
2015-06-09,15.1,9.0,7.3,9.0,8
2015-06-10,18.8,9.2,7.4,8.6,8
2015-06-11,23.6,12.4,10.9,12.7,8
2015-06-12,25.3,14.3,14.0,15.2,8
2015-06-13,19.3,11.9,10.0,12.3,8
2015-06-14,17.5,10.7,10.4,11.7,8
2015-06-15,19.6,8.4,4.6,8.6,8
2015-06-16,23.2,11.2,9.1,11.1,8
2015-06-17,25.0,13.6,12.6,14.0,8
2015-06-18,21.3,10.0,6.1,9.8,8
2015-06-19,21.0,11.9,9.2,12.4,8
2015-06-20,19.4,13.9,12.2,13.4,8
2015-06-21,20.4,10.6,10.4,12.0,8
2015-06-22,18.1,11.4,9.3,11.0,8
2015-06-23,20.6,11.5,8.4,10.9,8
2015-06-24,23.5,11.3,7.2,10.6,8
2015-06-25,24.4,12.9,9.4,12.1,8
2015-06-26,26.4,11.9,9.5,11.7,8
2015-06-27,24.2,14.9,12.2,14.6,8
2015-06-28,20.8,12.4,9.4,11.9,8
2015-06-29,25.4,12.4,8.1,12.0,8
2015-06-30,30.4,19.6,16.6,18.4,8
2015-07-01,34.8,16.9,14.6,17.0,8
2015-07-02,25.7,11.9,7.5,11.2,8
2015-07-03,26.8,16.9,14.9,16.7,8
2015-07-04,26.2,12.8,9.5,13.0,8
2015-07-05,23.1,11.4,7.8,10.4,8
2015-07-06,23.0,14.2,11.4,13.5,8
2015-07-07,23.3,13.3,11.9,13.7,8
2015-07-08,21.2,10.5,6.7,9.6,8
2015-07-09,22.6,12.1,8.4,11.5,8
2015-07-10,26.4,14.2,10.2,13.9,8
2015-07-11,25.3,14.8,13.7,15.0,8
2015-07-12,21.3,16.0,14.7,15.7,8
2015-07-13,19.9,16.2,15.7,16.6,8
2015-07-14,21.8,16.7,16.6,17.4,8
2015-07-15,22.4,14.4,10.8,13.9,8
2015-07-16,24.4,14.3,11.1,14.4,8
2015-07-17,24.3,11.6,7.6,10.8,8
2015-07-18,23.2,13.5,12.4,14.4,8
2015-07-19,24.3,12.8,7.9,12.5,8
2015-07-20,23.1,12.9,9.6,11.5,8
2015-07-21,25.1,14.1,10.8,13.8,8
2015-07-22,22.3,10.4,5.8,9.7,8
2015-07-23,21.7,14.7,12.7,15.6,8
2015-07-24,16.4,11.0,10.0,11.1,8
2015-07-25,20.8,11.5,8.4,11.9,8
2015-07-26,17.2,12.4,13.3,14.2,8
2015-07-27,20.2,12.7,11.0,12.5,8
2015-07-28,19.9,9.4,6.4,8.8,8
2015-07-29,19.4,10.0,7.4,10.8,8
2015-07-30,19.5,8.0,3.2,8.2,8
2015-07-31,22.0,8.6,3.4,8.4,8
2015-08-01,20.8,11.1,6.0,10.2,8
2015-08-02,25.2,14.9,9.6,12.8,8
2015-08-03,23.5,12.9,9.8,11.8,8
2015-08-04,21.2,14.3,12.2,14.2,8
2015-08-05,21.4,13.8,10.7,12.7,8
2015-08-06,23.3,11.6,7.2,11.6,8
2015-08-07,24.5,13.6,10.2,13.2,8
2015-08-08,26.2,12.1,7.2,11.1,8
2015-08-09,26.2,16.6,14.2,17.2,8
2015-08-10,22.6,13.5,11.0,14.1,8
2015-08-11,21.3,14.6,13.5,15.2,8
2015-08-12,22.6,15.8,14.0,15.8,8
2015-08-13,20.3,17.4,16.9,18.0,8
2015-08-14,20.9,13.6,11.9,13.5,8
2015-08-15,20.2,10.7,6.1,10.6,8
2015-08-16,20.6,11.9,7.1,11.7,8
