met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2009-12-31,5131,24.0,4.7,-0.6,-3.4,,6.0,6.0
2010-01-01,5131,24.0,3.5,-1.4,-6.6,,6.0,6.0
2010-01-02,5131,24.0,5.6,0.1,-3.9,,6.0,6.0
2010-01-03,5131,24.0,4.4,-4.7,-7.6,,6.0,6.0
2010-01-04,5131,24.0,1.0,-4.0,-7.6,,6.0,6.0
2010-01-05,5131,24.0,2.0,-1.7,-2.6,,6.0,6.0
2010-01-06,5131,24.0,2.9,-5.6,-6.2,,6.0,6.0
2010-01-07,5131,24.0,0.5,-4.5,-5.5,,6.0,6.0
2010-01-08,5131,24.0,1.0,-3.2,-5.7,,6.0,6.0
2010-01-09,5131,24.0,2.1,-2.0,-4.5,,6.0,6.0
2010-01-10,5131,24.0,2.4,0.3,0.5,,6.0,6.0
2010-01-11,5131,24.0,2.0,0.5,0.6,,6.0,6.0
2010-01-12,5131,24.0,3.0,0.0,-0.6,,6.0,6.0
2010-01-13,5131,24.0,3.2,0.0,-3.4,,6.0,6.0
2010-01-14,5131,24.0,4.1,0.5,0.5,,6.0,6.0
2010-01-15,5131,24.0,6.5,0.6,1.4,,6.0,6.0
2010-01-16,5131,24.0,7.6,2.9,-1.2,,6.0,6.0
2010-01-17,5131,24.0,9.0,1.0,-3.9,,6.0,6.0
2010-01-18,5131,24.0,7.0,3.7,2.0,,6.0,6.0
2010-01-19,5131,24.0,7.9,2.8,2.0,,6.0,6.0
2010-01-20,5131,24.0,4.0,2.2,1.1,,6.0,6.0
2010-01-21,5131,24.0,8.5,2.9,1.8,,6.0,6.0
2010-01-22,5131,24.0,9.1,6.0,5.0,,6.0,6.0
2010-01-23,5131,24.0,7.0,3.0,0.2,,6.0,6.0
2010-01-24,5131,24.0,6.2,2.9,-1.9,,6.0,6.0
2010-01-25,5131,24.0,5.1,1.0,-0.3,,6.0,6.0
2010-01-26,5131,24.0,3.2,-2.7,,,6.0,6.0
2010-01-27,5131,24.0,7.1,-0.3,-1.0,,6.0,6.0
2010-01-28,5131,24.0,7.2,4.3,3.5,,6.0,6.0
2010-01-29,5131,24.0,5.6,-1.2,-5.5,,6.0,6.0
2010-01-30,5131,24.0,3.4,-2.5,-7.5,,6.0,6.0
2010-01-31,5131,24.0,4.0,-1.0,-6.9,,6.0,6.0
2010-02-01,5131,24.0,6.8,1.2,-4.5,,6.0,6.0
2010-02-02,5131,24.0,8.9,3.2,1.7,,6.0,6.0
2010-02-03,5131,24.0,9.1,3.5,3.0,,6.0,6.0
2010-02-04,5131,24.0,8.5,6.3,3.9,,2006.0,6.0
2010-02-05,5131,24.0,12.1,4.5,1.0,,6.0,6.0
2010-02-06,5131,24.0,7.5,3.2,0.6,,6.0,6.0
2010-02-07,5131,24.0,6.6,2.1,0.6,,6.0,6.0
2010-02-08,5131,24.0,3.4,0.5,-1.4,,6.0,6.0
2010-02-09,5131,24.0,5.6,0.5,-2.1,,6.0,6.0
2010-02-10,5131,24.0,3.5,-0.6,-3.3,,6.0,6.0
2010-02-11,5131,24.0,3.7,0.6,-2.2,,6.0,6.0
2010-02-12,5131,24.0,4.9,1.5,-1.8,,6.0,6.0
2010-02-13,5131,24.0,4.0,0.5,-5.0,,6.0,6.0
2010-02-14,5131,24.0,5.1,0.0,-6.0,,6.0,6.0
2010-02-15,5131,24.0,5.4,0.0,-1.8,,6.0,6.0
2010-02-16,5131,24.0,5.9,2.1,-2.0,,6.0,6.0
2010-02-17,5131,24.0,9.5,-0.9,-6.5,,6.0,6.0
2010-02-18,5131,24.0,6.2,1.5,0.0,,6.0,6.0
2010-02-19,5131,24.0,6.4,-1.5,-4.6,,6.0,6.0
2010-02-20,5131,24.0,6.9,-1.6,-7.5,,6.0,6.0
2010-02-21,5131,24.0,7.5,3.0,0.2,,6.0,6.0
2010-02-22,5131,24.0,4.6,2.4,1.4,,6.0,6.0
2010-02-23,5131,24.0,7.9,2.6,0.5,,6.0,6.0
2010-02-24,5131,24.0,10.9,5.5,-0.5,,6.0,6.0
2010-02-25,5131,24.0,9.2,5.4,4.6,,6.0,6.0
2010-02-26,5131,24.0,9.0,4.6,-1.5,,6.0,6.0
2010-02-27,5131,24.0,11.0,5.3,3.3,,6.0,6.0
2010-02-28,5131,24.0,7.1,0.2,-3.6,,6.0,6.0
2010-03-01,5131,24.0,9.8,-2.0,-4.5,,6.0,2006.0
2010-03-02,5131,24.0,11.2,2.2,0.0,,6.0,6.0
2010-03-03,5131,24.0,7.1,2.9,1.5,,6.0,6.0
2010-03-04,5131,24.0,7.5,-4.0,-8.5,,6.0,2006.0
2010-03-05,5131,24.0,9.0,1.0,1.0,,6.0,6.0
2010-03-06,5131,24.0,8.0,-2.4,-5.5,,6.0,6.0
2010-03-07,5131,24.0,6.2,-2.9,-6.9,,6.0,6.0
2010-03-08,5131,24.0,7.1,2.3,-1.0,,6.0,6.0
2010-03-09,5131,24.0,7.6,3.2,1.0,,6.0,6.0
2010-03-10,5131,24.0,6.6,0.5,0.0,,6.0,6.0
2010-03-11,5131,24.0,6.9,0.5,-4.4,,6.0,6.0
2010-03-12,5131,24.0,8.6,3.7,0.9,,6.0,6.0
2010-03-13,5131,24.0,9.3,4.5,-2.0,,6.0,6.0
2010-03-14,5131,24.0,11.9,1.6,-2.5,,6.0,6.0
2010-03-15,5131,24.0,12.7,2.6,-1.3,,6.0,6.0
2010-03-16,5131,24.0,13.2,3.8,-1.1,,6.0,6.0
2010-03-17,5131,24.0,15.2,5.7,2.5,,6.0,6.0
2010-03-18,5131,24.0,16.6,8.6,6.8,,6.0,6.0
2010-03-19,5131,24.0,13.9,10.2,10.5,,6.0,6.0
2010-03-20,5131,24.0,13.5,6.6,6.1,,6.0,6.0
2010-03-21,5131,24.0,14.1,5.6,1.4,,6.0,6.0
2010-03-22,5131,24.0,12.4,1.8,-2.5,,6.0,6.0
2010-03-23,5131,24.0,12.0,8.0,,,2006.0,2006.0
2010-03-24,5131,24.0,16.1,10.5,,,6.0,2006.0
2010-03-25,5131,24.0,14.5,7.4,5.2,,6.0,6.0
