met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2011-12-31,5260,12.0,12.6,11.3,8.5,8.7,6.0,6.0
2012-01-01,5260,24.0,12.8,3.5,0.7,2.3,1006.0,6.0
2012-01-02,5260,24.0,11.8,3.9,0.8,2.3,6.0,6.0
2012-01-03,5260,24.0,12.3,4.9,1.2,2.1,6.0,6.0
2012-01-04,5260,24.0,12.2,5.7,6.4,6.6,6.0,6.0
2012-01-05,5260,24.0,10.7,3.5,-0.2,1.3,6.0,6.0
2012-01-06,5260,24.0,10.7,4.1,5.3,5.9,6.0,6.0
2012-01-07,5260,24.0,10.7,7.5,4.3,5.1,6.0,6.0
2012-01-08,5260,24.0,10.1,5.6,1.8,3.8,6.0,6.0
2012-01-09,5260,24.0,12.6,8.5,5.5,6.5,6.0,6.0
2012-01-10,5260,24.0,12.1,5.3,2.4,4.0,6.0,6.0
2012-01-11,5260,24.0,11.8,6.1,3.3,4.7,6.0,6.0
2012-01-12,5260,24.0,13.3,-1.9,-2.8,-0.8,6.0,6.0
2012-01-13,5260,24.0,7.0,-4.1,-4.4,-2.0,6.0,1006.0
2012-01-14,5260,24.0,7.4,-3.7,-4.3,-2.0,6.0,1006.0
2012-01-15,5260,24.0,7.1,-2.7,-5.2,-2.5,6.0,1006.0
2012-01-16,5260,24.0,7.8,-4.2,-5.4,-2.9,6.0,6.0
2012-01-17,5260,24.0,8.4,-3.0,-2.8,-1.2,6.0,6.0
2012-01-18,5260,24.0,12.0,8.3,8.2,7.7,6.0,6.0
2012-01-19,5260,24.0,11.0,4.6,0.9,2.2,6.0,6.0
2012-01-20,5260,24.0,11.5,7.0,6.3,6.3,6.0,6.0
2012-01-21,5260,24.0,12.5,5.4,1.5,2.7,6.0,6.0
2012-01-22,5260,24.0,11.9,1.6,-1.4,1.0,6.0,6.0
2012-01-23,5260,24.0,8.6,-1.5,-3.2,-1.0,6.0,6.0
2012-01-24,5260,24.0,9.6,2.7,5.9,6.1,6.0,6.0
2012-01-25,5260,24.0,10.0,6.1,5.4,5.9,6.0,6.0
2012-01-26,5260,24.0,10.0,0.6,-2.2,-0.3,6.0,6.0
2012-01-27,5260,24.0,9.9,1.5,-0.9,1.3,6.0,6.0
2012-01-28,5260,24.0,6.4,0.1,-2.4,-0.3,6.0,6.0
2012-01-29,5260,24.0,5.0,-0.7,-2.9,-0.6,6.0,6.0
2012-01-30,5260,24.0,4.0,-1.1,-4.3,-1.6,6.0,6.0
2012-01-31,5260,24.0,2.2,-0.8,-2.6,-1.1,6.0,6.0
2012-02-01,5260,24.0,3.6,-1.9,-4.5,-2.6,6.0,6.0
2012-02-02,5260,24.0,1.8,-3.8,-6.6,-3.7,6.0,6.0
2012-02-03,5260,24.0,2.1,-7.6,-8.6,-4.7,6.0,6.0
2012-02-04,5260,24.0,1.7,-5.2,-0.8,-0.6,6.0,1006.0
2012-02-05,5260,24.0,2.3,0.5,0.3,0.1,6.0,6.0
2012-02-06,5260,24.0,5.3,1.1,0.2,1.4,6.0,6.0
2012-02-07,5260,24.0,4.2,-2.8,-4.5,-1.9,6.0,6.0
2012-02-08,5260,24.0,0.7,-1.2,,,6.0,6.0
2012-02-09,5260,24.0,2.6,-2.4,0.0,-0.6,6.0,6.0
2012-02-10,5260,24.0,2.6,-8.2,-7.7,-4.4,6.0,6.0
2012-02-11,5260,24.0,3.8,-6.4,-7.2,-3.8,6.0,1006.0
2012-02-12,5260,24.0,4.8,-2.3,-3.7,-1.7,6.0,6.0
2012-02-13,5260,24.0,6.9,2.8,-0.3,1.0,6.0,6.0
2012-02-14,5260,24.0,8.6,4.7,1.9,2.5,6.0,6.0
2012-02-15,5260,24.0,11.4,1.1,-1.6,0.2,6.0,6.0
2012-02-16,5260,24.0,11.4,5.1,2.4,3.5,6.0,1006.0
2012-02-17,5260,24.0,12.5,8.0,4.9,5.1,6.0,1006.0
2012-02-18,5260,24.0,11.3,0.0,-2.0,-0.5,6.0,6.0
2012-02-19,5260,24.0,7.4,-4.6,-4.5,-2.1,6.0,6.0
2012-02-20,5260,24.0,9.5,0.4,2.4,3.0,6.0,6.0
2012-02-21,5260,24.0,12.2,7.7,6.0,6.0,6.0,6.0
2012-02-22,5260,24.0,13.5,8.1,8.0,7.6,6.0,6.0
2012-02-23,5260,24.0,17.4,9.1,6.5,7.0,6.0,6.0
2012-02-24,5260,24.0,15.2,7.3,7.0,7.2,6.0,6.0
2012-02-25,5260,24.0,12.9,-0.2,-0.9,0.4,6.0,6.0
2012-02-26,5260,24.0,14.0,4.1,2.8,4.4,6.0,6.0
2012-02-27,5260,24.0,11.2,8.1,8.4,8.2,6.0,6.0
2012-02-28,5260,24.0,13.9,8.9,7.8,8.3,6.0,6.0
2012-02-29,5260,24.0,12.9,3.1,0.6,2.9,6.0,6.0
2012-03-01,5260,24.0,15.2,1.4,-0.5,1.6,6.0,6.0
2012-03-02,5260,24.0,11.0,7.1,7.5,7.6,6.0,6.0
2012-03-03,5260,24.0,15.3,5.3,0.9,3.5,6.0,6.0
2012-03-04,5260,24.0,9.9,3.4,0.9,1.9,6.0,6.0
2012-03-05,5260,24.0,10.0,2.6,-0.6,1.3,6.0,6.0
2012-03-06,5260,24.0,8.1,1.7,-1.6,1.5,6.0,6.0
2012-03-07,5260,24.0,12.0,2.1,-1.8,0.6,6.0,6.0
2012-03-08,5260,24.0,12.5,3.9,0.7,2.8,6.0,6.0
2012-03-09,5260,24.0,11.3,8.7,6.6,7.3,6.0,6.0
2012-03-10,5260,24.0,16.1,2.6,0.3,2.4,1006.0,6.0
2012-03-11,5260,24.0,16.7,1.6,-0.4,1.6,6.0,6.0
2012-03-12,5260,24.0,15.3,5.0,2.7,5.4,2006.0,2006.0
2012-03-13,5260,24.0,10.5,5.4,3.2,5.7,6.0,6.0
2012-03-14,5260,24.0,13.4,-0.3,-2.0,0.2,6.0,6.0
2012-03-15,5260,24.0,17.1,4.6,5.4,7.6,6.0,6.0
2012-03-16,5260,24.0,9.7,6.7,3.2,4.9,6.0,6.0
2012-03-17,5260,24.0,11.2,1.5,-0.5,1.9,6.0,6.0
2012-03-18,5260,24.0,10.5,-1.7,-3.3,-0.7,6.0,6.0
2012-03-19,5260,24.0,14.1,1.2,-1.2,1.3,6.0,6.0
2012-03-20,5260,24.0,15.2,5.8,2.9,5.2,6.0,6.0
2012-03-21,5260,24.0,16.6,5.9,1.6,3.7,6.0,6.0
2012-03-22,5260,24.0,17.8,3.8,1.0,3.0,6.0,1006.0
2012-03-23,5260,24.0,21.2,4.3,1.1,3.1,1006.0,6.0
2012-03-24,5260,24.0,20.2,2.8,-0.1,2.4,1006.0,6.0
2012-03-25,5260,24.0,15.3,2.1,-1.0,1.8,6.0,6.0
2012-03-26,5260,24.0,18.8,1.4,-1.3,1.1,6.0,6.0
2012-03-27,5260,24.0,19.2,0.9,-1.4,1.3,6.0,6.0
2012-03-28,5260,24.0,21.8,2.8,0.1,2.6,6.0,6.0
2012-03-29,5260,24.0,19.3,4.3,1.2,3.7,6.0,6.0
2012-03-30,5260,24.0,17.8,4.4,1.3,4.0,6.0,6.0
2012-03-31,5260,24.0,11.1,0.3,-3.0,-0.1,6.0,6.0
2012-04-01,5260,24.0,13.7,0.6,-1.4,1.5,6.0,6.0
2012-04-02,5260,24.0,15.7,0.7,-1.6,1.3,6.0,6.0
2012-04-03,5260,24.0,14.6,1.2,-0.6,2.3,6.0,6.0
2012-04-04,5260,24.0,11.2,6.5,4.0,5.4,6.0,6.0
2012-04-05,5260,24.0,9.2,-2.9,-5.6,-1.7,6.0,6.0
2012-04-06,5260,24.0,12.9,5.7,6.9,8.1,6.0,1006.0
2012-04-07,5260,24.0,11.6,5.3,1.3,5.0,6.0,6.0
2012-04-08,5260,24.0,13.9,8.2,7.1,7.7,6.0,1006.0
2012-04-09,5260,24.0,11.2,5.1,2.2,4.1,6.0,6.0
2012-04-10,5260,24.0,14.9,0.5,-0.5,1.6,6.0,6.0
2012-04-11,5260,24.0,14.6,1.0,-0.1,2.5,6.0,6.0
2012-04-12,5260,24.0,13.1,1.3,-0.4,2.2,6.0,6.0
2012-04-13,5260,24.0,13.7,5.7,3.9,6.4,6.0,6.0
2012-04-14,5260,24.0,11.6,2.6,0.1,2.0,6.0,6.0
2012-04-15,5260,24.0,9.7,-2.1,-3.5,-0.9,6.0,6.0
