met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2015-12-31,5034,12.0,7.5,2.3,-1.7,0.4,6.0,6.0
2016-01-01,5034,24.0,10.3,4.2,7.1,6.7,6.0,6.0
2016-01-02,5034,24.0,11.0,5.9,2.2,4.2,6.0,6.0
2016-01-03,5034,24.0,9.4,5.7,1.5,2.6,6.0,6.0
2016-01-04,5034,24.0,11.1,6.6,1.8,3.2,6.0,6.0
2016-01-05,5034,24.0,10.6,5.8,1.6,4.2,6.0,6.0
2016-01-06,5034,24.0,9.4,6.0,3.2,4.3,6.0,6.0
2016-01-07,5034,24.0,10.1,1.8,-2.4,-0.4,6.0,6.0
2016-01-08,5034,24.0,9.4,5.6,3.0,4.2,6.0,6.0
2016-01-09,5034,24.0,11.3,5.7,2.5,2.9,6.0,6.0
2016-01-10,5034,24.0,9.1,5.0,1.0,1.8,6.0,6.0
2016-01-11,5034,24.0,7.4,4.1,0.5,1.1,6.0,6.0
2016-01-12,5034,24.0,7.4,2.9,0.0,0.4,6.0,6.0
2016-01-13,5034,24.0,7.0,2.1,-0.5,-0.4,6.0,6.0
2016-01-14,5034,24.0,5.6,0.7,-2.9,-2.2,6.0,6.0
2016-01-15,5034,24.0,6.2,0.7,-2.6,-2.2,6.0,6.0
2016-01-16,5034,24.0,5.2,0.8,-1.6,-1.3,6.0,6.0
2016-01-17,5034,24.0,4.6,1.5,2.0,2.2,6.0,6.0
2016-01-18,5034,24.0,5.0,-1.8,-6.3,-3.6,6.0,6.0
2016-01-19,5034,24.0,6.4,-2.8,-7.5,-4.5,6.0,6.0
2016-01-20,5034,24.0,6.7,-1.4,-6.0,-3.8,6.0,6.0
2016-01-21,5034,24.0,8.3,3.1,0.0,-0.2,6.0,6.0
2016-01-22,5034,24.0,10.5,4.2,-0.7,0.2,6.0,6.0
2016-01-23,5034,24.0,12.0,5.6,5.7,5.2,6.0,1006.0
2016-01-24,5034,24.0,15.4,10.1,5.5,5.2,6.0,6.0
