met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2021-12-31,5275,12.0,12.2,11.4,10.1,,6.0,6.0
2022-01-01,5275,24.0,13.3,9.5,8.3,,6.0,6.0
2022-01-02,5275,24.0,10.8,7.9,6.4,,6.0,6.0
2022-01-03,5275,24.0,9.3,6.3,5.1,,6.0,6.0
2022-01-04,5275,24.0,7.3,-0.1,-1.5,,6.0,6.0
2022-01-05,5275,24.0,5.0,-3.0,-8.0,,6.0,6.0
2022-01-06,5275,24.0,6.5,-0.8,0.9,,6.0,6.0
2022-01-07,5275,24.0,6.8,0.1,-1.8,,6.0,6.0
2022-01-08,5275,24.0,9.2,2.2,0.7,,6.0,6.0
2022-01-09,5275,24.0,7.0,1.7,-2.7,,6.0,6.0
2022-01-10,5275,24.0,8.1,4.8,6.4,,6.0,6.0
2022-01-11,5275,24.0,9.4,0.1,-4.5,,6.0,6.0
2022-01-12,5275,24.0,7.9,0.4,-5.1,,6.0,6.0
2022-01-13,5275,24.0,10.9,0.0,-4.6,,6.0,6.0
2022-01-14,5275,24.0,11.4,1.4,-3.4,,6.0,6.0
2022-01-15,5275,24.0,6.0,2.5,-0.3,,6.0,6.0
2022-01-16,5275,24.0,8.6,0.7,-0.9,,6.0,6.0
2022-01-17,5275,24.0,8.0,-0.5,-6.5,,6.0,6.0
2022-01-18,5275,24.0,6.4,1.0,-4.0,,6.0,6.0
2022-01-19,5275,24.0,7.8,-1.4,-7.3,,6.0,6.0
2022-01-20,5275,24.0,4.5,-3.7,-7.9,,6.0,1006.0
2022-01-21,5275,24.0,3.8,-1.5,-0.6,,6.0,6.0
2022-01-22,5275,24.0,4.8,3.4,3.1,,6.0,6.0
2022-01-23,5275,24.0,4.8,2.5,2.3,,6.0,6.0
2022-01-24,5275,24.0,3.2,1.1,1.1,,6.0,6.0
2022-01-25,5275,24.0,3.3,0.7,0.6,,6.0,6.0
2022-01-26,5275,24.0,7.5,3.1,0.0,,6.0,1006.0
2022-01-27,5275,24.0,10.8,0.8,-5.2,,6.0,6.0
2022-01-28,5275,24.0,9.7,3.7,5.5,,6.0,6.0
2022-01-29,5275,24.0,11.9,-0.5,-7.0,,6.0,6.0
2022-01-30,5275,24.0,7.4,1.0,2.1,,6.0,1006.0
2022-01-31,5275,24.0,7.8,3.2,0.1,,6.0,6.0
2022-02-01,5275,24.0,12.6,6.7,4.4,,6.0,6.0
2022-02-02,5275,24.0,11.4,5.9,1.9,,6.0,6.0
2022-02-03,5275,24.0,9.2,6.4,5.9,,6.0,6.0
2022-02-04,5275,24.0,8.0,1.9,-0.1,,6.0,6.0
