met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2022-12-31,5113,12.0,13.1,10.0,7.7,6.6,6.0,6.0
2023-01-01,5113,24.0,12.3,5.2,0.9,3.1,6.0,6.0
2023-01-02,5113,24.0,9.3,2.1,-2.1,0.1,6.0,6.0
2023-01-03,5113,24.0,13.4,9.2,10.0,9.4,6.0,6.0
2023-01-04,5113,24.0,13.9,8.9,6.3,6.3,6.0,6.0
2023-01-05,5113,24.0,13.5,6.3,3.8,4.0,6.0,6.0
2023-01-06,5113,24.0,12.7,6.7,9.0,9.1,6.0,6.0
2023-01-07,5113,24.0,11.4,6.5,4.3,4.3,6.0,6.0
2023-01-08,5113,24.0,9.5,4.4,2.5,2.6,6.0,6.0
2023-01-09,5113,24.0,9.6,3.9,0.9,1.2,6.0,6.0
2023-01-10,5113,24.0,13.0,6.8,4.6,4.2,6.0,6.0
2023-01-11,5113,24.0,12.2,7.2,7.2,6.6,6.0,6.0
2023-01-12,5113,24.0,12.7,7.2,5.1,4.4,6.0,6.0
2023-01-13,5113,24.0,11.5,6.0,2.9,3.2,6.0,6.0
2023-01-14,5113,24.0,12.6,3.8,1.7,1.7,6.0,6.0
2023-01-15,5113,24.0,8.2,2.7,0.3,0.7,6.0,6.0
2023-01-16,5113,24.0,5.3,-5.0,-10.5,-5.1,6.0,6.0
2023-01-17,5113,24.0,0.8,-3.8,-8.3,-4.7,6.0,6.0
2023-01-18,5113,24.0,5.2,-2.7,-6.3,-3.8,6.0,6.0
2023-01-19,5113,24.0,5.6,-1.3,-4.6,-3.2,6.0,6.0
2023-01-20,5113,24.0,6.3,-1.4,-6.3,-4.0,6.0,6.0
2023-01-21,5113,24.0,6.2,-4.7,-9.9,-5.2,6.0,6.0
2023-01-22,5113,24.0,3.7,-8.4,-12.1,-6.7,6.0,6.0
2023-01-23,5113,24.0,5.2,-5.1,2.5,1.2,6.0,6.0
2023-01-24,5113,24.0,5.0,-3.3,-8.1,-4.3,6.0,6.0
2023-01-25,5113,24.0,6.1,-0.6,1.2,0.3,6.0,6.0
2023-01-26,5113,24.0,8.0,3.9,3.2,2.1,6.0,6.0
2023-01-27,5113,24.0,7.3,1.7,-1.7,-0.9,6.0,6.0
2023-01-28,5113,24.0,6.2,3.5,2.0,2.8,6.0,6.0
2023-01-29,5113,24.0,8.9,5.0,3.0,2.4,6.0,6.0
2023-01-30,5113,24.0,9.9,3.3,-0.7,0.2,6.0,6.0
2023-01-31,5113,24.0,12.5,4.3,0.6,0.8,6.0,6.0
2023-02-01,5113,24.0,10.4,6.0,4.3,3.0,6.0,6.0
2023-02-02,5113,24.0,11.4,7.7,6.4,5.3,6.0,6.0
2023-02-03,5113,24.0,13.6,8.1,7.3,6.6,6.0,6.0
2023-02-04,5113,24.0,9.4,3.3,1.2,1.1,6.0,6.0
2023-02-05,5113,24.0,8.9,0.8,-4.5,-1.0,6.0,6.0
2023-02-06,5113,24.0,11.6,-1.7,-6.6,-2.9,6.0,6.0
2023-02-07,5113,24.0,8.8,-3.9,-9.5,-5.2,6.0,6.0
