met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2022-12-31,5023,12.0,13.7,11.0,,,106.0,106.0
2023-01-01,5023,24.0,12.2,7.0,,,106.0,106.0
2023-01-02,5023,24.0,9.4,4.1,,,106.0,106.0
2023-01-03,5023,24.0,13.4,9.4,,,106.0,106.0
2023-01-04,5023,24.0,13.9,10.3,,,106.0,106.0
2023-01-05,5023,24.0,13.6,7.4,,,106.0,106.0
2023-01-06,5023,24.0,12.8,7.8,,,106.0,106.0
2023-01-07,5023,24.0,11.8,7.0,,,106.0,106.0
2023-01-08,5023,24.0,10.4,6.1,,,106.0,106.0
2023-01-09,5023,24.0,9.5,5.5,,,106.0,106.0
2023-01-10,5023,24.0,13.3,7.9,,,106.0,106.0
2023-01-11,5023,24.0,12.4,8.0,,,106.0,106.0
2023-01-12,5023,24.0,12.7,8.2,,,106.0,106.0
2023-01-13,5023,24.0,11.5,7.2,,,106.0,106.0
2023-01-14,5023,24.0,12.8,5.0,,,106.0,106.0
2023-01-15,5023,24.0,8.0,3.7,,,106.0,106.0
2023-01-16,5023,24.0,6.4,-2.2,,,106.0,106.0
2023-01-17,5023,24.0,1.9,-1.4,,,106.0,106.0
2023-01-18,5023,24.0,6.3,-0.9,,,106.0,106.0
2023-01-19,5023,24.0,6.0,-0.4,,,106.0,106.0
2023-01-20,5023,24.0,6.6,1.0,,,106.0,106.0
2023-01-21,5023,24.0,7.6,-2.3,,,106.0,106.0
2023-01-22,5023,24.0,5.9,-4.0,,,106.0,106.0
2023-01-23,5023,24.0,5.0,-4.1,,,106.0,106.0
2023-01-24,5023,24.0,6.1,0.0,,,106.0,106.0
2023-01-25,5023,24.0,7.0,-0.1,,,106.0,106.0
2023-01-26,5023,24.0,7.9,4.5,,,106.0,106.0
2023-01-27,5023,24.0,8.1,4.2,,,106.0,106.0
2023-01-28,5023,24.0,7.2,4.5,,,106.0,106.0
2023-01-29,5023,24.0,8.9,5.5,,,106.0,106.0
2023-01-30,5023,24.0,9.6,5.0,,,106.0,106.0
2023-01-31,5023,24.0,12.0,5.7,,,106.0,106.0
2023-02-01,5023,24.0,10.4,6.7,,,106.0,106.0
2023-02-02,5023,24.0,11.6,7.8,,,106.0,106.0
2023-02-03,5023,24.0,12.8,8.7,,,106.0,106.0
2023-02-04,5023,24.0,9.9,4.5,,,106.0,106.0
2023-02-05,5023,24.0,9.7,3.1,,,106.0,106.0
2023-02-06,5023,24.0,11.8,0.6,,,106.0,106.0
2023-02-07,5023,24.0,8.7,-1.0,,,106.0,106.0
2023-02-08,5023,24.0,9.0,-0.4,,,106.0,106.0
2023-02-09,5023,24.0,11.2,1.1,,,106.0,106.0
2023-02-10,5023,24.0,8.7,2.5,,,106.0,106.0
2023-02-11,5023,24.0,11.0,8.3,,,106.0,106.0
2023-02-12,5023,24.0,9.8,4.9,,,106.0,106.0
2023-02-13,5023,24.0,13.7,1.7,,,106.0,106.0
2023-02-14,5023,24.0,15.5,1.9,,,106.0,106.0
2023-02-15,5023,24.0,15.7,7.1,,,106.0,106.0
2023-02-16,5023,24.0,12.9,9.7,,,106.0,106.0
2023-02-17,5023,24.0,14.4,11.0,,,106.0,106.0
2023-02-18,5023,24.0,13.2,8.2,,,106.0,106.0
2023-02-19,5023,24.0,13.8,6.8,,,106.0,106.0
2023-02-20,5023,24.0,13.1,7.9,,,106.0,106.0
2023-02-21,5023,24.0,10.2,6.5,,,106.0,106.0
2023-02-22,5023,24.0,10.2,6.6,,,106.0,106.0
2023-02-23,5023,24.0,9.4,2.1,,,106.0,106.0
2023-02-24,5023,24.0,10.9,3.8,,,106.0,106.0
2023-02-25,5023,24.0,8.7,3.0,,,106.0,106.0
2023-02-26,5023,24.0,7.4,2.4,,,106.0,106.0
2023-02-27,5023,24.0,9.0,3.4,,,106.0,106.0
2023-02-28,5023,24.0,9.4,4.5,,,106.0,106.0
2023-03-01,5023,24.0,9.1,3.0,,,106.0,106.0
2023-03-02,5023,24.0,10.6,4.3,,,106.0,106.0
2023-03-03,5023,24.0,8.6,4.9,,,106.0,106.0
2023-03-04,5023,24.0,7.5,3.8,,,106.0,106.0
2023-03-05,5023,24.0,5.2,2.2,,,106.0,106.0
2023-03-06,5023,24.0,9.6,2.6,,,106.0,106.0
2023-03-07,5023,24.0,5.7,0.6,,,106.0,106.0
2023-03-08,5023,24.0,4.2,1.6,,,106.0,106.0
2023-03-09,5023,24.0,11.2,3.1,,,106.0,106.0
2023-03-10,5023,24.0,5.7,0.8,,,106.0,106.0
2023-03-11,5023,24.0,9.5,3.5,,,106.0,106.0
2023-03-12,5023,24.0,13.3,9.5,,,106.0,106.0
2023-03-13,5023,24.0,13.8,4.5,,,106.0,106.0
2023-03-14,5023,24.0,10.0,1.5,,,106.0,106.0
2023-03-15,5023,24.0,10.6,4.8,,,106.0,106.0
2023-03-16,5023,24.0,14.4,10.3,,,106.0,106.0
2023-03-17,5023,24.0,15.3,9.9,,,106.0,106.0
2023-03-18,5023,24.0,15.1,6.5,,,106.0,106.0
2023-03-19,5023,24.0,10.8,7.5,,,106.0,106.0
2023-03-20,5023,24.0,12.3,9.3,,,106.0,106.0
2023-03-21,5023,24.0,14.5,10.5,,,106.0,106.0
2023-03-22,5023,24.0,14.5,10.0,,,106.0,106.0
2023-03-23,5023,24.0,15.0,8.8,,,106.0,106.0
2023-03-24,5023,24.0,13.5,8.4,,,106.0,106.0
2023-03-25,5023,24.0,14.2,6.9,,,106.0,106.0
2023-03-26,5023,24.0,9.9,4.9,,,106.0,106.0
2023-03-27,5023,24.0,11.8,6.1,,,106.0,106.0
2023-03-28,5023,24.0,11.1,7.5,,,106.0,106.0
2023-03-29,5023,24.0,14.4,10.9,,,106.0,106.0
2023-03-30,5023,24.0,15.8,10.5,,,106.0,106.0
2023-03-31,5023,24.0,14.1,8.8,,,106.0,106.0
2023-04-01,5023,24.0,11.3,6.9,,,106.0,106.0
2023-04-02,5023,24.0,11.9,3.9,,,106.0,106.0
2023-04-03,5023,24.0,11.9,3.2,,,106.0,106.0
2023-04-04,5023,24.0,15.9,5.6,,,106.0,106.0
2023-04-05,5023,24.0,13.7,7.9,,,106.0,106.0
2023-04-06,5023,24.0,14.2,6.4,,,106.0,106.0
2023-04-07,5023,24.0,15.8,6.0,,,106.0,106.0
2023-04-08,5023,24.0,15.6,6.2,,,106.0,106.0
2023-04-09,5023,24.0,17.0,10.1,,,106.0,106.0
2023-04-10,5023,24.0,15.0,7.2,,,106.0,106.0
2023-04-11,5023,24.0,13.1,5.9,,,106.0,106.0
2023-04-12,5023,24.0,11.0,6.8,,,106.0,106.0
2023-04-13,5023,24.0,13.5,6.2,,,106.0,106.0
2023-04-14,5023,24.0,11.0,7.3,,,106.0,106.0
2023-04-15,5023,24.0,16.3,8.7,,,106.0,106.0
2023-04-16,5023,24.0,15.9,10.3,,,106.0,106.0
2023-04-17,5023,24.0,16.9,7.7,,,106.0,106.0
2023-04-18,5023,24.0,11.7,8.6,,,106.0,106.0
