met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2023-12-31,5127,12.0,8.5,6.3,4.2,3.9,6.0,6.0
2024-01-01,5127,24.0,12.2,6.3,7.7,7.6,6.0,6.0
2024-01-02,5127,24.0,13.3,8.9,6.9,6.3,6.0,6.0
2024-01-03,5127,24.0,11.6,5.1,3.1,3.1,6.0,6.0
2024-01-04,5127,24.0,8.4,4.8,3.5,3.8,6.0,6.0
2024-01-05,5127,24.0,7.4,4.1,2.5,4.1,6.0,6.0
2024-01-06,5127,24.0,6.8,2.3,0.0,0.3,6.0,6.0
2024-01-07,5127,24.0,4.9,1.7,-0.4,0.2,6.0,6.0
2024-01-08,5127,24.0,3.2,1.4,0.7,1.1,6.0,6.0
2024-01-09,5127,24.0,4.0,-0.9,-3.7,-3.1,6.0,6.0
2024-01-10,5127,24.0,5.4,-1.4,-4.9,-3.2,6.0,6.0
2024-01-11,5127,24.0,5.4,0.4,3.5,3.4,6.0,6.0
2024-01-12,5127,24.0,5.7,0.8,0.6,1.7,6.0,6.0
2024-01-13,5127,24.0,4.5,1.3,0.0,1.3,6.0,6.0
2024-01-14,5127,24.0,6.5,-3.0,-8.3,-4.0,6.0,6.0
2024-01-15,5127,24.0,2.6,-6.3,-10.3,-5.5,6.0,6.0
2024-01-16,5127,24.0,5.7,-4.2,-7.6,-3.8,6.0,6.0
2024-01-17,5127,24.0,2.4,-6.7,-12.1,-6.7,6.0,6.0
2024-01-18,5127,24.0,3.0,-7.9,-12.1,-6.9,6.0,6.0
2024-01-19,5127,24.0,6.1,-4.3,-5.5,-3.0,6.0,6.0
2024-01-20,5127,24.0,8.3,3.2,1.9,1.4,6.0,6.0
2024-01-21,5127,24.0,12.8,8.2,6.2,5.3,6.0,6.0
2024-01-22,5127,24.0,10.7,4.1,1.5,1.0,6.0,6.0
2024-01-23,5127,24.0,13.8,7.4,7.4,6.7,6.0,6.0
2024-01-24,5127,24.0,12.6,2.4,-0.7,1.9,6.0,6.0
2024-01-25,5127,24.0,13.5,7.0,4.8,4.7,6.0,6.0
2024-01-26,5127,24.0,9.8,-2.8,-6.3,-2.8,6.0,6.0
2024-01-27,5127,24.0,8.8,-0.9,-3.3,-1.5,6.0,6.0
2024-01-28,5127,24.0,12.3,2.5,5.8,5.2,6.0,6.0
2024-01-29,5127,24.0,12.4,7.6,6.9,7.2,6.0,6.0
2024-01-30,5127,24.0,8.7,6.4,5.3,5.8,6.0,6.0
2024-01-31,5127,24.0,11.8,1.1,-2.6,0.6,6.0,6.0
2024-02-01,5127,24.0,9.9,1.7,0.8,1.8,6.0,6.0
2024-02-02,5127,24.0,13.7,9.1,8.6,7.9,6.0,6.0
2024-02-03,5127,24.0,13.5,10.6,9.5,9.5,6.0,6.0
2024-02-04,5127,24.0,13.2,9.0,7.8,7.4,6.0,6.0
2024-02-05,5127,24.0,12.2,9.3,9.6,9.3,6.0,6.0
2024-02-06,5127,24.0,13.8,4.4,3.8,5.3,6.0,6.0
2024-02-07,5127,24.0,6.7,4.9,4.3,5.3,6.0,6.0
2024-02-08,5127,24.0,12.1,5.3,9.0,8.8,6.0,6.0
2024-02-09,5127,24.0,12.5,6.9,3.9,5.8,6.0,6.0
2024-02-10,5127,24.0,12.7,6.8,5.1,6.5,6.0,6.0
2024-02-11,5127,24.0,11.4,0.8,-3.1,-0.2,6.0,6.0
2024-02-12,5127,24.0,10.4,3.6,1.1,1.4,6.0,6.0
2024-02-13,5127,24.0,12.4,7.4,9.5,9.1,6.0,6.0
2024-02-14,5127,24.0,14.0,11.9,11.2,10.9,6.0,6.0
2024-02-15,5127,24.0,17.9,9.4,7.0,8.0,6.0,6.0
2024-02-16,5127,24.0,13.9,9.0,7.9,8.7,6.0,6.0
2024-02-17,5127,24.0,13.5,9.9,10.2,10.3,6.0,6.0
2024-02-18,5127,24.0,15.6,6.4,3.3,4.7,6.0,6.0
2024-02-19,5127,24.0,13.7,4.7,0.0,3.6,6.0,6.0
2024-02-20,5127,24.0,13.4,7.2,7.8,8.1,6.0,6.0
2024-02-21,5127,24.0,12.1,8.2,6.4,6.3,6.0,6.0
2024-02-22,5127,24.0,11.8,2.9,0.9,1.2,6.0,6.0
2024-02-23,5127,24.0,10.2,-2.5,-5.2,-2.2,6.0,6.0
2024-02-24,5127,24.0,9.6,-1.5,-4.6,-1.4,6.0,6.0
2024-02-25,5127,24.0,9.4,2.8,4.2,4.2,6.0,6.0
2024-02-26,5127,24.0,9.0,-0.9,-4.6,-1.3,6.0,6.0
2024-02-27,5127,24.0,9.2,2.6,-0.9,2.6,6.0,6.0
2024-02-28,5127,24.0,11.8,8.9,9.3,9.2,6.0,6.0
2024-02-29,5127,24.0,11.2,2.4,0.1,1.1,6.0,6.0
2024-03-01,5127,24.0,10.0,2.7,0.6,1.8,6.0,6.0
2024-03-02,5127,24.0,9.0,-2.3,-4.5,-2.1,6.0,6.0
2024-03-03,5127,24.0,10.0,-2.4,-5.4,-2.1,6.0,6.0
2024-03-04,5127,24.0,12.0,5.1,5.0,5.9,6.0,6.0
2024-03-05,5127,24.0,11.2,1.8,-2.9,1.2,6.0,6.0
2024-03-06,5127,24.0,12.4,3.3,-2.4,1.9,6.0,6.0
2024-03-07,5127,24.0,11.3,4.3,1.2,1.6,6.0,6.0
2024-03-08,5127,24.0,11.1,6.4,3.5,4.4,6.0,6.0
2024-03-09,5127,24.0,14.6,7.7,6.4,7.7,6.0,6.0
2024-03-10,5127,24.0,9.6,7.0,6.5,7.1,6.0,6.0
2024-03-11,5127,24.0,8.6,6.9,5.7,6.4,6.0,6.0
2024-03-12,5127,24.0,13.6,8.3,10.3,9.9,6.0,6.0
2024-03-13,5127,24.0,13.8,8.0,6.3,6.4,6.0,6.0
2024-03-14,5127,24.0,17.4,11.0,10.0,9.5,6.0,6.0
2024-03-15,5127,24.0,16.6,4.8,0.1,4.0,6.0,6.0
2024-03-16,5127,24.0,13.7,9.0,8.0,8.6,6.0,6.0
2024-03-17,5127,24.0,16.2,8.8,6.7,7.8,6.0,6.0
2024-03-18,5127,24.0,15.3,10.3,8.8,9.1,6.0,6.0
2024-03-19,5127,24.0,12.7,10.0,8.5,9.7,6.0,6.0
2024-03-20,5127,24.0,18.2,6.1,2.3,5.9,6.0,6.0
2024-03-21,5127,24.0,17.5,9.5,8.1,9.0,6.0,6.0
2024-03-22,5127,24.0,12.3,3.5,1.0,2.1,6.0,6.0
2024-03-23,5127,24.0,11.6,5.1,2.7,4.0,6.0,6.0
2024-03-24,5127,24.0,13.2,4.2,-1.1,4.3,6.0,6.0
2024-03-25,5127,24.0,12.4,7.8,5.2,6.9,6.0,6.0
2024-03-26,5127,24.0,15.3,4.5,2.3,4.1,6.0,6.0
2024-03-27,5127,24.0,11.4,4.0,2.3,3.4,6.0,6.0
2024-03-28,5127,24.0,10.9,6.5,5.5,5.9,6.0,6.0
2024-03-29,5127,24.0,14.6,2.1,-1.2,2.7,6.0,6.0
2024-03-30,5127,24.0,16.8,4.8,-1.0,3.7,6.0,6.0
2024-03-31,5127,24.0,12.2,6.7,4.4,5.8,6.0,6.0
2024-04-01,5127,24.0,15.9,8.3,5.8,7.7,6.0,6.0
2024-04-02,5127,24.0,15.7,9.6,9.2,10.1,6.0,6.0
2024-04-03,5127,24.0,13.4,9.4,8.6,9.2,6.0,6.0
2024-04-04,5127,24.0,16.2,11.8,10.8,11.2,6.0,6.0
2024-04-05,5127,24.0,17.8,13.1,11.4,11.5,6.0,6.0
2024-04-06,5127,24.0,19.3,11.0,9.5,9.6,6.0,6.0
2024-04-07,5127,24.0,16.3,8.7,6.1,8.0,6.0,6.0
2024-04-08,5127,24.0,17.9,7.8,7.3,8.9,6.0,6.0
2024-04-09,5127,24.0,12.8,4.3,-0.5,3.2,6.0,6.0
2024-04-10,5127,24.0,14.6,10.7,10.9,11.5,6.0,6.0
2024-04-11,5127,24.0,19.1,9.1,7.1,8.4,6.0,6.0
2024-04-12,5127,24.0,21.5,10.0,5.3,9.4,6.0,6.0
2024-04-13,5127,24.0,20.8,8.5,6.1,8.9,6.0,6.0
2024-04-14,5127,24.0,14.5,7.2,4.5,6.8,6.0,6.0
2024-04-15,5127,24.0,12.9,6.6,4.6,6.2,6.0,6.0
2024-04-16,5127,24.0,13.5,3.2,-0.8,3.5,6.0,6.0
2024-04-17,5127,24.0,12.2,3.3,0.7,3.0,6.0,6.0
2024-04-18,5127,24.0,14.3,7.9,6.4,8.6,6.0,6.0
2024-04-19,5127,24.0,15.8,1.9,-2.7,2.3,6.0,6.0
2024-04-20,5127,24.0,11.2,4.5,0.3,4.1,6.0,6.0
2024-04-21,5127,24.0,11.3,3.2,0.3,3.8,6.0,6.0
2024-04-22,5127,24.0,8.6,5.6,5.3,7.2,6.0,6.0
2024-04-23,5127,24.0,11.5,3.5,-1.8,4.3,6.0,6.0
2024-04-24,5127,24.0,10.2,1.9,-1.6,3.7,6.0,6.0
2024-04-25,5127,24.0,11.9,3.6,0.8,4.4,6.0,6.0
2024-04-26,5127,24.0,14.2,5.8,4.5,7.5,6.0,6.0
2024-04-27,5127,24.0,11.8,6.6,6.4,8.0,6.0,6.0
2024-04-28,5127,24.0,12.9,5.5,2.2,4.5,6.0,6.0
2024-04-29,5127,24.0,16.5,5.1,0.3,5.3,6.0,6.0
2024-04-30,5127,24.0,20.0,9.4,4.1,8.8,6.0,6.0
2024-05-01,5127,24.0,19.4,11.0,9.1,11.3,6.0,6.0
2024-05-02,5127,24.0,15.7,9.2,8.8,9.9,6.0,6.0
2024-05-03,5127,24.0,13.4,7.7,3.1,6.6,6.0,6.0
2024-05-04,5127,24.0,17.8,4.6,0.7,6.2,6.0,6.0
2024-05-05,5127,24.0,19.2,7.3,3.3,8.5,6.0,6.0
2024-05-06,5127,24.0,15.7,8.3,3.6,7.9,6.0,6.0
2024-05-07,5127,24.0,19.5,8.8,3.3,9.2,6.0,6.0
2024-05-08,5127,24.0,21.9,9.6,6.3,11.2,6.0,6.0
2024-05-09,5127,24.0,23.4,9.8,5.8,11.5,6.0,6.0
2024-05-10,5127,24.0,24.4,10.0,4.6,10.3,6.0,6.0
2024-05-11,5127,24.0,23.9,11.5,6.6,11.8,6.0,6.0
2024-05-12,5127,24.0,27.0,12.2,9.4,13.7,6.0,6.0
2024-05-13,5127,24.0,19.1,13.5,13.3,15.3,6.0,6.0
2024-05-14,5127,24.0,17.4,13.1,11.4,13.6,6.0,6.0
2024-05-15,5127,24.0,21.4,8.8,3.8,9.8,6.0,6.0
2024-05-16,5127,24.0,17.9,9.3,4.0,9.5,6.0,6.0
2024-05-17,5127,24.0,22.5,10.4,5.7,10.9,6.0,6.0
2024-05-18,5127,24.0,19.8,7.7,2.3,9.2,6.0,6.0
2024-05-19,5127,24.0,23.0,9.6,7.2,10.1,6.0,6.0
2024-05-20,5127,24.0,21.3,11.4,9.6,13.3,6.0,6.0
2024-05-21,5127,24.0,14.5,12.5,12.4,13.8,6.0,6.0
2024-05-22,5127,24.0,15.2,11.8,9.5,11.3,6.0,6.0
2024-05-23,5127,24.0,18.7,8.8,4.1,10.0,6.0,6.0
2024-05-24,5127,24.0,18.6,8.5,3.5,10.1,6.0,6.0
2024-05-25,5127,24.0,21.2,12.1,11.4,14.5,6.0,6.0
2024-05-26,5127,24.0,20.3,10.6,6.6,11.0,6.0,6.0
2024-05-27,5127,24.0,18.5,9.9,7.2,11.2,6.0,6.0
