met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2011-01-01,0.0,0.0,0.0,0.0,11,2011
2011-01-02,0.544,1.3,0.0,0.416,16,2011
2011-01-03,0.0,0.0,0.0,0.0,16,2011
2011-01-04,0.025,0.3,0.0,0.077,16,2011
2011-01-05,0.088,0.5,0.0,0.163,16,2011
2011-01-06,1.738,5.6,0.0,1.375,16,2011
2011-01-07,14.325,19.6,8.6,2.879,16,2011
2011-01-08,11.65,14.1,8.2,1.832,16,2011
2011-01-09,0.019,0.1,0.0,0.04,16,2011
2011-01-10,0.031,0.2,0.0,0.07,16,2011
2011-01-11,9.288,18.4,6.1,3.223,16,2011
2011-01-12,6.262,7.8,5.2,0.79,16,2011
2011-01-13,1.719,2.6,0.9,0.533,16,2011
2011-01-14,2.1,3.6,0.6,0.849,16,2011
2011-01-15,4.281,8.1,0.4,2.601,16,2011
2011-01-16,0.106,0.5,0.0,0.153,16,2011
2011-01-17,10.819,16.5,6.8,2.28,16,2011
2011-01-18,18.119,23.8,13.9,2.275,16,2011
2011-01-19,0.019,0.1,0.0,0.04,16,2011
2011-01-20,0.1,0.4,0.0,0.146,16,2011
2011-01-21,0.331,1.0,0.0,0.316,16,2011
2011-01-22,0.256,1.1,0.0,0.271,16,2011
2011-01-23,0.269,0.5,0.0,0.14,16,2011
2011-01-24,0.194,0.5,0.0,0.169,16,2011
2011-01-25,0.131,0.5,0.0,0.185,16,2011
2011-01-26,0.612,1.4,0.0,0.356,16,2011
2011-01-27,0.462,1.1,0.0,0.348,16,2011
2011-01-28,0.0,0.0,0.0,0.0,16,2011
2011-01-29,0.0,0.0,0.0,0.0,16,2011
2011-01-30,0.0,0.0,0.0,0.0,16,2011
2011-01-31,0.0,0.0,0.0,0.0,16,2011
2011-02-01,0.019,0.3,0.0,0.075,16,2011
2011-02-02,0.047,0.2,0.0,0.08,17,2011
2011-02-03,0.029,0.2,0.0,0.069,17,2011
2011-02-04,0.0,0.0,0.0,0.0,17,2011
2011-02-05,0.018,0.2,0.0,0.053,17,2011
2011-02-06,0.0,0.0,0.0,0.0,17,2011
2011-02-07,0.0,0.0,0.0,0.0,17,2011
2011-02-08,0.0,0.0,0.0,0.0,17,2011
2011-02-09,0.029,0.5,0.0,0.121,17,2011
2011-02-10,0.312,1.6,0.0,0.464,17,2011
2011-02-11,8.635,11.5,6.0,1.742,17,2011
2011-02-12,2.218,3.0,1.4,0.481,17,2011
2011-02-13,0.129,0.6,0.0,0.186,17,2011
2011-02-14,4.629,10.2,1.7,2.175,17,2011
2011-02-15,0.359,1.7,0.0,0.517,17,2011
2011-02-16,1.818,5.2,0.1,1.232,17,2011
2011-02-17,0.006,0.1,0.0,0.024,17,2011
2011-02-18,0.0,0.0,0.0,0.0,17,2011
2011-02-19,8.329,10.9,5.3,1.884,17,2011
2011-02-20,1.959,4.0,0.4,1.09,17,2011
2011-02-21,0.065,0.4,0.0,0.117,17,2011
2011-02-22,0.871,1.6,0.0,0.448,17,2011
2011-02-23,2.271,3.6,1.3,0.676,17,2011
2011-02-24,1.035,1.5,0.6,0.322,17,2011
2011-02-25,0.0,0.0,0.0,0.0,17,2011
2011-02-26,3.247,4.6,1.9,0.656,17,2011
2011-02-27,3.076,5.2,0.7,1.324,17,2011
2011-02-28,2.706,4.7,0.3,1.337,17,2011
2011-03-01,0.371,0.7,0.0,0.193,17,2011
2011-03-02,0.0,0.0,0.0,0.0,16,2011
2011-03-03,0.0,0.0,0.0,0.0,16,2011
2011-03-04,0.012,0.2,0.0,0.05,16,2011
2011-03-05,0.006,0.1,0.0,0.025,16,2011
2011-03-06,0.069,0.2,0.0,0.087,16,2011
2011-03-07,0.006,0.1,0.0,0.025,16,2011
