met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year,significant_rain,days_since_rain,rain_category
2009-01-01,0.0,0.0,0.0,0.0,16,2009,False,,unknown
2009-01-02,0.0,0.0,0.0,0.0,18,2009,False,,unknown
2009-01-03,0.0,0.0,0.0,0.0,18,2009,False,,unknown
2009-01-04,0.011,0.2,0.0,0.047,18,2009,False,,unknown
2009-01-05,0.794,1.8,0.0,0.569,18,2009,False,,unknown
2009-01-06,0.278,1.6,0.0,0.431,18,2009,False,,unknown
2009-01-07,0.0,0.0,0.0,0.0,18,2009,False,,unknown
2009-01-08,0.067,1.0,0.0,0.238,18,2009,False,,unknown
2009-01-09,0.0,0.0,0.0,0.0,18,2009,False,,unknown
2009-01-10,0.011,0.2,0.0,0.047,18,2009,False,,unknown
2009-01-11,0.011,0.2,0.0,0.047,18,2009,False,,unknown
2009-01-12,0.122,0.7,0.0,0.234,18,2009,False,,unknown
2009-01-13,1.733,4.5,0.6,0.892,18,2009,True,0.0,0-2 days
2009-01-14,0.233,1.0,0.0,0.314,18,2009,False,1.0,0-2 days
2009-01-15,0.011,0.1,0.0,0.032,18,2009,False,2.0,0-2 days
2009-01-16,1.05,1.7,0.6,0.281,18,2009,True,0.0,0-2 days
2009-01-17,3.906,7.4,2.0,1.392,18,2009,True,0.0,0-2 days
2009-01-18,9.383,14.5,5.0,3.039,18,2009,True,0.0,0-2 days
2009-01-19,11.211,14.4,7.8,2.201,18,2009,True,0.0,0-2 days
2009-01-20,0.506,1.5,0.0,0.444,18,2009,False,1.0,0-2 days
2009-01-21,0.017,0.2,0.0,0.051,18,2009,False,2.0,0-2 days
2009-01-22,5.828,11.4,2.3,2.422,18,2009,True,0.0,0-2 days
2009-01-23,13.506,19.8,7.1,3.992,18,2009,True,0.0,0-2 days
2009-01-24,1.956,3.5,0.3,0.74,18,2009,True,0.0,0-2 days
2009-01-25,9.25,16.7,5.3,3.408,18,2009,True,0.0,0-2 days
2009-01-26,3.972,7.2,1.5,1.334,18,2009,True,0.0,0-2 days
2009-01-27,0.078,0.5,0.0,0.131,18,2009,False,1.0,0-2 days
2009-01-28,3.083,4.4,1.5,0.97,18,2009,True,0.0,0-2 days
2009-01-29,2.367,3.2,1.1,0.64,18,2009,True,0.0,0-2 days
2009-01-30,0.0,0.0,0.0,0.0,18,2009,False,1.0,0-2 days
2009-01-31,0.0,0.0,0.0,0.0,18,2009,False,2.0,0-2 days
2009-02-01,0.0,0.0,0.0,0.0,18,2009,False,3.0,3-7 days
2009-02-02,8.875,20.0,2.1,4.438,20,2009,True,0.0,0-2 days
2009-02-03,2.705,8.1,0.0,1.79,20,2009,True,0.0,0-2 days
2009-02-04,0.525,1.6,0.0,0.641,20,2009,False,1.0,0-2 days
2009-02-05,6.41,9.7,3.8,1.752,20,2009,True,0.0,0-2 days
2009-02-06,5.875,8.0,2.8,1.403,20,2009,True,0.0,0-2 days
2009-02-07,2.445,5.8,0.4,1.621,20,2009,True,0.0,0-2 days
2009-02-08,0.14,1.8,0.0,0.415,20,2009,False,1.0,0-2 days
2009-02-09,4.69,7.0,2.0,1.407,20,2009,True,0.0,0-2 days
2009-02-10,25.475,34.1,18.5,3.235,20,2009,True,0.0,0-2 days
2009-02-11,0.12,0.5,0.0,0.147,20,2009,False,1.0,0-2 days
2009-02-12,0.955,2.1,0.0,0.608,20,2009,False,2.0,0-2 days
2009-02-13,4.05,8.1,2.2,1.539,20,2009,True,0.0,0-2 days
2009-02-14,0.0,0.0,0.0,0.0,20,2009,False,1.0,0-2 days
2009-02-15,0.02,0.2,0.0,0.062,20,2009,False,2.0,0-2 days
