met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2008-12-31,5127,12.0,1.2,0.0,-0.4,-0.2,6.0,6.0
2009-01-01,5127,24.0,3.1,-0.2,-2.3,-1.1,6.0,6.0
2009-01-02,5127,24.0,5.5,-6.2,-11.3,-6.9,6.0,6.0
2009-01-03,5127,24.0,3.7,-7.1,-11.2,-7.1,6.0,6.0
2009-01-04,5127,24.0,1.4,-6.0,-8.7,-5.1,6.0,6.0
2009-01-05,5127,24.0,2.9,-4.8,-10.9,-6.4,6.0,6.0
2009-01-06,5127,24.0,1.4,-8.9,-12.7,-8.3,6.0,6.0
2009-01-07,5127,24.0,2.7,-0.6,-2.6,-1.4,6.0,6.0
2009-01-08,5127,24.0,6.5,-2.6,-2.3,-2.1,6.0,6.0
2009-01-09,5127,24.0,2.2,-4.1,-7.8,-4.5,6.0,6.0
2009-01-10,5127,24.0,2.8,-4.1,-7.8,-4.6,6.0,6.0
2009-01-11,5127,24.0,9.2,2.8,6.4,6.1,6.0,6.0
2009-01-12,5127,24.0,10.1,5.5,1.5,3.0,6.0,6.0
2009-01-13,5127,24.0,10.1,-1.4,-5.2,-2.5,6.0,6.0
2009-01-14,5127,24.0,6.7,0.7,1.0,1.8,6.0,6.0
2009-01-15,5127,24.0,6.6,4.3,1.4,3.3,6.0,6.0
2009-01-16,5127,24.0,9.2,6.2,4.3,5.1,6.0,6.0
2009-01-17,5127,24.0,10.0,3.4,0.1,2.3,6.0,6.0
2009-01-18,5127,24.0,7.2,3.6,0.1,2.1,6.0,6.0
2009-01-19,5127,24.0,7.4,1.4,-1.2,0.2,6.0,6.0
2009-01-20,5127,24.0,7.1,-4.4,-8.4,-5.2,6.0,6.0
2009-01-21,5127,24.0,8.6,1.9,4.0,4.3,6.0,6.0
2009-01-22,5127,24.0,10.1,4.3,2.1,2.9,2006.0,6.0
2009-01-23,5127,24.0,6.9,-3.5,-7.6,-4.8,6.0,6.0
2009-01-24,5127,24.0,7.2,-0.9,-0.4,1.3,6.0,2006.0
2009-01-25,5127,24.0,7.5,3.4,-1.4,0.6,6.0,6.0
2009-01-26,5127,24.0,10.2,-2.4,-6.2,-3.6,6.0,6.0
2009-01-27,5127,24.0,8.9,0.4,3.1,4.4,6.0,6.0
2009-01-28,5127,24.0,7.2,2.4,2.2,2.7,6.0,6.0
2009-01-29,5127,24.0,6.2,0.4,-3.7,-1.7,6.0,6.0
2009-01-30,5127,24.0,8.3,1.5,-2.7,-0.8,6.0,6.0
2009-01-31,5127,24.0,5.5,-0.2,-3.3,-1.5,6.0,6.0
2009-02-01,5127,24.0,2.6,-3.0,-5.1,-4.5,6.0,6.0
2009-02-02,5127,24.0,0.4,-4.4,-8.1,-6.2,6.0,6.0
2009-02-03,5127,24.0,4.0,-1.7,-4.8,-3.0,6.0,6.0
2009-02-04,5127,24.0,5.3,0.5,-0.7,-0.4,6.0,6.0
2009-02-05,5127,24.0,2.7,0.3,-0.2,-0.2,6.0,6.0
2009-02-06,5127,24.0,1.4,-2.9,-6.3,-4.1,6.0,6.0
2009-02-07,5127,24.0,4.0,-2.3,-6.6,-3.7,6.0,6.0
2009-02-08,5127,24.0,6.5,-0.6,-4.1,-2.2,6.0,6.0
2009-02-09,5127,24.0,5.5,1.1,0.5,0.4,6.0,6.0
2009-02-10,5127,24.0,5.8,-3.8,-7.6,-4.2,6.0,6.0
2009-02-11,5127,24.0,7.1,-3.3,-7.8,-4.3,6.0,6.0
2009-02-12,5127,24.0,4.6,-0.6,-0.1,-0.2,6.0,6.0
2009-02-13,5127,24.0,6.0,-4.3,-8.5,-4.9,6.0,6.0
2009-02-14,5127,24.0,6.5,-2.1,1.4,2.5,6.0,6.0
2009-02-15,5127,24.0,8.8,3.2,-1.8,0.6,6.0,6.0
2009-02-16,5127,24.0,10.6,4.8,0.2,2.1,6.0,6.0
2009-02-17,5127,24.0,10.7,6.3,4.4,5.7,6.0,6.0
2009-02-18,5127,24.0,9.4,6.0,5.2,5.9,6.0,6.0
2009-02-19,5127,24.0,9.7,3.7,-1.3,1.9,6.0,6.0
2009-02-20,5127,24.0,9.9,2.1,-2.6,1.1,6.0,6.0
2009-02-21,5127,24.0,12.6,4.9,1.5,4.1,6.0,6.0
2009-02-22,5127,24.0,10.8,6.4,3.3,5.5,6.0,6.0
2009-02-23,5127,24.0,10.6,6.9,3.9,5.7,6.0,6.0
2009-02-24,5127,24.0,11.0,8.1,7.1,7.9,6.0,6.0
2009-02-25,5127,24.0,9.7,5.2,2.4,4.1,6.0,6.0
2009-02-26,5127,24.0,9.5,6.3,3.5,5.1,6.0,6.0
2009-02-27,5127,24.0,14.7,6.8,5.7,6.8,6.0,6.0
2009-02-28,5127,24.0,10.2,0.9,-3.5,0.4,6.0,6.0
2009-03-01,5127,24.0,10.5,-1.5,-7.1,-2.7,6.0,6.0
2009-03-02,5127,24.0,11.8,4.4,3.4,5.0,6.0,6.0
2009-03-03,5127,24.0,10.8,2.8,1.7,2.9,6.0,6.0
2009-03-04,5127,24.0,8.3,-1.3,-6.0,-1.4,6.0,6.0
2009-03-05,5127,24.0,7.8,-2.3,-8.0,-3.9,6.0,6.0
2009-03-06,5127,24.0,11.0,2.5,-1.1,3.1,6.0,6.0
2009-03-07,5127,24.0,13.0,5.4,2.5,3.9,6.0,6.0
2009-03-08,5127,24.0,10.2,1.9,-1.8,0.6,6.0,6.0
2009-03-09,5127,24.0,11.4,5.9,4.3,5.5,6.0,6.0
2009-03-10,5127,24.0,12.1,-1.6,-5.6,-2.2,6.0,6.0
2009-03-11,5127,24.0,14.1,4.5,8.0,8.9,6.0,6.0
2009-03-12,5127,24.0,13.1,6.6,2.0,4.8,2006.0,6.0
2009-03-13,5127,24.0,11.3,6.4,3.9,5.9,6.0,6.0
2009-03-14,5127,24.0,12.7,1.9,-3.4,0.2,6.0,6.0
2009-03-15,5127,24.0,14.4,0.7,-3.1,0.6,6.0,6.0
2009-03-16,5127,24.0,16.4,2.5,-2.0,2.0,6.0,6.0
2009-03-17,5127,24.0,15.6,2.1,-2.2,1.0,6.0,6.0
2009-03-18,5127,24.0,16.3,0.2,-4.2,-0.2,6.0,6.0
2009-03-19,5127,24.0,14.5,3.6,-1.5,2.1,6.0,6.0
2009-03-20,5127,24.0,13.4,-1.8,-6.1,-2.1,6.0,6.0
2009-03-21,5127,24.0,15.1,4.5,-0.4,3.0,6.0,6.0
2009-03-22,5127,24.0,14.5,5.8,0.8,4.9,6.0,6.0
2009-03-23,5127,24.0,12.6,3.3,-0.5,1.8,6.0,6.0
2009-03-24,5127,24.0,11.4,5.8,3.7,4.9,6.0,6.0
2009-03-25,5127,24.0,12.0,6.6,4.1,5.3,6.0,6.0
2009-03-26,5127,24.0,13.9,3.8,1.1,1.8,6.0,6.0
2009-03-27,5127,24.0,11.4,1.4,-2.8,0.6,6.0,6.0
2009-03-28,5127,24.0,10.5,-2.5,-7.0,-2.0,6.0,6.0
2009-03-29,5127,24.0,10.2,-2.7,-6.9,-2.1,6.0,6.0
2009-03-30,5127,24.0,13.0,6.8,6.5,8.0,6.0,6.0
2009-03-31,5127,24.0,14.2,1.1,-3.0,1.6,6.0,6.0
2009-04-01,5127,24.0,15.9,6.7,2.8,5.3,6.0,6.0
2009-04-02,5127,24.0,15.8,4.4,4.6,6.4,6.0,6.0
2009-04-03,5127,24.0,14.0,5.0,4.8,7.5,6.0,6.0
2009-04-04,5127,24.0,16.3,5.2,-1.0,5.4,6.0,6.0
2009-04-05,5127,24.0,14.3,7.3,0.3,6.8,6.0,6.0
2009-04-06,5127,24.0,17.4,7.4,3.8,7.0,6.0,6.0
2009-04-07,5127,24.0,15.3,7.7,4.8,7.7,6.0,6.0
2009-04-08,5127,24.0,15.9,6.6,2.2,6.8,6.0,6.0
2009-04-09,5127,24.0,14.9,10.7,6.7,9.0,6.0,6.0
2009-04-10,5127,24.0,13.1,8.3,8.6,9.3,6.0,6.0
2009-04-11,5127,24.0,10.9,8.6,9.0,9.2,6.0,6.0
2009-04-12,5127,24.0,12.0,8.5,5.7,8.7,6.0,6.0
2009-04-13,5127,24.0,17.4,5.4,0.9,6.4,6.0,6.0
2009-04-14,5127,24.0,17.6,9.3,6.7,9.0,6.0,6.0
2009-04-15,5127,24.0,20.8,11.7,7.4,11.1,6.0,6.0
2009-04-16,5127,24.0,13.6,7.6,8.5,9.2,6.0,6.0
2009-04-17,5127,24.0,11.0,4.7,3.2,3.9,6.0,6.0
2009-04-18,5127,24.0,15.9,4.7,3.4,4.2,6.0,6.0
2009-04-19,5127,24.0,16.4,3.6,0.6,4.8,6.0,6.0
2009-04-20,5127,24.0,18.4,3.7,0.5,5.0,6.0,6.0
2009-04-21,5127,24.0,19.8,5.3,-0.9,5.6,6.0,6.0
2009-04-22,5127,24.0,19.7,7.2,1.9,8.1,6.0,6.0
2009-04-23,5127,24.0,18.7,8.4,2.3,7.7,6.0,6.0
