met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2009-12-31,5034,12.0,3.3,0.5,-3.3,-2.1,1006.0,6.0
2010-01-01,5034,24.0,3.6,-0.8,-4.4,-2.8,6.0,6.0
2010-01-02,5034,24.0,4.6,0.7,-3.2,-2.0,6.0,6.0
2010-01-03,5034,24.0,3.7,-3.1,-7.1,-4.8,6.0,6.0
2010-01-04,5034,24.0,1.2,-3.6,-7.4,-5.2,6.0,6.0
2010-01-05,5034,24.0,2.8,-1.6,-1.2,-0.9,6.0,6.0
2010-01-06,5034,24.0,1.6,-3.4,-5.6,-4.8,6.0,6.0
2010-01-07,5034,24.0,1.6,-3.3,-4.6,-3.3,6.0,1006.0
2010-01-08,5034,24.0,1.6,-2.3,-4.9,-3.9,6.0,6.0
2010-01-09,5034,24.0,2.3,-1.7,-1.4,-1.0,6.0,1006.0
2010-01-10,5034,24.0,2.7,0.5,0.0,-0.1,6.0,6.0
2010-01-11,5034,24.0,2.1,0.8,-0.9,-0.2,6.0,6.0
2010-01-12,5034,24.0,2.4,0.0,-0.2,-0.1,6.0,6.0
2010-01-13,5034,24.0,2.9,0.0,-2.1,-0.9,6.0,6.0
2010-01-14,5034,24.0,4.5,0.9,,,6.0,6.0
2010-01-15,5034,24.0,6.9,1.2,2.9,3.0,6.0,6.0
2010-01-16,5034,24.0,8.1,2.9,-1.1,-0.3,6.0,6.0
2010-01-17,5034,24.0,9.3,2.1,-2.6,-1.4,6.0,6.0
2010-01-18,5034,24.0,7.7,3.8,4.5,4.5,6.0,6.0
2010-01-19,5034,24.0,7.7,4.0,2.7,3.2,6.0,6.0
2010-01-20,5034,24.0,4.4,3.4,2.6,2.8,6.0,6.0
2010-01-21,5034,24.0,7.9,3.8,1.1,1.8,6.0,6.0
2010-01-22,5034,24.0,8.6,6.9,5.9,5.9,6.0,6.0
2010-01-23,5034,24.0,7.2,4.2,2.8,3.4,6.0,6.0
2010-01-24,5034,24.0,6.2,4.2,0.0,2.4,6.0,6.0
2010-01-25,5034,24.0,5.0,1.3,0.2,1.0,6.0,6.0
2010-01-26,5034,24.0,3.1,-1.7,-5.4,-3.1,6.0,6.0
2010-01-27,5034,24.0,7.3,0.5,1.8,2.2,6.0,6.0
2010-01-28,5034,24.0,7.9,4.4,3.7,3.9,6.0,6.0
2010-01-29,5034,24.0,6.2,-0.8,-4.1,-2.8,6.0,6.0
2010-01-30,5034,24.0,4.2,-2.1,-6.9,-4.2,6.0,6.0
2010-01-31,5034,24.0,3.9,-0.4,-5.3,-3.4,1006.0,6.0
2010-02-01,5034,24.0,6.5,0.5,-3.5,-2.0,6.0,1006.0
2010-02-02,5034,24.0,8.7,3.0,1.5,2.2,6.0,6.0
2010-02-03,5034,24.0,9.1,4.1,4.4,4.4,6.0,6.0
2010-02-04,5034,24.0,9.3,6.5,3.5,3.9,6.0,6.0
2010-02-05,5034,24.0,11.5,4.6,0.5,1.4,6.0,6.0
2010-02-06,5034,24.0,7.3,4.3,1.2,2.6,6.0,6.0
2010-02-07,5034,24.0,5.7,2.6,1.3,1.7,6.0,6.0
2010-02-08,5034,24.0,3.1,0.9,-1.4,-1.2,6.0,6.0
2010-02-09,5034,24.0,6.1,1.4,-0.4,-0.5,6.0,1006.0
2010-02-10,5034,24.0,3.6,0.2,-2.9,-1.8,6.0,6.0
2010-02-11,5034,24.0,4.0,1.1,-1.8,-0.9,6.0,6.0
2010-02-12,5034,24.0,4.3,1.8,-0.5,-0.5,6.0,6.0
2010-02-13,5034,24.0,4.7,1.7,-1.2,0.0,6.0,1006.0
2010-02-14,5034,24.0,5.6,-0.9,-4.4,-2.4,6.0,6.0
2010-02-15,5034,24.0,5.5,1.2,0.1,1.1,6.0,6.0
2010-02-16,5034,24.0,5.7,3.2,1.7,2.5,6.0,6.0
2010-02-17,5034,24.0,9.1,-0.4,-4.2,-2.0,6.0,6.0
2010-02-18,5034,24.0,6.5,1.9,0.4,1.7,6.0,6.0
2010-02-19,5034,24.0,6.1,-1.6,-6.2,-3.3,6.0,6.0
2010-02-20,5034,24.0,7.0,-0.3,-5.2,-3.1,6.0,6.0
2010-02-21,5034,24.0,7.7,3.6,1.7,2.6,6.0,6.0
2010-02-22,5034,24.0,4.0,2.4,1.9,1.9,6.0,6.0
2010-02-23,5034,24.0,8.1,2.4,0.9,1.8,6.0,6.0
2010-02-24,5034,24.0,11.4,7.2,5.7,6.1,6.0,6.0
2010-02-25,5034,24.0,10.2,5.8,4.9,5.1,6.0,6.0
2010-02-26,5034,24.0,9.4,5.0,0.5,1.3,6.0,6.0
2010-02-27,5034,24.0,11.1,5.6,4.5,5.0,6.0,6.0
2010-02-28,5034,24.0,6.9,0.9,-3.1,-1.2,6.0,6.0
2010-03-01,5034,24.0,10.8,0.5,-3.6,-1.7,6.0,6.0
2010-03-02,5034,24.0,10.9,2.9,-0.2,1.1,6.0,6.0
2010-03-03,5034,24.0,6.3,2.9,1.2,1.4,6.0,6.0
2010-03-04,5034,24.0,7.8,-1.7,-6.8,-3.6,6.0,6.0
2010-03-05,5034,24.0,10.3,1.2,1.0,1.3,6.0,6.0
2010-03-06,5034,24.0,6.9,-0.8,-6.2,-3.6,6.0,6.0
2010-03-07,5034,24.0,5.7,-0.7,-4.3,-3.0,6.0,6.0
2010-03-08,5034,24.0,6.9,1.6,1.2,1.9,6.0,6.0
2010-03-09,5034,24.0,8.1,3.3,1.3,2.2,6.0,6.0
2010-03-10,5034,24.0,6.1,2.8,-1.3,0.3,6.0,6.0
2010-03-11,5034,24.0,5.9,2.3,-2.8,-0.3,6.0,6.0
2010-03-12,5034,24.0,9.4,4.6,2.6,3.0,6.0,6.0
2010-03-13,5034,24.0,9.7,4.3,0.6,2.2,6.0,6.0
