met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2010-12-31,5275,12.0,4.6,3.5,3.2,,6.0,6.0
2011-01-01,5275,24.0,5.4,0.0,-1.8,,6.0,6.0
2011-01-02,5275,24.0,2.5,-2.2,-5.6,,6.0,6.0
2011-01-03,5275,24.0,1.9,-1.8,-1.2,,6.0,6.0
2011-01-04,5275,24.0,4.7,1.5,0.7,,6.0,6.0
2011-01-05,5275,24.0,6.4,3.4,2.7,,6.0,6.0
2011-01-06,5275,24.0,3.9,0.5,-1.6,,6.0,6.0
2011-01-07,5275,24.0,9.8,3.9,7.5,,6.0,6.0
2011-01-08,5275,24.0,9.2,0.6,-1.7,,6.0,6.0
2011-01-09,5275,24.0,5.5,0.4,-4.3,,6.0,6.0
2011-01-10,5275,24.0,6.7,3.7,3.3,,6.0,6.0
2011-01-11,5275,24.0,7.4,2.3,-0.4,,6.0,6.0
2011-01-12,5275,24.0,10.7,7.3,9.4,,6.0,6.0
2011-01-13,5275,24.0,11.0,9.7,9.4,,6.0,6.0
2011-01-14,5275,24.0,10.2,6.2,4.6,,6.0,6.0
2011-01-15,5275,24.0,10.2,8.4,7.2,,6.0,6.0
2011-01-16,5275,24.0,10.9,6.6,3.3,,6.0,6.0
2011-01-17,5275,24.0,8.7,2.6,2.1,,6.0,6.0
2011-01-18,5275,24.0,6.1,-1.2,-5.4,,6.0,6.0
2011-01-19,5275,24.0,4.2,-0.3,0.1,,6.0,6.0
2011-01-20,5275,24.0,4.3,1.6,0.3,,6.0,6.0
2011-01-21,5275,24.0,2.4,-0.8,-2.7,,6.0,6.0
2011-01-22,5275,24.0,5.2,0.9,3.4,,6.0,6.0
2011-01-23,5275,24.0,6.1,4.5,4.0,,6.0,6.0
2011-01-24,5275,24.0,5.6,1.9,-0.1,,6.0,6.0
2011-01-25,5275,24.0,7.0,4.9,4.7,,6.0,6.0
2011-01-26,5275,24.0,5.8,0.2,0.0,,6.0,6.0
2011-01-27,5275,24.0,1.7,-0.7,-1.2,,6.0,6.0
2011-01-28,5275,24.0,0.7,-0.9,-1.5,,6.0,1006.0
2011-01-29,5275,24.0,0.7,-1.7,-3.1,,6.0,6.0
2011-01-30,5275,24.0,3.4,-2.4,-7.6,,6.0,6.0
2011-01-31,5275,24.0,4.2,-3.7,-6.5,,6.0,6.0
2011-02-01,5275,24.0,6.2,0.9,-0.5,,6.0,6.0
2011-02-02,5275,24.0,8.9,3.9,1.5,,6.0,6.0
2011-02-03,5275,24.0,8.8,5.1,5.2,,6.0,6.0
2011-02-04,5275,24.0,10.2,8.7,8.2,,6.0,6.0
2011-02-05,5275,24.0,10.3,8.1,7.0,,6.0,6.0
2011-02-06,5275,24.0,9.5,6.6,6.0,,6.0,6.0
2011-02-07,5275,24.0,9.9,0.8,-6.0,,6.0,6.0
