met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2012-12-31,5113,12.0,10.1,3.3,1.5,1.3,6.0,6.0
2013-01-01,5113,24.0,8.0,2.0,-1.6,-0.6,6.0,1006.0
2013-01-02,5113,24.0,11.0,5.7,7.0,6.6,6.0,6.0
2013-01-03,5113,24.0,11.4,9.1,8.5,8.1,6.0,6.0
2013-01-04,5113,24.0,10.3,7.9,7.8,7.6,6.0,6.0
2013-01-05,5113,24.0,10.9,5.5,2.0,3.1,6.0,6.0
2013-01-06,5113,24.0,9.0,7.1,6.7,6.6,6.0,6.0
2013-01-07,5113,24.0,10.0,7.4,6.8,6.2,6.0,6.0
2013-01-08,5113,24.0,11.5,8.0,7.9,7.7,6.0,1006.0
2013-01-09,5113,24.0,9.2,-0.7,-4.6,-2.2,6.0,6.0
2013-01-10,5113,24.0,3.5,0.7,-1.4,-0.8,6.0,6.0
2013-01-11,5113,24.0,7.4,0.4,-2.5,-1.7,6.0,6.0
2013-01-12,5113,24.0,4.8,-0.3,-1.5,-1.8,6.0,6.0
2013-01-13,5113,24.0,3.6,-0.3,-1.1,-0.4,6.0,6.0
2013-01-14,5113,24.0,3.4,-0.1,-0.2,-0.6,1006.0,1006.0
2013-01-15,5113,24.0,2.7,-2.6,-6.8,-4.9,6.0,6.0
2013-01-16,5113,24.0,0.3,-4.9,-9.3,-5.8,6.0,6.0
2013-01-17,5113,24.0,2.6,-1.8,-1.6,-1.6,6.0,6.0
2013-01-18,5113,24.0,0.6,-2.1,-0.5,-0.1,6.0,6.0
2013-01-19,5113,24.0,1.0,-1.4,-1.7,-1.7,6.0,6.0
2013-01-20,5113,24.0,-0.2,-1.5,-1.4,-0.2,6.0,6.0
2013-01-21,5113,24.0,2.0,-4.7,-11.4,-6.1,6.0,6.0
2013-01-22,5113,24.0,3.1,-0.6,0.8,0.3,6.0,6.0
2013-01-23,5113,24.0,2.5,1.1,0.6,0.4,6.0,6.0
2013-01-24,5113,24.0,2.3,-0.5,-3.7,-2.8,6.0,6.0
2013-01-25,5113,24.0,3.6,1.0,0.7,0.2,6.0,6.0
