met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2013-12-31,5129,24,10.3,4.5,,,6,6
2014-01-01,5129,24,10.5,5.2,,,6,6
2014-01-02,5129,24,10.5,5.4,,,6,6
2014-01-03,5129,24,10.5,5.5,,,6,6
2014-01-04,5129,24,8.8,0.0,,,6,6
2014-01-05,5129,24,12.0,2.5,,,6,6
2014-01-06,5129,24,12.5,9.0,,,6,6
2014-01-07,5129,24,11.9,7.0,,,6,6
2014-01-08,5129,24,11.4,7.9,,,6,6
2014-01-09,5129,24,9.0,1.0,,,6,6
2014-01-10,5129,24,9.9,2.5,,,6,6
2014-01-11,5129,24,8.2,-2.2,,,6,6
2014-01-12,5129,24,9.5,2.7,,,6,6
2014-01-13,5129,24,9.3,0.0,,,6,6
2014-01-14,5129,24,9.5,1.5,,,6,6
2014-01-15,5129,24,10.5,6.4,,,6,6
2014-01-16,5129,24,10.4,5.8,,,6,6
2014-01-17,5129,24,9.1,5.0,,,6,6
2014-01-18,5129,24,10.0,5.5,,,6,6
2014-01-19,5129,24,8.9,-1.4,,,6,6
2014-01-20,5129,24,8.0,-0.5,,,6,2006
2014-01-21,5129,24,7.8,2.4,,,6,6
2014-01-22,5129,24,10.0,2.4,,,6,6
2014-01-23,5129,24,8.1,1.0,,,6,6
2014-01-24,5129,24,8.4,3.6,,,6,6
2014-01-25,5129,24,11.6,3.4,,,6,6
2014-01-26,5129,24,9.0,1.5,,,6,6
2014-01-27,5129,24,7.7,3.3,,,6,6
2014-01-28,5129,24,9.7,4.0,,,6,6
2014-01-29,5129,24,4.0,2.5,,,6,6
2014-01-30,5129,24,5.5,2.0,,,6,6
2014-01-31,5129,24,9.1,3.0,,,6,6
2014-02-01,5129,24,8.7,4.9,,,6,6
2014-02-02,5129,24,9.2,4.8,,,6,6
2014-02-03,5129,24,9.0,1.5,,,6,6
2014-02-04,5129,24,8.0,2.5,,,6,6
2014-02-05,5129,24,8.5,3.2,,,6,6
2014-02-06,5129,24,7.8,2.8,,,6,6
2014-02-07,5129,24,11.8,5.0,,,6,6
2014-02-08,5129,24,10.2,1.0,,,6,6
2014-02-09,5129,24,10.0,4.0,,,6,6
2014-02-10,5129,24,8.5,3.5,,,6,6
2014-02-11,5129,24,9.5,5.0,,,6,6
2014-02-12,5129,24,9.2,6.8,,,6,6
2014-02-13,5129,24,9.8,3.0,,,6,6
2014-02-14,5129,24,9.0,5.0,,,6,2006
2014-02-15,5129,24,9.0,7.0,,,6,6
2014-02-16,5129,24,8.0,3.8,,,6,6
2014-02-17,5129,24,10.5,7.0,,,6,6
2014-02-18,5129,24,10.5,4.1,,,6,6
2014-02-19,5129,24,10.2,6.0,,,6,6
2014-02-20,5129,24,12.5,2.0,,,6,6
2014-02-21,5129,24,10.2,3.5,,,6,6
2014-02-22,5129,24,11.5,6.1,,,6,6
2014-02-23,5129,24,12.0,6.5,,,6,6
2014-02-24,5129,24,14.4,7.5,,,6,6
2014-02-25,5129,24,10.0,1.6,,,6,6
2014-02-26,5129,24,11.4,5.1,,,6,6
2014-02-27,5129,24,11.5,2.3,,,6,6
2014-02-28,5129,24,7.0,0.6,,,6,6
2014-03-01,5129,24,9.0,1.1,,,6,6
2014-03-02,5129,24,10.0,1.9,,,6,6
2014-03-03,5129,24,8.3,-0.5,,,6,6
2014-03-04,5129,24,10.5,-0.9,,,6,6
2014-03-05,5129,24,12.5,4.5,,,6,6
2014-03-06,5129,24,13.2,6.7,,,6,6
2014-03-07,5129,24,16.0,6.9,,,6,6
2014-03-08,5129,24,15.9,6.4,,,6,6
2014-03-09,5129,24,19.6,3.2,,,6,6
2014-03-10,5129,24,12.0,5.5,,,6,6
2014-03-11,5129,24,10.5,1.6,,,6,6
2014-03-12,5129,24,14.5,2.0,,,6,6
2014-03-13,5129,24,17.4,1.6,,,6,6
2014-03-14,5129,24,17.0,7.1,,,6,6
2014-03-15,5129,24,17.7,5.5,,,6,6
2014-03-16,5129,24,19.4,4.6,,,6,6
2014-03-17,5129,24,14.3,7.0,,,6,6
2014-03-18,5129,24,13.5,6.6,,,6,6
2014-03-19,5129,24,16.0,6.4,,,6,6
2014-03-20,5129,24,13.6,5.8,,,6,6
2014-03-21,5129,24,12.5,3.2,,,6,6
2014-03-22,5129,24,10.9,1.0,,,6,6
2014-03-23,5129,24,10.0,-1.5,,,6,6
2014-03-24,5129,24,11.5,5.1,,,6,6
2014-03-25,5129,24,8.3,1.4,,,6,6
2014-03-26,5129,24,9.0,1.6,,,6,6
2014-03-27,5129,24,10.5,2.0,,,6,6
2014-03-28,5129,24,13.6,7.0,,,6,6
2014-03-29,5129,24,19.0,5.8,,,6,6
2014-03-30,5129,24,20.0,10.0,,,6,6
2014-03-31,5129,24,17.8,6.2,,,6,6
2014-04-01,5129,24,18.2,8.5,,,6,2006
2014-04-02,5129,24,18.6,10.1,,,6,6
2014-04-03,5129,24,19.1,10.5,,,6,6
2014-04-04,5129,24,14.5,5.4,,,6,6
2014-04-05,5129,24,14.6,9.0,,,6,2006
2014-04-06,5129,24,14.5,11.8,,,6,6
2014-04-07,5129,24,13.5,5.1,,,6,6
2014-04-08,5129,24,13.5,2.9,,,6,6
2014-04-09,5129,24,16.8,5.2,,,6,6
2014-04-10,5129,24,17.0,8.9,,,6,6
2014-04-11,5129,24,16.0,5.1,,,6,6
2014-04-12,5129,24,13.0,5.5,,,6,6
2014-04-13,5129,24,16.2,6.5,,,6,6
2014-04-14,5129,24,15.7,1.6,,,6,6
2014-04-15,5129,24,14.9,1.0,,,6,6
2014-04-16,5129,24,17.5,4.9,,,6,6
2014-04-17,5129,24,16.7,4.5,,,6,6
2014-04-18,5129,24,12.6,2.0,,,6,6
2014-04-19,5129,24,13.8,5.8,,,6,6
2014-04-20,5129,24,14.4,4.4,,,6,6
2014-04-21,5129,24,18.5,9.1,,,6,6
2014-04-22,5129,24,14.5,6.9,,,6,6
2014-04-23,5129,24,17.5,9.8,,,6,6
2014-04-24,5129,24,16.5,8.3,,,6,6
2014-04-25,5129,24,12.0,7.4,,,6,6
2014-04-26,5129,24,16.0,8.9,,,6,6
2014-04-27,5129,24,15.5,8.5,,,6,6
2014-04-28,5129,24,17.5,9.0,,,6,6
2014-04-29,5129,24,16.5,5.4,,,6,6
2014-04-30,5129,24,20.0,9.3,,,6,6
2014-05-01,5129,24,14.1,8.0,,,6,6
2014-05-02,5129,24,11.5,0.6,,,6,6
2014-05-03,5129,24,13.7,4.5,,,6,6
2014-05-04,5129,24,17.5,4.8,,,6,6
2014-05-05,5129,24,19.0,10.9,,,6,6
2014-05-06,5129,24,18.5,9.8,,,6,6
2014-05-07,5129,24,16.5,10.0,,,6,6
2014-05-08,5129,24,15.0,10.5,,,6,6
2014-05-09,5129,24,16.4,10.0,,,6,6
2014-05-10,5129,24,17.5,8.0,,,6,6
2014-05-11,5129,24,13.5,8.8,,,6,6
2014-05-12,5129,24,16.5,6.9,,,6,6
2014-05-13,5129,24,15.5,5.9,,,6,6
2014-05-14,5129,24,18.1,7.0,,,6,6
2014-05-15,5129,24,20.0,8.3,,,6,6
2014-05-16,5129,24,21.7,10.4,,,6,6
2014-05-17,5129,24,23.5,11.8,,,6,6
2014-05-18,5129,24,23.9,11.1,,,6,6
2014-05-19,5129,24,25.8,14.5,,,6,6
2014-05-20,5129,24,19.5,8.4,,,6,6
2014-05-21,5129,24,19.0,11.8,,,6,6
2014-05-22,5129,24,17.5,11.0,,,6,6
2014-05-23,5129,24,16.5,10.5,,,6,6
2014-05-24,5129,24,16.1,9.0,,,6,6
2014-05-25,5129,24,18.0,7.5,,,6,6
2014-05-26,5129,24,12.0,10.0,,,6,6
2014-05-27,5129,24,13.4,8.9,,,6,6
2014-05-28,5129,24,16.0,11.5,,,6,6
2014-05-29,5129,24,19.0,11.9,,,6,6
2014-05-30,5129,24,16.0,7.0,,,6,6
2014-05-31,5129,24,18.0,9.4,,,6,6
2014-06-01,5129,24,21.5,12.6,,,6,6
2014-06-02,5129,24,20.1,12.3,,,6,6
2014-06-03,5129,24,19.8,11.0,,,6,6
2014-06-04,5129,24,13.5,7.9,,,6,6
2014-06-05,5129,24,19.0,6.5,,,6,6
2014-06-06,5129,24,23.9,14.5,,,6,6
2014-06-07,5129,24,22.2,12.4,,,6,6
2014-06-08,5129,24,24.2,13.6,,,6,6
2014-06-09,5129,24,25.5,12.5,,,6,6
2014-06-10,5129,24,22.0,10.6,,,6,6
2014-06-11,5129,24,21.5,10.9,,,6,6
2014-06-12,5129,24,24.3,12.5,,,6,6
2014-06-13,5129,24,25.0,14.5,,,6,6
2014-06-14,5129,24,21.4,13.0,,,6,6
2014-06-15,5129,24,18.0,12.1,,,6,6
2014-06-16,5129,24,17.2,12.4,,,6,6
2014-06-17,5129,24,20.2,13.1,,,6,6
2014-06-18,5129,24,21.4,10.8,,,6,6
2014-06-19,5129,24,19.7,9.8,,,6,6
2014-06-20,5129,24,22.5,11.9,,,6,6
2014-06-21,5129,24,22.6,12.5,,,6,6
2014-06-22,5129,24,24.5,13.1,,,6,6
2014-06-23,5129,24,24.5,12.8,,,6,6
2014-06-24,5129,24,23.8,9.8,,,6,6
2014-06-25,5129,24,21.0,9.5,,,6,6
2014-06-26,5129,24,21.6,13.6,,,6,6
2014-06-27,5129,24,21.1,11.4,,,6,6
2014-06-28,5129,24,18.0,11.6,,,6,6
2014-06-29,5129,24,18.0,8.8,,,6,6
2014-06-30,5129,24,21.5,10.8,,,6,6
2014-07-01,5129,24,23.0,9.5,,,6,6
2014-07-02,5129,24,24.0,12.2,,,6,6
2014-07-03,5129,24,26.1,13.1,,,6,6
2014-07-04,5129,24,26.0,16.0,,,6,6
2014-07-05,5129,24,21.0,13.4,,,6,6
2014-07-06,5129,24,21.4,9.9,,,6,6
2014-07-07,5129,24,21.1,10.1,,,6,6
2014-07-08,5129,24,19.7,11.5,,,6,6
2014-07-09,5129,24,22.4,14.0,,,6,6
2014-07-10,5129,24,20.5,11.5,,,6,6
2014-07-11,5129,24,20.5,13.5,,,6,2006
2014-07-12,5129,24,26.4,17.0,,,6,6
2014-07-13,5129,24,23.0,11.0,,,6,6
2014-07-14,5129,24,24.0,16.8,,,6,6
2014-07-15,5129,24,24.7,12.8,,,6,6
2014-07-16,5129,24,25.1,16.0,,,6,6
2014-07-17,5129,24,28.6,17.0,,,6,6
2014-07-18,5129,24,30.4,19.0,,,6,6
2014-07-19,5129,24,27.6,17.4,,,6,6
2014-07-20,5129,24,25.0,15.0,,,6,6
2014-07-21,5129,24,26.0,14.1,,,6,6
2014-07-22,5129,24,25.8,14.5,,,6,6
2014-07-23,5129,24,28.5,15.0,,,6,6
2014-07-24,5129,24,29.0,16.0,,,6,6
2014-07-25,5129,24,26.2,15.7,,,6,6
2014-07-26,5129,24,28.0,17.7,,,6,6
2014-07-27,5129,24,24.5,14.4,,,6,6
2014-07-28,5129,24,24.0,14.5,,,6,6
2014-07-29,5129,24,26.4,13.0,,,6,6
2014-07-30,5129,24,25.0,13.5,,,6,6
2014-07-31,5129,24,24.5,15.0,,,6,6
2014-08-01,5129,24,25.5,16.0,,,6,6
2014-08-02,5129,24,23.5,10.6,,,6,6
2014-08-03,5129,24,23.0,12.5,,,6,6
2014-08-04,5129,24,24.0,12.4,,,6,6
2014-08-05,5129,24,23.5,16.4,,,6,6
2014-08-06,5129,24,25.5,13.5,,,6,6
2014-08-07,5129,24,25.5,16.0,,,6,6
2014-08-08,5129,24,23.0,12.5,,,6,6
2014-08-09,5129,24,22.5,14.6,,,6,6
2014-08-10,5129,24,21.5,11.5,,,6,6
2014-08-11,5129,24,20.9,11.8,,,6,6
2014-08-12,5129,24,19.8,10.5,,,6,6
2014-08-13,5129,24,21.0,12.1,,,6,6
2014-08-14,5129,24,20.6,11.9,,,6,6
2014-08-15,5129,24,18.5,10.0,,,6,6
2014-08-16,5129,24,19.8,13.5,,,6,6
2014-08-17,5129,24,20.4,10.5,,,6,6
2014-08-18,5129,24,20.0,9.8,,,6,6
2014-08-19,5129,24,18.4,8.0,,,6,6
2014-08-20,5129,24,18.6,6.5,,,6,6
2014-08-21,5129,24,17.5,11.4,,,6,6
2014-08-22,5129,24,19.6,8.0,,,6,6
2014-08-23,5129,24,19.0,6.3,,,6,6
2014-08-24,5129,24,18.0,11.5,,,6,6
2014-08-25,5129,24,17.0,13.1,,,6,6
2014-08-26,5129,24,16.8,9.9,,,6,6
2014-08-27,5129,24,19.0,14.1,,,6,6
2014-08-28,5129,24,22.2,12.6,,,6,6
2014-08-29,5129,24,20.5,14.1,,,6,6
2014-08-30,5129,24,18.9,12.1,,,6,6
2014-08-31,5129,24,21.5,11.2,,,6,6
2014-09-01,5129,24,19.2,11.9,,,6,6
2014-09-02,5129,24,22.5,14.4,,,6,6
2014-09-03,5129,24,23.5,12.4,,,6,6
2014-09-04,5129,24,20.2,14.8,,,6,6
2014-09-05,5129,24,19.4,15.7,,,6,6
2014-09-06,5129,24,20.5,13.1,,,6,6
2014-09-07,5129,24,21.5,7.9,,,6,6
2014-09-08,5129,24,22.1,9.2,,,6,6
2014-09-09,5129,24,22.1,9.0,,,6,6
2014-09-10,5129,24,21.4,9.3,,,6,6
2014-09-11,5129,24,17.0,12.1,,,6,6
2014-09-12,5129,24,22.2,11.3,,,6,6
2014-09-13,5129,24,20.5,10.9,,,6,6
2014-09-14,5129,24,20.5,12.5,,,6,6
2014-09-15,5129,24,22.4,12.1,,,6,6
2014-09-16,5129,24,24.0,15.0,,,6,6
2014-09-17,5129,24,19.5,14.4,,,6,6
2014-09-18,5129,24,25.7,15.8,,,6,6
2014-09-19,5129,24,23.8,15.5,,,6,6
2014-09-20,5129,24,17.4,11.1,,,6,6
2014-09-21,5129,24,17.4,5.8,,,6,6
2014-09-22,5129,24,18.5,6.5,,,6,6
2014-09-23,5129,24,18.8,10.6,,,6,6
2014-09-24,5129,24,18.5,5.8,,,6,6
2014-09-25,5129,24,19.0,10.0,,,6,6
2014-09-26,5129,24,21.0,11.5,,,6,6
2014-09-27,5129,24,21.5,13.8,,,6,6
2014-09-28,5129,24,24.0,12.1,,,6,6
2014-09-29,5129,24,18.6,13.4,,,6,6
