met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2015-12-31,5028,12,6.0,1.9,-0.2,,1006,6
2015-12-31,5028,12,7.5,2.2,,,6,6
2016-01-01,5028,12,9.1,7.0,6.2,,6,6
2016-01-01,5028,12,10.0,8.9,,,6,6
2016-01-02,5028,12,9.1,5.0,3.0,,6,6
2016-01-02,5028,12,8.2,6.0,,,6,6
2016-01-03,5028,12,6.7,5.6,3.9,,6,6
2016-01-03,5028,12,9.8,6.7,,,6,6
2016-01-04,5028,12,7.7,6.2,3.4,,6,6
2016-01-04,5028,12,9.8,6.3,,,6,6
2016-01-05,5028,12,7.2,5.1,2.7,,1006,6
2016-01-05,5028,12,7.1,5.6,,,6,6
2016-01-06,5028,12,7.7,5.7,4.7,,6,6
2016-01-06,5028,12,9.1,3.6,,,6,6
2016-01-07,5028,12,4.5,1.5,0.1,,6,6
2016-01-07,5028,12,8.5,4.5,,,6,6
2016-01-08,5028,12,7.7,6.6,4.9,,6,6
2016-01-08,5028,12,10.2,7.7,,,6,6
2016-01-09,5028,12,8.7,4.5,2.9,,6,6
2016-01-09,5028,12,8.3,4.3,,,6,6
2016-01-10,5028,12,6.5,4.6,2.5,,6,6
2016-01-10,5028,12,5.7,4.1,,,6,6
2016-01-11,5028,12,4.3,2.8,1.7,,6,6
2016-01-11,5028,12,5.9,3.5,,,6,6
2016-01-12,5028,12,4.7,1.3,0.1,,6,6
2016-01-12,5028,12,6.3,1.6,,,6,6
2016-01-13,5028,12,5.1,1.1,0.3,,6,6
2016-01-13,5028,12,3.8,1.5,,,6,6
2016-01-14,5028,12,1.8,0.1,-0.9,,6,6
2016-01-14,5028,12,5.4,0.5,,,6,6
2016-01-15,5028,12,1.4,-1.2,-1.4,,6,6
2016-01-15,5028,12,5.3,-0.8,,,6,6
2016-01-16,5028,12,1.7,-0.2,-1.7,,6,6
2016-01-16,5028,12,3.3,0.3,,,6,6
2016-01-17,5028,12,3.4,2.8,,,6,6
2016-01-17,5028,12,3.8,-0.4,,,6,6
2016-01-18,5028,12,-0.4,-2.8,-6.5,,6,6
2016-01-18,5028,12,6.1,-1.9,,,6,6
2016-01-19,5028,12,0.2,-2.0,-6.5,,6,6
2016-01-19,5028,12,7.0,-0.6,,,6,6
2016-01-20,5028,12,1.4,-1.1,-4.1,,6,6
2016-01-20,5028,12,7.5,1.4,,,6,6
2016-01-21,5028,12,5.8,4.0,1.6,,6,6
2016-01-21,5028,12,9.4,5.3,,,6,6
2016-01-22,5028,12,7.3,4.5,1.0,,6,6
2016-01-22,5028,12,9.8,5.6,,,6,6
2016-01-23,5028,12,11.2,7.4,5.8,,6,6
2016-01-23,5028,12,14.1,11.2,,,6,6
2016-01-24,5028,12,11.7,9.4,6.7,,6,6
2016-01-24,5028,12,12.6,8.9,,,6,6
2016-01-25,5028,12,8.9,5.4,3.3,,6,6
2016-01-25,5028,12,10.3,8.2,,,6,6
2016-01-26,5028,12,11.6,10.2,9.3,,6,6
2016-01-26,5028,12,12.3,8.1,,,6,6
2016-01-27,5028,12,8.2,1.6,0.1,,6,6
2016-01-27,5028,12,9.2,2.3,,,6,1006
2016-01-28,5028,12,10.5,7.3,4.4,,6,6
2016-01-28,5028,12,10.9,10.1,,,6,6
2016-01-29,5028,12,10.6,5.9,5.1,,6,6
2016-01-29,5028,12,7.6,4.2,,,6,6
