met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2015-12-31,5260,12.0,6.6,-0.3,-3.5,-0.8,6.0,6.0
2016-01-01,5260,24.0,9.9,1.6,6.5,6.5,6.0,6.0
2016-01-02,5260,24.0,10.8,4.0,0.6,3.1,6.0,6.0
2016-01-03,5260,24.0,9.2,3.0,-0.8,1.3,6.0,6.0
2016-01-04,5260,24.0,10.9,3.0,-0.8,1.3,6.0,6.0
2016-01-05,5260,24.0,10.4,3.1,0.5,2.9,6.0,6.0
2016-01-06,5260,24.0,8.5,3.8,0.6,3.1,6.0,6.0
2016-01-07,5260,24.0,9.9,-1.1,-4.1,-1.5,6.0,6.0
2016-01-08,5260,24.0,9.7,1.9,1.0,2.5,6.0,1006.0
2016-01-09,5260,24.0,11.2,4.9,1.2,2.3,1006.0,6.0
2016-01-10,5260,24.0,9.1,3.6,-0.9,1.0,6.0,6.0
2016-01-11,5260,24.0,7.3,2.8,-1.1,1.0,6.0,6.0
2016-01-12,5260,24.0,7.3,2.6,-0.4,0.4,6.0,6.0
2016-01-13,5260,24.0,7.6,1.6,-0.8,-0.2,6.0,6.0
2016-01-14,5260,24.0,5.4,-0.3,-4.0,-1.7,6.0,6.0
2016-01-15,5260,24.0,6.1,-2.3,-4.9,-2.2,6.0,6.0
2016-01-16,5260,24.0,5.5,-2.2,-2.9,-1.1,6.0,6.0
2016-01-17,5260,24.0,4.5,0.7,,,6.0,1006.0
2016-01-18,5260,24.0,5.7,-4.3,-6.8,-2.8,6.0,6.0
2016-01-19,5260,24.0,6.6,-5.6,-7.7,-4.1,6.0,6.0
2016-01-20,5260,24.0,8.2,-5.1,-6.8,-3.6,6.0,1006.0
2016-01-21,5260,24.0,8.5,1.3,-1.1,-0.7,6.0,1006.0
2016-01-22,5260,24.0,10.3,1.4,-2.1,-0.6,6.0,6.0
2016-01-23,5260,24.0,12.1,1.9,5.6,4.7,6.0,6.0
2016-01-24,5260,24.0,15.4,9.2,5.0,5.3,6.0,6.0
2016-01-25,5260,24.0,13.6,3.7,-1.1,0.9,6.0,6.0
2016-01-26,5260,24.0,12.7,9.2,10.0,9.5,6.0,6.0
2016-01-27,5260,24.0,13.3,0.2,-3.3,-0.7,6.0,6.0
2016-01-28,5260,24.0,11.5,1.3,5.4,4.2,6.0,1006.0
2016-01-29,5260,24.0,12.0,7.6,5.8,6.1,6.0,6.0
2016-01-30,5260,24.0,8.6,3.2,1.0,1.7,6.0,6.0
2016-01-31,5260,24.0,13.5,6.0,10.6,9.4,6.0,6.0
2016-02-01,5260,24.0,14.0,8.2,6.5,5.0,6.0,6.0
2016-02-02,5260,24.0,10.5,2.1,-0.8,-0.4,6.0,6.0
2016-02-03,5260,24.0,9.6,2.5,-1.0,0.4,6.0,6.0
2016-02-04,5260,24.0,14.2,8.1,4.3,5.4,6.0,6.0
2016-02-05,5260,24.0,11.4,9.3,8.5,8.3,6.0,6.0
2016-02-06,5260,24.0,12.4,4.3,1.7,2.0,6.0,6.0
2016-02-07,5260,24.0,10.5,6.0,4.6,4.2,6.0,6.0
2016-02-08,5260,24.0,9.6,3.0,-0.9,0.8,6.0,6.0
2016-02-09,5260,24.0,8.2,4.0,1.9,1.9,6.0,6.0
2016-02-10,5260,24.0,9.4,-2.6,-4.8,-2.4,6.0,6.0
2016-02-11,5260,24.0,9.3,-1.7,-3.8,-1.8,6.0,6.0
2016-02-12,5260,24.0,5.9,1.7,-2.6,-0.8,6.0,6.0
2016-02-13,5260,24.0,5.2,2.4,-0.6,0.1,6.0,6.0
2016-02-14,5260,24.0,7.0,0.4,-2.9,-2.1,6.0,6.0
2016-02-15,5260,24.0,6.9,-4.2,-6.5,-3.5,6.0,6.0
2016-02-16,5260,24.0,8.7,-1.3,-3.7,-2.1,6.0,1006.0
2016-02-17,5260,24.0,7.1,2.9,1.8,2.3,6.0,6.0
2016-02-18,5260,24.0,9.0,-3.3,-5.4,-3.0,6.0,6.0
2016-02-19,5260,24.0,10.5,0.7,5.9,5.1,6.0,1006.0
2016-02-20,5260,24.0,12.6,9.6,10.3,9.8,6.0,1006.0
2016-02-21,5260,24.0,14.8,7.9,7.6,8.1,6.0,6.0
2016-02-22,5260,24.0,9.4,3.3,1.2,2.3,6.0,6.0
2016-02-23,5260,24.0,9.4,-3.2,-5.6,-2.7,6.0,6.0
2016-02-24,5260,24.0,8.7,-3.5,-5.6,-2.7,6.0,6.0
2016-02-25,5260,24.0,6.8,-2.8,-5.0,-2.2,6.0,6.0
2016-02-26,5260,24.0,9.6,3.0,0.0,0.9,6.0,1006.0
2016-02-27,5260,24.0,6.1,2.8,0.6,0.5,6.0,6.0
2016-02-28,5260,24.0,8.0,0.9,-3.8,-1.7,6.0,1006.0
2016-02-29,5260,24.0,10.0,4.3,2.5,3.7,6.0,6.0
2016-03-01,5260,24.0,13.4,3.7,1.2,1.4,6.0,6.0
2016-03-02,5260,24.0,7.6,3.2,1.1,1.2,6.0,6.0
2016-03-03,5260,24.0,10.0,1.0,-1.1,-0.2,6.0,6.0
2016-03-04,5260,24.0,9.7,-2.7,-4.1,-2.0,6.0,6.0
2016-03-05,5260,24.0,6.8,0.5,-3.0,-1.4,6.0,6.0
2016-03-06,5260,24.0,6.6,0.0,-3.1,-1.6,6.0,6.0
2016-03-07,5260,24.0,8.1,-3.5,-5.2,-2.5,1006.0,6.0
2016-03-08,5260,24.0,9.0,0.8,5.5,5.6,6.0,6.0
2016-03-09,5260,24.0,11.0,5.5,5.4,5.6,6.0,6.0
2016-03-10,5260,24.0,9.0,-1.9,-3.3,-1.8,6.0,6.0
2016-03-11,5260,24.0,11.8,0.5,-0.7,0.5,6.0,1006.0
2016-03-12,5260,24.0,12.4,0.9,-1.7,-0.3,6.0,6.0
2016-03-13,5260,24.0,10.8,3.8,2.0,2.0,6.0,6.0
2016-03-14,5260,24.0,11.6,2.0,-1.8,-0.8,6.0,6.0
2016-03-15,5260,24.0,8.9,6.4,4.3,4.8,6.0,6.0
2016-03-16,5260,24.0,9.7,2.2,-1.8,-0.5,6.0,6.0
2016-03-17,5260,24.0,12.0,-0.6,-3.4,-1.8,6.0,6.0
2016-03-18,5260,24.0,7.5,4.3,5.0,5.1,6.0,6.0
2016-03-19,5260,24.0,9.0,4.9,4.3,4.8,6.0,6.0
2016-03-20,5260,24.0,11.0,5.3,2.8,5.0,6.0,6.0
2016-03-21,5260,24.0,12.5,-1.0,-3.2,-1.7,6.0,6.0
2016-03-22,5260,24.0,14.3,5.9,2.7,4.2,6.0,6.0
2016-03-23,5260,24.0,10.2,4.1,2.3,3.4,6.0,6.0
2016-03-24,5260,24.0,11.8,7.6,6.9,7.2,6.0,6.0
2016-03-25,5260,24.0,15.3,5.5,2.7,3.9,6.0,6.0
2016-03-26,5260,24.0,13.4,5.5,3.1,3.5,6.0,6.0
2016-03-27,5260,24.0,11.5,3.8,3.5,4.5,6.0,6.0
2016-03-28,5260,24.0,12.7,4.1,2.3,2.9,6.0,6.0
2016-03-29,5260,24.0,12.9,2.5,-0.3,1.4,6.0,6.0
2016-03-30,5260,24.0,13.2,3.2,1.1,2.7,6.0,6.0
2016-03-31,5260,24.0,12.8,-0.9,-2.8,-1.2,6.0,6.0
2016-04-01,5260,24.0,12.9,7.7,5.9,6.2,6.0,6.0
2016-04-02,5260,24.0,15.4,6.8,6.3,6.6,6.0,6.0
2016-04-03,5260,24.0,16.4,7.4,5.1,6.3,6.0,6.0
2016-04-04,5260,24.0,14.3,6.0,3.7,5.2,6.0,6.0
2016-04-05,5260,24.0,15.8,4.8,1.8,3.2,1006.0,6.0
2016-04-06,5260,24.0,13.3,4.0,1.6,2.4,6.0,6.0
2016-04-07,5260,24.0,12.4,2.5,0.5,1.8,6.0,6.0
2016-04-08,5260,24.0,13.7,6.6,4.6,5.4,6.0,6.0
2016-04-09,5260,24.0,12.4,-0.6,-2.5,-1.0,6.0,6.0
2016-04-10,5260,24.0,13.9,9.0,7.3,7.7,6.0,6.0
2016-04-11,5260,24.0,14.6,7.0,5.6,6.9,6.0,6.0
2016-04-12,5260,24.0,17.7,1.8,-0.4,1.4,6.0,6.0
2016-04-13,5260,24.0,17.8,4.6,2.3,3.9,6.0,6.0
2016-04-14,5260,24.0,17.2,8.6,8.8,9.2,6.0,6.0
2016-04-15,5260,24.0,13.7,4.9,4.5,5.5,6.0,6.0
2016-04-16,5260,24.0,9.4,-1.3,-2.2,-0.6,6.0,6.0
2016-04-17,5260,24.0,12.5,0.8,-1.4,0.3,6.0,6.0
2016-04-18,5260,24.0,13.0,8.2,6.3,7.2,6.0,6.0
2016-04-19,5260,24.0,15.8,2.9,-0.4,1.5,6.0,6.0
2016-04-20,5260,24.0,15.3,6.2,3.4,4.5,6.0,6.0
2016-04-21,5260,24.0,16.8,8.1,6.9,7.8,6.0,6.0
2016-04-22,5260,24.0,11.1,3.6,1.7,2.9,6.0,6.0
2016-04-23,5260,24.0,10.7,2.4,0.4,2.5,6.0,6.0
2016-04-24,5260,24.0,9.6,5.1,3.7,5.1,6.0,6.0
2016-04-25,5260,24.0,12.1,0.8,-0.7,0.4,6.0,6.0
