met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2018-12-31,5131,12,9.0,6.0,-0.5,,6,6
2018-12-31,5131,12,10.4,7.1,,,6,6
2019-01-01,5131,12,7.5,4.1,0.9,,6,6
2019-01-01,5131,12,6.2,4.9,,,6,6
2019-01-02,5131,12,5.3,4.4,3.3,,1006,6
2019-01-02,5131,12,5.4,4.6,,,6,6
2019-01-03,5131,12,4.7,1.7,-1.8,,6,6
2019-01-03,5131,12,4.4,1.7,,,6,6
2019-01-04,5131,12,4.7,2.4,1.4,,6,6
2019-01-04,5131,12,5.4,4.2,,,6,6
2019-01-05,5131,12,6.3,4.9,4.0,,6,6
2019-01-05,5131,12,9.7,6.3,,,6,6
2019-01-06,5131,12,8.4,5.8,0.3,,6,6
2019-01-06,5131,12,11.2,8.3,,,6,6
2019-01-07,5131,12,10.6,6.0,3.7,,6,6
2019-01-07,5131,12,9.1,4.9,,,6,6
2019-01-08,5131,12,4.9,3.0,0.1,,6,6
2019-01-08,5131,12,5.9,2.8,,,6,6
2019-01-09,5131,12,3.2,-0.5,-5.3,,6,6
2019-01-09,5131,12,4.8,0.9,,,6,1006
2019-01-10,5131,12,7.0,4.7,2.7,,6,1006
2019-01-10,5131,12,8.4,4.8,,,6,6
2019-01-11,5131,12,9.0,6.6,-0.2,,6,6
2019-01-11,5131,12,10.4,8.9,,,6,6
2019-01-12,5131,12,10.9,9.2,7.7,,6,6
2019-01-12,5131,12,11.9,9.8,,,6,6
2019-01-13,5131,12,10.7,7.2,5.1,,6,6
2019-01-13,5131,12,9.6,7.1,,,6,6
2019-01-14,5131,12,7.1,2.3,-3.1,,6,6
2019-01-14,5131,12,9.9,6.3,,,6,6
2019-01-15,5131,12,8.8,8.1,6.8,,6,6
2019-01-15,5131,12,9.6,4.5,,,6,6
2019-01-16,5131,12,4.8,2.6,1.1,,6,6
2019-01-16,5131,12,5.0,0.7,,,6,6
2019-01-17,5131,12,1.8,-1.2,-5.3,,6,6
2019-01-17,5131,12,7.1,0.3,,,6,6
2019-01-18,5131,12,4.1,3.1,1.1,,6,6
2019-01-18,5131,12,5.6,3.6,,,6,6
2019-01-19,5131,12,4.5,-0.8,-5.4,,6,6
2019-01-19,5131,12,6.2,-0.1,,,6,6
2019-01-20,5131,12,0.4,-2.4,-8.1,,6,6
2019-01-20,5131,12,6.1,-0.1,,,6,6
2019-01-21,5131,12,6.2,0.9,-1.0,,6,6
2019-01-21,5131,12,6.5,0.4,,,6,6
2019-01-22,5131,12,1.5,0.3,-1.3,,6,6
2019-01-22,5131,12,3.2,-1.1,,,6,6
2019-01-23,5131,12,-0.8,-2.2,-7.5,,6,6
2019-01-23,5131,12,4.1,-0.8,,,6,6
2019-01-24,5131,12,5.2,3.0,1.6,,6,6
2019-01-24,5131,12,11.6,5.2,,,6,6
2019-01-25,5131,12,8.0,5.6,1.5,,6,6
2019-01-25,5131,12,10.5,7.8,,,6,6
2019-01-26,5131,12,8.6,4.0,3.0,,1006,6
2019-01-26,5131,12,6.6,4.3,,,6,6
2019-01-27,5131,12,4.3,1.5,-1.1,,6,6
2019-01-27,5131,12,5.8,0.0,,,6,6
2019-01-28,5131,12,1.1,-1.8,-7.9,,6,6
2019-01-28,5131,12,6.3,0.8,,,6,6
2019-01-29,5131,12,2.1,-1.5,-4.7,,6,6
2019-01-29,5131,12,5.2,-0.8,,,6,6
2019-01-30,5131,12,-0.7,-4.1,-9.7,,6,6
2019-01-30,5131,12,5.3,-2.0,,,6,1006
2019-01-31,5131,12,2.2,0.5,0.0,,6,6
2019-01-31,5131,12,2.7,0.8,,,6,6
2019-02-01,5131,12,2.0,0.9,-0.6,,6,6
2019-02-01,5131,12,4.8,1.2,,,6,6
2019-02-02,5131,12,3.2,-2.6,-7.4,,6,6
2019-02-02,5131,12,7.1,-0.9,,,6,1006
2019-02-03,5131,12,7.6,5.1,1.5,,6,6
2019-02-03,5131,12,8.6,5.2,,,6,6
2019-02-04,5131,12,7.1,4.4,-0.8,,6,6
2019-02-04,5131,12,8.3,5.7,,,6,6
2019-02-05,5131,12,9.0,6.9,4.3,,6,6
2019-02-05,5131,12,11.5,7.9,,,6,6
2019-02-06,5131,12,9.8,6.5,5.0,,6,6
2019-02-06,5131,12,10.0,6.3,,,6,6
2019-02-07,5131,12,9.3,6.7,3.9,,6,6
2019-02-07,5131,12,10.7,8.3,,,6,6
2019-02-08,5131,12,8.7,7.1,5.2,,6,6
2019-02-08,5131,12,10.8,7.4,,,6,6
2019-02-09,5131,12,8.0,5.9,4.8,,6,6
2019-02-09,5131,12,7.4,4.3,,,6,6
2019-02-10,5131,12,4.5,0.7,-4.2,,6,6
2019-02-10,5131,12,8.9,2.6,,,6,6
2019-02-11,5131,12,6.1,1.5,-3.7,,6,6
2019-02-11,5131,12,12.4,4.2,,,6,1006
2019-02-12,5131,12,7.6,5.1,0.3,,6,6
2019-02-12,5131,12,12.1,5.1,,,6,6
2019-02-13,5131,12,5.1,0.2,-5.4,,6,6
2019-02-13,5131,12,13.7,3.6,,,6,6
2019-02-14,5131,12,5.3,0.4,-5.7,,6,6
2019-02-14,5131,12,15.3,3.4,,,6,6
2019-02-15,5131,12,8.7,1.6,-2.5,,6,6
2019-02-15,5131,12,11.9,8.7,,,6,6
2019-02-16,5131,12,10.1,5.1,1.1,,6,6
2019-02-16,5131,12,15.0,7.8,,,6,1006
2019-02-17,5131,12,10.2,7.0,1.9,,6,6
2019-02-17,5131,12,9.7,5.4,,,6,6
2019-02-18,5131,12,5.9,2.3,-1.3,,6,6
2019-02-18,5131,12,11.8,5.8,,,6,1006
2019-02-19,5131,12,8.6,6.5,4.2,,6,6
2019-02-19,5131,12,13.3,7.4,,,6,6
2019-02-20,5131,12,9.6,5.6,0.5,,6,6
2019-02-20,5131,12,15.5,7.5,,,6,6
2019-02-21,5131,12,7.6,5.4,0.3,,6,6
2019-02-21,5131,12,15.7,5.4,,,6,6
2019-02-22,5131,12,7.8,5.2,0.3,,6,6
2019-02-22,5131,12,17.1,6.7,,,6,6
2019-02-23,5131,12,6.9,1.7,-3.4,,6,6
2019-02-23,5131,12,,5.5,,,,6
2019-02-24,5131,24,5.9,0.7,-4.6,,1006,6
2019-02-24,5131,12,5.9,0.7,-4.6,,1006,6
2019-02-25,5131,24,19.5,1.5,-4.2,,2006,2006
2019-02-26,5131,24,20.0,1.5,-3.9,,2006,2006
2019-02-27,5131,24,18.5,4.0,-1.6,,2006,2006
2019-02-27,5131,12,12.7,9.3,,,6,6
2019-02-28,5131,12,9.9,8.2,5.7,,6,6
,,,,,,,,
