met_day,id,ob_hour_count,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q
2021-12-31,5023,12.0,13.9,13.2,,,106.0,106.0
2022-01-01,5023,24.0,15.5,11.3,,,106.0,106.0
2022-01-02,5023,24.0,12.8,9.9,,,106.0,106.0
2022-01-03,5023,24.0,11.1,8.1,,,106.0,106.0
2022-01-04,5023,24.0,8.5,2.6,,,106.0,106.0
2022-01-05,5023,24.0,7.0,-0.8,,,106.0,106.0
2022-01-06,5023,24.0,7.8,-0.2,,,106.0,106.0
2022-01-07,5023,24.0,8.1,1.5,,,106.0,106.0
2022-01-08,5023,24.0,10.6,4.2,,,106.0,106.0
2022-01-09,5023,24.0,8.4,3.7,,,106.0,106.0
2022-01-10,5023,24.0,9.5,5.7,,,106.0,106.0
2022-01-11,5023,24.0,10.4,3.7,,,106.0,106.0
2022-01-12,5023,24.0,8.9,2.2,,,106.0,106.0
2022-01-13,5023,24.0,11.0,1.7,,,106.0,106.0
2022-01-14,5023,24.0,11.9,1.4,,,106.0,106.0
2022-01-15,5023,24.0,6.8,3.3,,,106.0,106.0
2022-01-16,5023,24.0,10.0,2.6,,,106.0,106.0
2022-01-17,5023,24.0,11.0,0.3,,,106.0,106.0
2022-01-18,5023,24.0,7.0,1.1,,,106.0,106.0
2022-01-19,5023,24.0,10.2,2.9,,,106.0,106.0
2022-01-20,5023,24.0,6.5,-0.1,,,106.0,106.0
2022-01-21,5023,24.0,5.6,0.0,,,106.0,106.0
2022-01-22,5023,24.0,6.9,5.4,,,106.0,106.0
2022-01-23,5023,24.0,7.4,4.5,,,106.0,106.0
2022-01-24,5023,24.0,7.8,2.5,,,106.0,106.0
2022-01-25,5023,24.0,5.1,2.2,,,106.0,106.0
2022-01-26,5023,24.0,8.6,5.0,,,106.0,106.0
2022-01-27,5023,24.0,12.8,3.1,,,106.0,106.0
2022-01-28,5023,24.0,11.6,4.2,,,106.0,106.0
2022-01-29,5023,24.0,13.1,2.8,,,106.0,106.0
2022-01-30,5023,24.0,8.9,3.0,,,106.0,106.0
2022-01-31,5023,24.0,9.4,5.9,,,106.0,106.0
2022-02-01,5023,24.0,14.6,8.9,,,106.0,106.0
2022-02-02,5023,24.0,14.0,7.6,,,106.0,106.0
2022-02-03,5023,24.0,10.3,5.5,,,106.0,106.0
2022-02-04,5023,24.0,8.9,3.0,,,106.0,106.0
2022-02-05,5023,24.0,10.7,4.3,,,106.0,106.0
2022-02-06,5023,24.0,12.0,3.8,,,106.0,106.0
2022-02-07,5023,24.0,11.1,4.2,,,106.0,106.0
2022-02-08,5023,24.0,12.4,9.0,,,106.0,106.0
2022-02-09,5023,24.0,12.9,6.5,,,106.0,106.0
2022-02-10,5023,24.0,8.6,2.1,,,106.0,106.0
2022-02-11,5023,24.0,10.5,3.1,,,106.0,106.0
2022-02-12,5023,24.0,9.2,6.0,,,106.0,106.0
2022-02-13,5023,24.0,10.3,6.3,,,106.0,106.0
2022-02-14,5023,24.0,9.3,4.0,,,106.0,106.0
2022-02-15,5023,24.0,13.2,7.7,,,106.0,106.0
2022-02-16,5023,24.0,14.8,8.9,,,106.0,106.0
2022-02-17,5023,24.0,11.9,8.5,,,106.0,106.0
2022-02-18,5023,24.0,11.0,3.4,,,106.0,106.0
2022-02-19,5023,24.0,11.2,4.8,,,106.0,106.0
2022-02-20,5023,24.0,12.6,5.6,,,106.0,106.0
2022-02-21,5023,24.0,11.4,6.6,,,106.0,106.0
2022-02-22,5023,24.0,13.4,4.4,,,106.0,106.0
2022-02-23,5023,24.0,11.1,7.0,,,106.0,106.0
