ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2010-01-01 00:00:00,03779,WMO,19144,2.6,-1.2,1.2,75.2,1001.8,996.0,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 00:04:00,586.0
2010-01-01 01:00:00,03779,WMO,19144,2.6,-1.4,1.2,75.2,1001.8,996.0,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 01:04:00,526.0
2010-01-01 02:00:00,03779,WMO,19144,1.9,-1.4,0.7,78.0,1002.0,996.2,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 02:04:00,466.0
2010-01-01 03:00:00,03779,WMO,19144,1.7,-1.0,0.7,81.5,1002.3,996.5,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 03:04:00,406.0
2010-01-01 04:00:00,03779,WMO,19144,1.9,-1.5,0.7,78.0,1002.4,996.6,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 04:04:00,346.0
2010-01-01 05:00:00,03779,WMO,19144,1.5,-2.3,0.2,75.8,1002.6,996.8,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 05:03:00,287.0
2010-01-01 06:00:00,03779,WMO,19144,1.0,-2.7,-0.4,74.6,1002.9,997.1,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 06:04:00,226.0
2010-01-01 07:00:00,03779,WMO,19144,1.1,-2.8,-0.4,73.0,1003.4,997.6,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 07:04:00,166.0
2010-01-01 08:00:00,03779,WMO,19144,0.2,-3.4,-1.1,74.8,1004.2,998.3,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 08:04:00,106.0
2010-01-01 09:00:00,03779,WMO,19144,0.2,-2.8,-0.9,78.5,1005.0,999.1,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 09:04:00,46.0
2010-01-01 10:00:00,03779,WMO,19144,0.6,-2.1,-0.4,81.3,1005.5,999.7,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 10:03:00,899.0
2010-01-01 11:00:00,03779,WMO,19144,1.3,-2.1,0.1,77.3,1006.0,1000.2,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 11:03:00,839.0
2010-01-01 12:00:00,03779,WMO,19144,2.4,-1.9,0.9,73.1,1006.2,1000.4,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 12:03:00,779.0
2010-01-01 13:00:00,03779,WMO,19144,2.9,-3.4,0.8,63.5,1006.4,1000.6,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 13:04:00,718.0
2010-01-01 14:00:00,03779,WMO,19144,2.9,-3.2,0.8,63.5,1007.0,1001.2,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 14:03:00,659.0
2010-01-01 15:00:00,03779,WMO,19144,3.2,-3.4,1.0,62.4,1007.5,1001.7,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 15:04:00,598.0
2010-01-01 16:00:00,03779,WMO,19144,2.7,-3.0,0.8,66.6,1008.3,1002.5,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 16:03:00,539.0
2010-01-01 17:00:00,03779,WMO,19144,2.4,-2.9,0.6,67.9,1008.6,1002.8,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 17:03:00,479.0
2010-01-01 18:00:00,03779,WMO,19144,1.3,-1.9,0.2,79.1,1009.4,1003.5,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 18:04:00,418.0
2010-01-01 19:00:00,03779,WMO,19144,0.8,-2.1,-0.3,79.8,1010.0,1004.1,,,,,,,,,,,6,6,6,106,6,,,,,,,,,,,,,K,A,,,,,,,,2010-01-01 19:04:00,358.0
