ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2011-01-01 09:00:00,5129,DCNN,710,5.0,,,,,,,360.0,6.0,1000.0,,,,,,00,6,,,,,,6,6,6,,,,,,6,,,,A,,,,,,,,2011-02-22 17:43:23,0.0
2011-01-02 09:00:00,5129,DCNN,710,1.5,-1.1,0.6,83.1,,,,20.0,6.0,400.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2011-02-22 17:43:23,0.0
2011-01-03 09:00:00,5129,DCNN,710,-1.3,-2.0,-1.5,94.6,,,,340.0,2.0,400.0,,,,,,00,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2011-02-22 17:43:24,0.0
2011-01-04 09:00:00,5129,DCNN,710,1.5,0.1,1.0,90.6,,,,160.0,2.0,400.0,,,,,,00,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2011-02-22 17:43:24,0.0
2011-01-05 09:00:00,5129,DCNN,710,4.1,-0.2,2.5,73.6,,,,200.0,14.0,1000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2011-02-22 17:43:24,0.0
2011-01-06 09:00:00,5129,DCNN,710,4.0,3.5,3.8,96.7,,,,50.0,2.0,200.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2011-02-22 17:43:24,0.0
2011-01-07 09:00:00,5129,DCNN,710,2.9,,,,,,,110.0,,,,,,,,02,6,,,,,,6,,,,,,,,6,,,,A,,,,,,,,2011-02-22 17:43:24,0.0
2011-01-08 09:00:00,5129,DCNN,710,8.4,,,,,,,230.0,,,,,,,,,6,,,,,,6,,,,,,,,,,,,A,,,,,,,,2011-02-22 17:43:25,0.0
2011-01-09 09:00:00,5129,DCNN,710,-0.4,,,,,,,230.0,,,,,,,,04,6,,,,,,6,,,,,,,,6,,,,A,,,,,,,,2011-02-22 17:43:25,0.0
2011-01-10 09:00:00,5129,DCNN,710,,,,,,,,180.0,,,,,,,,04,,,,,,,6,,,,,,,,6,,,K,A,,,,,,,,2011-04-01 12:55:00,0.0
