ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2012-01-01 09:00:00,5131,DCNN,711,11.8,9.0,10.4,83.0,,,,240.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-16 11:27:55,0.0
2012-01-02 09:00:00,5131,DCNN,711,5.0,2.0,3.8,80.9,,,,220.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-16 11:34:48,0.0
2012-01-03 09:00:00,5131,DCNN,711,11.9,10.2,11.0,89.0,,,,220.0,24.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:01:37,0.0
2012-01-04 09:00:00,5131,DCNN,711,7.0,1.8,4.9,69.7,,,,280.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:04:25,0.0
2012-01-05 09:00:00,5131,DCNN,711,10.1,1.5,6.5,55.0,,,,300.0,24.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:07:16,0.0
2012-01-06 09:00:00,5131,DCNN,711,3.9,1.3,2.9,83.3,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:31:45,0.0
2012-01-07 09:00:00,5131,DCNN,711,9.4,1.4,6.1,57.5,,,,340.0,13.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:37:02,0.0
2012-01-08 09:00:00,5131,DCNN,711,9.0,2.9,6.4,65.7,,,,330.0,13.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:39:37,0.0
2012-01-09 09:00:00,5131,DCNN,711,10.4,6.6,8.6,77.2,,,,260.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:42:34,0.0
2012-01-10 09:00:00,5131,DCNN,711,9.6,8.2,8.9,90.7,,,,270.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:44:55,0.0
2012-01-11 09:00:00,5131,DCNN,711,9.0,5.0,7.2,76.0,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:47:05,0.0
2012-01-12 09:00:00,5131,DCNN,711,9.4,7.3,8.4,86.7,,,,280.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:49:27,0.0
2012-01-13 09:00:00,5131,DCNN,711,3.1,2.6,2.9,96.6,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-19 15:52:07,0.0
2012-01-14 09:00:00,5131,DCNN,711,-0.4,,,,,,,0.0,0.0,40.0,,,,,,,6,,,,,,6,6,6,,,,,,,,K,,A,,,,,,,,2012-01-30 10:37:00,0.0
2012-01-15 09:00:00,5131,DCNN,711,1.8,-0.7,0.9,83.3,,,,30.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 09:37:57,0.0
2012-01-16 09:00:00,5131,DCNN,711,0.5,-1.6,-0.2,86.0,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 09:40:18,0.0
2012-01-17 09:00:00,5131,DCNN,711,1.9,-2.1,0.5,74.5,,,,30.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:36:44,0.0
2012-01-18 09:00:00,5131,DCNN,711,8.5,7.7,8.1,94.4,,,,190.0,5.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:39:38,0.0
2012-01-19 09:00:00,5131,DCNN,711,8.5,7.4,8.0,93.1,,,,340.0,9.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:43:43,0.0
2012-01-20 09:00:00,5131,DCNN,711,8.5,3.9,6.5,72.8,,,,290.0,9.0,,,,,,,,6,6,6,,,,6,6,,,,,,,,,,K,A,,,,,,,,2012-01-28 12:46:22,0.0
2012-01-21 09:00:00,5131,DCNN,711,11.0,7.3,9.2,77.7,,,,280.0,13.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:48:40,0.0
2012-01-22 09:00:00,5131,DCNN,711,9.2,5.2,7.4,76.1,,,,240.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:50:42,0.0
2012-01-23 09:00:00,5131,DCNN,711,4.9,1.6,3.6,79.3,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:52:36,0.0
2012-01-24 09:00:00,5131,DCNN,711,4.2,3.2,3.8,93.3,,,,180.0,9.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 12:55:23,0.0
2012-01-25 09:00:00,5131,DCNN,711,8.6,6.9,7.8,89.0,,,,190.0,5.0,,,,,,,,6,6,6,,,,6,6,,,,,,,,,,K,A,,,,,,,,2012-01-28 13:00:40,0.0
2012-01-27 09:00:00,5131,DCNN,711,5.4,2.2,4.1,79.7,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-01-28 13:03:50,0.0
2012-01-28 09:00:00,5131,DCNN,711,4.9,1.6,3.6,79.3,,,,30.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2012-02-07 10:25:14,0.0
