ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2016-01-01 00:00:00,03781,WMO,726,3.7,1.7,2.9,86.4,1021.2,1000.0,,240.0,7.0,4000.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2015-12-31 23:51:00,0.0
2016-01-01 01:00:00,03781,WMO,726,2.8,1.1,2.2,89.3,1022.0,1000.8,,250.0,7.0,2700.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 01:29:00,0.0
2016-01-01 02:00:00,03781,WMO,726,3.0,1.1,2.3,87.6,1022.4,1001.1,,230.0,4.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 01:51:00,0.0
2016-01-01 03:00:00,03781,WMO,726,1.6,0.6,1.2,92.3,1022.9,1001.6,,160.0,2.0,1500.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 02:51:00,0.0
2016-01-01 04:00:00,03781,WMO,726,2.1,0.9,1.6,90.7,1023.0,1001.7,,170.0,4.0,2300.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 03:51:00,0.0
2016-01-01 05:00:00,03781,WMO,726,2.1,1.1,1.7,92.5,1023.4,1002.1,,150.0,3.0,1900.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 04:51:00,0.0
2016-01-01 06:00:00,03781,WMO,726,3.2,1.4,2.5,87.6,1023.2,1001.9,,140.0,5.0,2600.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 05:53:00,0.0
2016-01-01 07:00:00,03781,WMO,726,2.8,1.0,2.1,87.6,1022.9,1001.7,,130.0,4.0,2300.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 06:51:00,0.0
2016-01-01 08:00:00,03781,WMO,726,3.3,0.3,2.2,80.9,1022.8,1001.6,,140.0,5.0,3500.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 07:51:00,0.0
2016-01-01 09:00:00,03781,WMO,726,4.3,-0.7,2.4,68.7,1022.5,1001.3,,130.0,6.0,4500.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2016-01-01 08:55:00,0.0
