ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2017-01-01 00:00:00,03770,WMO,697,7.3,5.2,6.4,87.0,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2016-12-31 23:52:00,0.0
2017-01-01 01:00:00,03770,WMO,697,6.4,4.9,5.7,89.4,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 00:52:00,0.0
2017-01-01 02:00:00,03770,WMO,697,6.3,4.4,5.5,87.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 01:54:00,0.0
2017-01-01 03:00:00,03770,WMO,697,6.2,4.5,5.5,89.3,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 02:55:00,0.0
2017-01-01 04:00:00,03770,WMO,697,6.2,4.3,5.4,87.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 03:54:00,0.0
2017-01-01 05:00:00,03770,WMO,697,6.2,4.3,5.4,87.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 04:59:00,0.0
2017-01-01 06:00:00,03770,WMO,697,6.0,4.5,5.4,90.8,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 05:53:00,0.0
2017-01-01 07:00:00,03770,WMO,697,6.7,5.4,6.1,91.0,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 06:57:00,0.0
2017-01-01 08:00:00,03770,WMO,697,6.8,6.1,6.5,95.5,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 08:00:00,0.0
2017-01-01 09:00:00,03770,WMO,697,7.3,6.6,7.0,95.6,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 08:54:00,0.0
2017-01-01 10:00:00,03770,WMO,697,7.9,7.2,7.6,95.7,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 09:57:00,0.0
2017-01-01 11:00:00,03770,WMO,697,8.9,7.7,8.3,91.8,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2017-01-01 10:52:00,0.0
