ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2021-01-01 00:00:00,03772,WMO,708,0.5,-0.5,0.1,92.0,1009.3,1006.2,,360.0,2.0,500.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-12-31 23:51:00,0.0
2021-01-01 01:00:00,03772,WMO,708,0.2,-0.7,-0.2,91.8,1009.6,1006.4,,340.0,2.0,350.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 00:51:00,0.0
2021-01-01 02:00:00,03772,WMO,708,0.2,-0.6,-0.1,93.9,1009.9,1006.7,,320.0,2.0,400.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 01:52:00,0.0
2021-01-01 03:00:00,03772,WMO,708,0.0,-0.6,-0.2,95.7,1010.3,1007.1,,280.0,4.0,320.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 02:51:00,0.0
2021-01-01 04:00:00,03772,WMO,708,-0.2,-0.7,-0.4,95.7,1010.3,1007.1,,290.0,4.0,250.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 03:51:00,0.0
2021-01-01 05:00:00,03772,WMO,708,-0.7,-1.0,-0.8,97.2,1010.2,1007.1,,270.0,6.0,50.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 04:51:00,0.0
2021-01-01 06:00:00,03772,WMO,708,-0.9,-1.3,-1.1,94.9,1010.3,1007.2,,310.0,4.0,240.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 05:52:00,0.0
2021-01-01 07:00:00,03772,WMO,708,-0.6,-1.1,-0.8,95.2,1010.7,1007.5,,290.0,5.0,500.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 06:52:00,0.0
2021-01-01 08:00:00,03772,WMO,708,-0.1,-0.8,-0.4,93.7,1011.3,1008.1,,280.0,4.0,500.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 07:52:00,0.0
2021-01-01 09:00:00,03772,WMO,708,0.0,-1.1,-0.4,92.0,1011.6,1008.4,,320.0,4.0,600.0,,,0.0,0.1,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 09:01:00,0.0
2021-01-01 10:00:00,03772,WMO,708,0.5,-0.8,0.0,90.1,1011.9,1008.7,,290.0,4.0,600.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 09:51:00,0.0
2021-01-01 11:00:00,03772,WMO,708,0.9,-0.3,0.5,92.3,1012.1,1008.9,,260.0,5.0,480.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 10:51:00,0.0
2021-01-01 12:00:00,03772,WMO,708,0.9,-0.4,0.4,90.3,1011.9,1008.8,,270.0,5.0,500.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 11:51:00,0.0
2021-01-01 13:00:00,03772,WMO,708,1.7,0.5,1.3,92.5,1011.5,1008.4,,280.0,5.0,380.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 12:52:00,0.0
2021-01-01 14:00:00,03772,WMO,708,1.9,1.1,1.6,94.4,1011.6,1008.5,,260.0,4.0,180.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 13:52:00,0.0
2021-01-01 15:00:00,03772,WMO,708,2.5,1.8,2.2,94.7,1011.7,1008.5,,270.0,4.0,350.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 14:52:00,0.0
2021-01-01 16:00:00,03772,WMO,708,2.8,2.0,2.5,94.6,1012.0,1008.9,,270.0,4.0,350.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 15:51:00,0.0
2021-01-01 17:00:00,03772,WMO,708,3.0,2.2,2.7,94.7,1012.4,1009.3,,280.0,3.0,500.0,,,0.0,0.1,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 16:51:00,0.0
2021-01-01 18:00:00,03772,WMO,708,3.2,2.3,2.8,93.0,1012.5,1009.4,,290.0,4.0,490.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 17:52:00,0.0
2021-01-01 19:00:00,03772,WMO,708,3.3,2.6,3.0,94.8,1012.9,1009.7,,300.0,5.0,420.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 18:51:00,0.0
2021-01-01 20:00:00,03772,WMO,708,3.5,2.9,3.3,96.6,1013.4,1010.3,,300.0,4.0,480.0,,,0.0,0.0,,,6,6,6,6,6,,6,6,6,,,6,1,,,,,K,A,,,,,,,,2021-01-01 19:51:00,0.0
