ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2024-01-01 00:00:00,03672,WMO,709,8.1,5.1,6.8,81.1,995.1,991.1,,250.0,16.0,2900.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 00:02:16,
2024-01-01 01:00:00,03672,WMO,709,8.1,4.9,6.7,80.4,996.1,992.2,,240.0,12.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 01:01:12,
2024-01-01 02:00:00,03672,WMO,709,8.0,4.4,6.4,78.0,997.1,993.1,,240.0,11.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 02:01:14,
2024-01-01 03:00:00,03672,WMO,709,8.3,4.3,6.5,76.0,998.0,994.0,,250.0,12.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 03:01:11,
2024-01-01 04:00:00,03672,WMO,709,8.3,3.7,6.3,73.0,999.0,995.1,,270.0,13.0,4000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 04:01:06,
2024-01-01 05:00:00,03672,WMO,709,8.2,3.3,6.1,71.4,999.8,995.8,,270.0,14.0,3500.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 05:01:13,
2024-01-01 06:00:00,03672,WMO,709,7.5,3.3,5.7,74.4,1000.5,996.5,,260.0,15.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 06:02:12,
2024-01-01 07:00:00,03672,WMO,709,7.1,3.4,5.5,77.0,1001.8,997.8,,260.0,12.0,2600.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 07:01:14,
2024-01-01 08:00:00,03672,WMO,709,6.5,3.3,5.2,79.8,1002.8,998.8,,240.0,9.0,2500.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2024-01-01 08:01:06,
2024-01-01 09:00:00,03672,WMO,709,6.3,3.3,5.0,81.3,1003.8,999.7,,240.0,7.0,2200.0,,,,,,01,6,6,6,6,6,,6,6,6,,,,,,6,,,,,,,,,,,,2024-01-01 09:02:08,
