ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2024-01-01 00:00:00,5023,DCNN,62084,8.8,4.9,7.1,76.6,995.1,994.5,,250.0,13.0,3000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 00:02:15,
2024-01-01 01:00:00,5023,DCNN,62084,8.8,4.8,7.0,76.3,995.8,995.2,,240.0,14.0,3500.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 01:01:12,
2024-01-01 02:00:00,5023,DCNN,62084,8.7,4.4,6.8,74.5,996.8,996.2,,240.0,12.0,4000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 02:01:12,
2024-01-01 03:00:00,5023,DCNN,62084,8.7,4.5,6.8,74.8,997.6,997.0,,240.0,12.0,3500.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 03:01:11,
2024-01-01 04:00:00,5023,DCNN,62084,9.0,3.8,6.7,69.5,998.8,998.2,,250.0,9.0,5000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 04:01:11,
2024-01-01 05:00:00,5023,DCNN,62084,8.7,3.7,6.5,70.5,999.7,999.1,,250.0,10.0,4000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 05:01:21,
2024-01-01 06:00:00,5023,DCNN,62084,8.4,3.6,6.3,71.6,1000.4,999.8,,250.0,9.0,3500.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 06:02:11,
2024-01-01 07:00:00,5023,DCNN,62084,7.8,4.1,6.2,77.3,1001.7,1001.1,,240.0,9.0,2800.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 07:01:16,
2024-01-01 08:00:00,5023,DCNN,62084,7.7,3.9,6.1,76.9,1002.6,1001.9,,240.0,9.0,2300.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 08:01:11,
2024-01-01 09:00:00,5023,DCNN,62084,7.7,3.5,5.9,74.8,1003.6,1003.0,,240.0,7.0,2200.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 09:02:06,
2024-01-01 10:00:00,5023,DCNN,62084,7.8,3.3,5.9,73.3,1004.1,1003.5,,230.0,8.0,2400.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 10:01:16,
2024-01-01 11:00:00,5023,DCNN,62084,8.2,3.5,6.2,72.3,1004.5,1003.9,,240.0,10.0,2600.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 11:01:39,
2024-01-01 12:00:00,5023,DCNN,62084,8.6,3.6,6.4,70.8,1004.6,1004.0,,240.0,8.0,3000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 12:01:15,
2024-01-01 13:00:00,5023,DCNN,62084,8.8,3.7,6.6,70.5,1004.2,1003.6,,230.0,9.0,3500.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 13:01:11,
2024-01-01 14:00:00,5023,DCNN,62084,9.2,4.1,7.0,70.2,1003.5,1002.9,,210.0,5.0,3500.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 14:01:12,
2024-01-01 15:00:00,5023,DCNN,62084,9.3,4.8,7.3,73.3,1003.1,1002.5,,130.0,2.0,3000.0,,,,,,,106,106,106,6,6,,106,106,6,,,,,,,,,,,,,,,,,,2024-01-01 15:01:15,
