id,id_type,src_id,met_day,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode
5129.0,DCNN,710.0,2009-01-01,126.06719270813365,126.06719270813365,126.06719270813365,1.0,1.0,1.0,-1.9,-1.9,-1.9,0.0,0.0,0.0,80.8,80.8,80.8,,,,2.0,2.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,126.06719270813365,126.06719270813365,126.06719270813365,90.0,0.0
5129.0,DCNN,710.0,2009-01-02,52.20865014063515,52.20865014063515,52.20865014063515,2.0,2.0,2.0,0.9,0.9,0.9,1.6,1.6,1.6,92.6,92.6,92.6,,,,10.0,10.0,200.0,200.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,52.20865014063515,52.20865014063515,52.20865014063515,20.0,0.0
5129.0,DCNN,710.0,2009-01-03,80.775775157203,80.775775157203,80.775775157203,-3.0,-3.0,-3.0,-5.4,-5.4,-5.4,-3.6,-3.6,-3.6,83.5,83.5,83.5,,,,7.0,7.0,1000.0,1000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,80.775775157203,80.775775157203,80.775775157203,20.0,4.0
5129.0,DCNN,710.0,2009-01-04,70.85373028866026,70.85373028866026,70.85373028866026,-4.0,-4.0,-4.0,-6.3,-6.3,-6.3,-4.5,-4.5,-4.5,84.4,84.4,84.4,,,,0.0,0.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,70.85373028866026,70.85373028866026,70.85373028866026,0.0,4.0
5129.0,DCNN,710.0,2009-01-05,63.23203890016014,63.23203890016014,63.23203890016014,0.9,0.9,0.9,-0.5,-0.5,-0.5,0.4,0.4,0.4,90.3,90.3,90.3,,,,10.0,10.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,63.23203890016014,63.23203890016014,63.23203890016014,50.0,11.0
5129.0,DCNN,710.0,2009-01-06,71.7294566778141,71.7294566778141,71.7294566778141,-4.5,-4.5,-4.5,-6.8,-6.8,-6.8,-5.0,-5.0,-5.0,83.6,83.6,83.6,,,,5.0,5.0,1000.0,1000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,71.7294566778141,71.7294566778141,71.7294566778141,50.0,4.0
5129.0,DCNN,710.0,2009-01-07,38.19500583831015,38.19500583831015,38.19500583831015,-0.1,-0.1,-0.1,-1.0,-1.0,-1.0,-0.4,-0.4,-0.4,93.7,93.7,93.7,,,,4.0,4.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,38.19500583831015,38.19500583831015,38.19500583831015,360.0,4.0
5129.0,DCNN,710.0,2009-01-08,63.983254458243806,63.983254458243806,63.983254458243806,1.5,1.5,1.5,0.1,0.1,0.1,1.0,1.0,1.0,90.6,90.6,90.6,,,,2.0,2.0,200.0,200.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,63.983254458243806,63.983254458243806,63.983254458243806,20.0,1.0
5129.0,DCNN,710.0,2009-01-09,,,,-2.6,-2.6,-2.6,,,,,,,,,,,,,2.0,2.0,40.0,40.0,,0.0,0.0,0.0,,6.0,,,,,,6.0,6.0,6.0,,,,,,6.0,,,,90.0,4.0
5129.0,DCNN,710.0,2009-01-10,,,,-3.8,-3.8,-3.8,,,,,,,,,,,,,9.0,9.0,40.0,40.0,,0.0,0.0,0.0,,6.0,,,,,,6.0,6.0,6.0,,,,,,6.0,,,,199.99999999999997,4.0
