id,id_type,src_id,met_day,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode
3779.0,WMO,19144.0,2009-01-01,3.2916666666666665,4.7,2.1,-0.9166666666666666,-0.1,-1.7,1.7583333333333335,2.7,0.8,73.47916666666667,78.9,65.5,1030.3875,1024.4541666666667,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-02,3.8625000000000003,5.7,1.9,-0.3458333333333334,1.8,-4.4,2.3,3.8,-0.4,73.78750000000001,86.1,59.4,1030.2083333333333,1024.2958333333333,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-03,1.55,4.5,-0.3,-4.9125000000000005,-4.4,-5.5,-0.6833333333333332,1.3,-2.1,59.60833333333333,65.8,48.0,1029.9416666666666,1023.9708333333333,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-04,0.4291666666666667,1.8,-1.3,-4.145833333333333,-1.9,-5.2,-1.1833333333333333,0.5,-2.6,68.71666666666667,79.0,62.1,1023.5208333333334,1017.5625,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-05,1.6708333333333334,3.6,-0.2,-2.504166666666667,0.5,-6.4,0.19166666666666665,1.9,-2.3,73.05416666666666,90.5,56.9,1021.6,1015.6791666666667,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-06,-0.05833333333333331,2.2,-1.8,-6.670833333333333,-5.4,-10.4,-2.2416666666666667,-1.3,-3.3,57.479166666666664,68.0,33.5,1026.375,1020.3916666666668,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-07,1.3499999999999999,4.2,-1.9,-1.8625,1.4,-7.1,0.2125,3.0,-3.5,77.48333333333333,89.3,61.9,1025.2291666666667,1019.2875,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-08,3.795833333333333,6.8,1.2,1.3499999999999999,2.2,0.2,2.8333333333333335,4.8,0.8,83.96666666666667,92.4,70.4,1028.5666666666668,1022.6583333333333,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-09,0.5583333333333333,3.2,-1.1,-2.125,-0.4,-2.9,-0.4166666666666667,1.2,-1.6,81.10000000000001,91.9,65.3,1028.4583333333333,1022.4708333333333,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
3779.0,WMO,19144.0,2009-01-10,-0.9208333333333334,2.3,-2.7,-3.0416666666666665,0.5,-4.3,-1.6958333333333335,1.6,-3.3,82.64999999999999,87.2,77.3,1026.5166666666667,1020.5208333333334,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
