id,id_type,src_id,met_day,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode
5028.0,DCNN,695.0,2016-01-01,4.920833333333333,7.4,2.2,3.170833333333333,5.8,1.0,4.1875,6.5,1.7,88.5,94.6,76.4,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-02,8.841666666666667,9.9,7.3,8.025,9.6,6.2,8.45,9.7,6.8,94.6125,98.7,90.4,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-03,7.05,9.0,5.1,5.904166666666666,8.4,2.3,6.55,8.7,4.0,92.55416666666667,98.6,79.7,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-04,7.141666666666667,9.8,5.8,5.908333333333334,7.4,5.1,6.570833333333333,8.4,5.5,91.87916666666666,98.5,81.8,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-05,7.5625,9.6,6.3,6.55,7.6,6.0,7.091666666666666,8.2,6.2,93.31666666666666,98.4,81.6,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-06,6.233333333333333,6.8,5.3,5.570833333333333,6.3,4.9,5.954166666666667,6.5,5.2,95.72916666666667,98.5,89.5,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-07,6.266666666666667,9.0,2.9,3.8333333333333335,8.7,-0.5,5.291666666666667,8.9,1.8,84.84583333333333,98.7,67.8,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-08,5.158333333333333,8.2,1.8,3.3791666666666664,6.1,0.2,4.416666666666667,6.5,1.2,88.35416666666667,95.5,76.5,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-09,8.141666666666667,9.9,5.8,6.45,7.7,4.2,7.354166666666667,8.7,5.2,89.12083333333334,95.5,81.8,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-10,5.495833333333334,7.9,4.4,3.029166666666667,4.4,1.8,4.479166666666667,5.9,3.7,84.30833333333334,90.7,72.1,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-11,5.1875,6.2,3.6,4.333333333333333,5.6,3.1,4.825,5.9,3.4,94.22500000000001,96.9,89.0,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-12,4.266666666666667,5.9,3.0,2.3375,3.1,1.7,3.4916666666666667,4.5,2.7,87.50833333333333,96.6,76.8,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-13,3.970833333333333,6.3,1.4,0.9208333333333334,2.9,-0.5,2.795833333333333,4.1,0.8,80.8125,91.7,63.0,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-14,2.4583333333333335,4.1,1.1,-0.32916666666666666,3.3,-3.9,1.4708333333333332,3.7,-0.4,82.59583333333333,96.6,63.7,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-15,1.8416666666666668,5.0,0.1,-1.4041666666666668,-0.6,-2.6,0.6666666666666666,2.4,-0.5,79.3,88.6,59.3,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-16,1.0416666666666667,4.8,-1.1,-1.1583333333333334,-0.3,-2.4,0.23333333333333336,2.7,-1.6,85.08333333333333,93.9,66.7,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-17,1.6708333333333334,3.3,-0.2,-0.24166666666666667,0.7,-1.0,0.9666666666666667,2.3,-0.4,87.46249999999999,96.0,74.2,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-18,2.2666666666666666,3.7,-1.7,-0.7041666666666666,1.9,-4.3,1.175,2.6,-2.6,80.19583333333334,91.3,67.6,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-19,0.325,6.1,-2.6,-4.954166666666667,-3.0,-7.8,-1.4375,2.5,-3.2,67.75833333333334,87.4,41.3,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-20,1.2,6.7,-1.8,-0.6958333333333333,1.6,-3.1,0.48750000000000004,4.2,-2.0,87.39583333333333,98.1,63.6,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-21,3.033333333333333,7.3,-1.0,0.1125,1.2,-1.6,1.9041666666666668,4.5,-1.2,81.93333333333334,95.9,60.5,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-22,6.5,9.4,4.6,4.754166666666666,9.2,1.1,5.7749999999999995,9.3,3.2,88.77499999999999,98.6,76.7,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-23,6.845833333333334,9.8,4.8,5.9624999999999995,7.9,4.5,6.445833333333333,8.8,4.7,94.24583333333334,100.0,86.9,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-24,11.1625,14.0,8.1,10.612499999999999,12.3,7.7,10.879166666666668,12.9,7.9,96.60416666666667,100.0,86.5,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-25,10.641666666666667,12.2,7.7,7.5874999999999995,10.5,4.6,9.183333333333334,10.8,6.5,81.58333333333333,95.0,70.1,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-26,8.366666666666667,10.6,5.5,6.879166666666666,9.7,4.4,7.679166666666667,10.1,5.0,90.53333333333335,97.0,74.2,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-27,10.616666666666667,12.2,7.2,9.145833333333334,10.9,3.2,9.908333333333333,11.4,5.5,90.72916666666667,98.7,75.5,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
5028.0,DCNN,695.0,2016-01-28,5.666666666666667,8.9,1.8,1.6541666666666668,5.2,0.2,4.0375000000000005,7.0,1.2,76.02916666666667,89.3,59.1,,,,,,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,,,,,,,,,,,
