id,id_type,src_id,met_day,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode
5023.0,DCNN,62084.0,2020-01-01,5.7124999999999995,7.1,4.4,3.3874999999999997,5.0,1.9,4.741666666666666,6.2,3.5,84.72916666666667,86.9,80.5,1029.2416666666666,1028.625,,1.8333333333333333,3.0,675.0,500.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,147.12086993291916,
5023.0,DCNN,62084.0,2020-01-02,8.995833333333334,10.7,6.9,6.433333333333334,7.8,5.4,7.8,9.3,6.2,84.02916666666667,91.1,72.3,1020.3874999999999,1019.7624999999999,,5.541666666666667,10.0,2445.8333333333335,500.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,195.25341527932713,
5023.0,DCNN,62084.0,2020-01-03,8.875,11.0,5.9,5.05,9.3,0.8,7.233333333333333,10.0,4.2,77.24166666666666,90.9,56.1,1021.0291666666667,1020.4166666666666,,6.833333333333333,10.0,2444.5833333333335,390.0,19.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,292.6976977509684,
5023.0,DCNN,62084.0,2020-01-04,6.929166666666667,8.9,4.4,2.9291666666666667,4.3,1.5,5.254166666666666,6.3,3.3,75.47083333333333,82.3,64.9,1033.8583333333333,1033.2208333333333,,5.708333333333333,9.0,3533.3333333333335,2200.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,256.0838572199122,
5023.0,DCNN,62084.0,2020-01-05,8.070833333333333,8.9,7.1,4.429166666666666,5.2,3.3,6.4750000000000005,6.8,6.1,77.625,88.1,68.6,1033.0708333333334,1032.4416666666666,,6.0,10.0,4516.666666666667,2200.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,244.9934983872505,
5023.0,DCNN,62084.0,2020-01-06,8.033333333333333,8.8,7.0,4.191666666666666,7.2,2.0,6.383333333333333,8.0,5.0,76.72083333333333,89.0,68.2,1022.0833333333334,1021.4666666666667,,7.0,12.0,3254.1666666666665,800.0,18.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,229.99843007406358,
5023.0,DCNN,62084.0,2020-01-07,9.775,13.0,5.9,7.554166666666667,11.0,4.7,8.695833333333333,11.9,5.4,86.0,92.1,71.2,1021.725,1021.1208333333334,,6.958333333333333,11.0,1933.3333333333333,800.0,21.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,222.7859878284205,
5023.0,DCNN,62084.0,2020-01-08,11.666666666666666,12.8,10.1,8.695833333333333,10.8,7.5,10.195833333333333,11.7,9.2,81.96666666666667,88.2,74.6,1020.4875000000001,1019.875,,5.875,12.0,1937.5,700.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,237.38124303856634,
5023.0,DCNN,62084.0,2020-01-09,11.491666666666667,12.9,7.1,8.491666666666667,10.7,4.5,10.025,11.5,6.0,82.03333333333333,92.6,71.0,1006.8166666666666,1006.2166666666667,,7.916666666666667,12.0,2945.8333333333335,500.0,22.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,220.08946692516338,
5023.0,DCNN,62084.0,2020-01-10,6.833333333333333,8.4,5.8,2.35,4.6,1.0,5.0,5.9,4.0,73.08749999999999,86.3,61.7,1022.775,1022.1583333333333,,5.916666666666667,9.0,4295.833333333333,1400.0,18.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,305.2603505089912,
5023.0,DCNN,62084.0,2020-01-11,9.604166666666666,10.8,6.7,5.579166666666667,6.9,2.6,7.766666666666667,8.8,5.0,75.69583333333334,81.6,72.5,1024.1916666666666,1023.5666666666666,,8.541666666666666,13.0,2150.0,600.0,27.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,222.7374374988432,
5023.0,DCNN,62084.0,2020-01-12,9.954166666666667,11.4,7.0,5.970833333333334,8.9,3.4,8.129166666666666,10.1,5.6,76.42916666666666,89.7,59.4,1018.025,1017.4166666666666,,9.208333333333334,13.0,3418.75,460.0,24.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,240.46226357079433,
5023.0,DCNN,62084.0,2020-01-13,8.995833333333334,11.5,6.7,5.8625,8.8,3.8,7.5625,10.2,5.5,80.81666666666666,92.9,72.5,1008.125,1007.5208333333334,,5.666666666666667,12.0,1837.0833333333333,410.0,31.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,184.21891947097933,
5023.0,DCNN,62084.0,2020-01-14,10.720833333333333,13.4,8.3,8.0,11.0,4.8,9.404166666666667,12.1,6.9,83.3125,87.8,78.1,996.1666666666666,995.5708333333333,,9.5,17.0,1370.8333333333333,500.0,33.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,218.63433845010243,
5023.0,DCNN,62084.0,2020-01-15,9.075000000000001,12.7,7.0,5.695833333333333,9.7,3.2,7.55,11.1,6.0,79.62083333333334,93.1,68.6,1006.65,1006.0458333333332,,7.791666666666667,16.0,2241.25,490.0,27.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,241.76974600271365,
5023.0,DCNN,62084.0,2020-01-16,9.745833333333334,12.8,7.1,6.2749999999999995,9.2,4.4,8.116666666666667,10.3,6.1,78.94583333333334,87.4,65.6,1014.6125000000001,1013.9916666666667,,4.541666666666667,7.0,1995.8333333333333,900.0,16.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,147.14712665302554,
5023.0,DCNN,62084.0,2020-01-17,8.333333333333334,10.8,4.4,4.720833333333333,9.0,0.9,6.779166666666666,9.9,3.3,78.24166666666666,88.5,60.2,1012.3125,1011.7041666666668,,6.541666666666667,15.0,3691.6666666666665,500.0,25.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,232.89542190512753,
5023.0,DCNN,62084.0,2020-01-18,4.620833333333334,7.9,2.3,1.0041666666666667,1.8,-0.3,3.216666666666667,4.8,1.7,77.925,89.3,56.8,1027.6208333333334,1026.9916666666666,,3.8333333333333335,8.0,3025.0,1700.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,291.9316867900536,
5023.0,DCNN,62084.0,2020-01-19,4.208333333333333,8.5,1.7,0.625,1.4,-0.5,2.8125,5.5,0.9,77.44166666666666,88.8,58.7,1043.9541666666667,1043.3083333333334,,2.8333333333333335,5.0,2033.3333333333333,1100.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,313.2752735775843,
5023.0,DCNN,62084.0,2020-01-20,4.208333333333333,7.7,2.4,0.7458333333333332,1.7,-0.3,2.858333333333333,5.2,1.4,77.81666666666666,85.5,64.2,1047.5291666666667,1046.8833333333334,,2.2083333333333335,3.0,1704.1666666666667,1000.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,255.3935241835913,
5023.0,DCNN,62084.0,2020-01-21,3.3874999999999997,7.4,0.1,1.0583333333333333,2.6,-0.8,2.4583333333333335,5.4,-0.3,84.51666666666667,93.9,70.9,1041.7333333333333,1041.0874999999999,,2.375,4.0,1113.3333333333333,220.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,260.71071611616924,
5023.0,DCNN,62084.0,2020-01-22,5.645833333333333,8.2,3.4,4.3,6.7,1.9,5.079166666666667,7.3,2.8,91.10833333333333,95.4,84.2,1037.3833333333334,1036.7541666666666,,1.9166666666666667,3.0,688.75,140.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,233.82973938126673,
5023.0,DCNN,62084.0,2020-01-23,7.983333333333333,8.5,7.5,4.8999999999999995,5.5,4.6,6.620833333333334,6.9,6.3,80.62916666666666,85.5,77.6,1031.2041666666667,1030.575,,1.8333333333333333,3.0,1512.5,700.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,117.56836240040407,
5023.0,DCNN,62084.0,2020-01-24,6.733333333333333,7.1,6.4,4.766666666666667,5.4,4.0,5.875,6.3,5.4,87.125,89.4,82.2,1023.0208333333334,1022.3874999999999,,2.7916666666666665,5.0,1058.3333333333333,500.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,266.8479669261869,
