id,id_type,src_id,met_day,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode
5023.0,DCNN,62084.0,2022-01-01,265.15707151588356,589.8239599544638,72.24425565369184,13.829166666666666,15.5,13.2,11.058333333333332,12.6,9.0,12.358333333333334,13.0,11.5,83.55,95.3,66.5,1017.2875,1016.6791666666667,,5.916666666666667,11.0,1883.3333333333333,1000.0,21.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,265.15707151588356,589.8239599544638,72.24425565369184,201.35705372075589,
5023.0,DCNN,62084.0,2022-01-02,230.7943306715888,320.4255017903869,70.48052937428315,11.924999999999999,13.5,10.1,9.15,11.9,6.0,10.549999999999999,12.6,8.3,83.22916666666667,95.2,74.6,1010.2333333333332,1009.6333333333333,,9.458333333333334,16.0,3541.6666666666665,1000.0,26.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,230.7943306715888,320.4255017903869,70.48052937428315,232.07201418538895,
5023.0,DCNN,62084.0,2022-01-03,244.67729333345446,326.33961797014007,110.84802676855257,10.316666666666666,11.1,9.4,7.125,8.0,6.1,8.795833333333333,9.1,8.3,80.60000000000001,90.6,74.5,1007.7833333333333,1007.1750000000001,,8.083333333333334,12.0,1979.1666666666667,1300.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,,,,,,,244.67729333345446,326.33961797014007,110.84802676855257,230.41745393092884,
5023.0,DCNN,62084.0,2022-01-04,155.89760482190283,272.4455759373061,45.66530633571691,6.041666666666667,9.5,2.7,3.2708333333333335,8.1,-0.9,4.929166666666666,8.8,1.4,82.41666666666667,95.8,68.1,1001.2125,1000.5916666666667,,6.125,12.0,2450.0,500.0,24.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,155.89760482190283,272.4455759373061,45.66530633571691,298.2772248079593,
5023.0,DCNN,62084.0,2022-01-05,206.3270433438128,359.6334420997527,91.60758154066126,4.0,6.8,2.2,-0.016666666666666666,1.2,-0.9,2.4916666666666667,4.3,1.4,75.2625,87.2,63.2,1013.5541666666667,1012.9083333333333,,5.166666666666667,9.0,2925.0,2000.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,,,,,,,206.3270433438128,359.6334420997527,91.60758154066126,298.85274748246826,
5023.0,DCNN,62084.0,2022-01-06,132.39280788804746,295.42836555893257,24.966496808610536,3.6833333333333336,7.6,-0.6,1.3083333333333333,6.4,-1.5,2.7375000000000003,7.1,-0.9,84.69583333333334,96.0,67.8,1016.4250000000001,1015.7916666666666,,3.8333333333333335,13.0,2174.5833333333335,490.0,23.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,132.39280788804746,295.42836555893257,24.966496808610536,193.97912948439583,
5023.0,DCNN,62084.0,2022-01-07,172.9061854340636,281.2331217779724,51.836207338600865,4.7875000000000005,6.8,1.9,1.675,4.4,0.6,3.5500000000000003,5.8,1.5,80.425,92.6,69.5,1010.4166666666666,1009.7875,,8.125,12.0,4141.666666666667,2500.0,21.0,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,106.0,,,,,,172.9061854340636,281.2331217779724,51.836207338600865,248.18449662675266,
5023.0,DCNN,62084.0,2022-01-08,113.05469254090043,282.9334032805417,46.53789928790022,6.7625,10.5,1.7,4.9624999999999995,9.3,0.5,5.9875,9.7,1.3,88.5625,96.1,73.8,1001.3083333333334,1000.6999999999999,,5.833333333333333,11.0,2150.0,900.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,,,,,,,113.05469254090043,282.9334032805417,46.53789928790022,229.74657281444604,
5023.0,DCNN,62084.0,2022-01-09,208.82841176384636,373.28729695071206,69.17897069254477,5.595833333333334,8.3,4.3,1.9458333333333335,3.4,1.0,4.120833333333334,5.8,3.1,77.52916666666667,91.9,65.9,1002.8125,1002.1958333333333,,5.25,9.0,2370.8333333333335,1200.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,,,,,,,208.82841176384636,373.28729695071206,69.17897069254477,245.41511855236132,
5023.0,DCNN,62084.0,2022-01-10,113.2175032831823,232.58362080534093,48.209567976168955,6.908333333333334,9.1,3.9,5.2,8.4,2.9,6.154166666666666,8.7,3.5,88.97083333333335,95.8,79.6,1018.3791666666666,1017.7666666666668,,1.625,3.0,1358.3333333333333,800.0,,0.0,0.0,0.0,,106.0,106.0,106.0,6.0,6.0,,106.0,106.0,6.0,,,,,,,113.2175032831823,232.58362080534093,48.209567976168955,128.7915202566435,
