ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2009-01-01 09:00:00,5028,DCNN,695,0.3,-2.6,-0.7,80.9,,,,50.0,5.0,400.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-02 13:08:03,59.0
2009-01-02 09:00:00,5028,DCNN,695,1.4,0.6,1.1,94.4,,,,50.0,5.0,400.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-02 13:08:03,58.0
2009-01-03 09:00:00,5028,DCNN,695,-1.7,-5.9,-2.9,73.1,,,,50.0,2.0,2000.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-03 12:08:06,46.0
2009-01-04 09:00:00,5028,DCNN,695,-4.5,-6.5,-4.9,85.8,,,,270.0,2.0,2000.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-04 11:08:07,29.0
2009-01-05 09:00:00,5028,DCNN,695,0.1,-0.5,-0.1,95.9,,,,50.0,15.0,2000.0,,,,,,17,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-07 11:08:10,13.0
2009-01-06 09:00:00,5028,DCNN,695,-3.8,-5.3,-4.1,89.4,,,,50.0,5.0,2000.0,,,,,,16,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-07 11:08:10,12.0
2009-01-07 09:00:00,5028,DCNN,695,-1.1,-2.4,-1.5,90.6,,,,270.0,2.0,1000.0,,,,,,16,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-07 11:08:10,14.0
2009-01-08 09:00:00,5028,DCNN,695,1.2,0.7,1.0,96.2,,,,230.0,2.0,400.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-08 11:08:06,55.0
2009-01-09 09:00:00,5028,DCNN,695,-2.0,-2.0,-2.0,98.1,,,,50.0,2.0,20.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-11 11:08:07,39.0
2009-01-10 09:00:00,5028,DCNN,695,-4.6,-5.5,-4.7,93.3,,,,130.0,2.0,20.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-11 11:08:07,38.0
2009-01-11 09:00:00,5028,DCNN,695,3.9,-1.7,1.9,67.0,,,,180.0,10.0,2000.0,,,,,,04,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-11 11:08:07,37.0
2009-01-12 09:00:00,5028,DCNN,695,7.5,5.3,6.5,85.6,,,,180.0,15.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-13 11:08:08,12.0
2009-01-13 09:00:00,5028,DCNN,695,6.9,6.2,6.6,95.6,,,,230.0,5.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-13 11:08:08,11.0
2009-01-14 09:00:00,5028,DCNN,695,0.7,0.4,0.6,98.0,,,,230.0,2.0,40.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-14 11:08:11,28.0
2009-01-15 09:00:00,5028,DCNN,695,4.9,3.7,4.4,92.0,,,,130.0,10.0,2000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-15 11:08:11,49.0
2009-01-16 09:00:00,5028,DCNN,695,5.5,5.0,5.3,96.9,,,,180.0,10.0,1000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-16 11:08:10,31.0
2009-01-17 09:00:00,5028,DCNN,695,5.8,3.9,5.0,87.7,,,,230.0,10.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-18 12:08:07,40.0
2009-01-18 09:00:00,5028,DCNN,695,4.1,1.5,3.1,83.4,,,,230.0,15.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-18 12:08:07,40.0
2009-01-19 09:00:00,5028,DCNN,695,3.8,3.1,3.5,94.9,,,,230.0,5.0,2000.0,,,,,,03,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-19 11:08:12,41.0
2009-01-20 09:00:00,5028,DCNN,695,3.4,0.2,2.2,79.5,,,,230.0,5.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-20 10:08:13,30.0
2009-01-21 09:00:00,5028,DCNN,695,1.6,0.5,1.2,92.4,,,,230.0,2.0,2000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-21 11:08:09,9.0
2009-01-23 09:00:00,5028,DCNN,695,3.5,3.3,3.4,98.3,,,,310.0,15.0,1000.0,,,,,,03,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-23 12:08:05,51.0
