ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2010-01-01 09:00:00,5131,DCNN,711,0.4,0.1,0.3,97.9,,,,100.0,9.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-04 09:16:13,0.0
2010-01-02 09:00:00,5131,DCNN,711,0.5,-0.3,0.2,94.0,,,,40.0,13.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-04 09:17:40,0.0
2010-01-03 09:00:00,5131,DCNN,711,0.5,-0.9,0.0,90.1,,,,240.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-04 09:19:11,0.0
2010-01-04 09:00:00,5131,DCNN,711,-3.3,-3.3,-3.3,96.9,,,,280.0,2.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-07 10:15:34,0.0
2010-01-05 09:00:00,5131,DCNN,711,-1.5,-1.5,-1.5,98.7,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-07 10:18:00,0.0
2010-01-06 09:00:00,5131,DCNN,711,1.0,0.7,0.9,98.0,,,,30.0,9.0,400.0,,,,,,12,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2010-01-07 10:20:43,0.0
2010-01-07 09:00:00,5131,DCNN,711,-4.5,-4.5,-4.5,95.7,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-14 10:15:37,0.0
2010-01-08 09:00:00,5131,DCNN,711,-1.7,-1.7,-1.7,98.5,,,,40.0,9.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-14 10:18:20,0.0
2010-01-09 09:00:00,5131,DCNN,711,-2.0,-2.0,-2.0,98.1,,,,170.0,24.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-14 10:19:55,0.0
2010-01-10 09:00:00,5131,DCNN,711,1.9,0.8,1.5,92.6,,,,0.0,0.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2010-01-14 10:21:24,0.0
