ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2013-01-01 00:00:00,03770,WMO,697,9.6,8.1,8.9,90.7,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2012-12-31 23:52:00,0.0
2013-01-01 01:00:00,03770,WMO,697,9.4,7.9,8.7,90.6,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 00:52:00,0.0
2013-01-01 02:00:00,03770,WMO,697,9.2,8.0,8.6,91.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 01:52:00,0.0
2013-01-01 03:00:00,03770,WMO,697,7.9,6.1,7.1,88.6,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 02:52:00,0.0
2013-01-01 04:00:00,03770,WMO,697,7.4,5.6,6.6,88.4,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 03:52:00,0.0
2013-01-01 05:00:00,03770,WMO,697,6.4,4.6,5.6,87.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 04:52:00,0.0
2013-01-01 06:00:00,03770,WMO,697,5.4,3.6,4.6,87.4,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 05:52:00,0.0
2013-01-01 07:00:00,03770,WMO,697,5.1,3.3,4.4,88.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 06:52:00,0.0
2013-01-01 08:00:00,03770,WMO,697,4.7,2.7,3.9,87.1,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 07:52:00,0.0
2013-01-01 09:00:00,03770,WMO,697,4.6,2.6,3.8,87.0,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 08:54:00,0.0
2013-01-01 10:00:00,03770,WMO,697,5.4,2.8,4.3,82.8,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 09:52:00,0.0
2013-01-01 11:00:00,03770,WMO,697,6.8,2.9,5.2,76.6,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 10:52:00,0.0
2013-01-01 12:00:00,03770,WMO,697,7.4,2.5,5.4,71.6,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 11:52:00,0.0
2013-01-01 13:00:00,03770,WMO,697,7.5,3.2,5.7,74.4,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 12:52:00,0.0
2013-01-01 14:00:00,03770,WMO,697,7.4,1.9,5.1,67.5,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 13:52:00,0.0
2013-01-01 15:00:00,03770,WMO,697,7.4,1.9,5.1,67.5,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 14:52:00,0.0
2013-01-01 16:00:00,03770,WMO,697,6.8,2.0,4.8,70.9,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,K,A,,,,,,,,2013-01-01 15:52:00,0.0
