ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2020-01-01 00:00:00,5023,DCNN,62084,5.8,3.0,4.6,81.2,1030.8,1030.1,,120.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2019-12-31 23:52:00,0.0
2020-01-01 01:00:00,5023,DCNN,62084,5.3,2.9,4.3,84.1,1030.5,1029.9,,140.0,2.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 00:52:00,0.0
2020-01-01 02:00:00,5023,DCNN,62084,4.9,2.8,4.0,85.3,1030.1,1029.5,,140.0,2.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 01:51:00,0.0
2020-01-01 03:00:00,5023,DCNN,62084,4.4,2.4,3.6,86.6,1029.9,1029.2,,140.0,2.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 02:52:00,0.0
2020-01-01 04:00:00,5023,DCNN,62084,4.5,2.6,3.7,86.6,1030.1,1029.4,,150.0,2.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 03:51:00,0.0
2020-01-01 05:00:00,5023,DCNN,62084,4.5,1.9,3.5,83.4,1030.2,1029.6,,110.0,1.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 04:51:00,0.0
2020-01-01 06:00:00,5023,DCNN,62084,5.2,2.1,4.0,80.7,1029.4,1028.8,,130.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 05:52:00,0.0
2020-01-01 07:00:00,5023,DCNN,62084,4.9,2.0,3.7,80.5,1029.7,1029.1,,200.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 06:51:00,0.0
2020-01-01 08:00:00,5023,DCNN,62084,4.8,2.3,3.8,83.7,1029.6,1029.0,,120.0,1.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 07:51:00,0.0
2020-01-01 09:00:00,5023,DCNN,62084,5.1,2.7,4.1,83.8,1030.0,1029.4,,130.0,2.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 08:53:00,0.0
2020-01-01 10:00:00,5023,DCNN,62084,4.7,2.7,3.9,86.9,1030.1,1029.5,,130.0,2.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 09:51:00,0.0
2020-01-01 11:00:00,5023,DCNN,62084,5.1,2.8,4.2,85.4,1030.2,1029.6,,130.0,2.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 10:51:00,0.0
2020-01-01 12:00:00,5023,DCNN,62084,5.8,3.3,4.8,84.4,1029.5,1028.9,,110.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 11:51:00,0.0
2020-01-01 13:00:00,5023,DCNN,62084,6.0,3.8,5.1,86.1,1029.0,1028.4,,250.0,2.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 13:17:00,0.0
2020-01-01 14:00:00,5023,DCNN,62084,6.1,4.0,5.2,86.1,1028.7,1028.1,,240.0,3.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 13:51:00,0.0
2020-01-01 15:00:00,5023,DCNN,62084,6.3,4.3,5.4,86.2,1028.6,1028.0,,250.0,3.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 14:51:00,0.0
2020-01-01 16:00:00,5023,DCNN,62084,6.3,4.1,5.4,86.2,1028.3,1027.7,,0.0,0.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 15:51:00,0.0
2020-01-01 17:00:00,5023,DCNN,62084,6.6,4.4,5.6,84.9,1028.6,1028.0,,250.0,2.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 16:51:00,0.0
2020-01-01 18:00:00,5023,DCNN,62084,6.6,4.2,5.6,84.9,1028.9,1028.3,,160.0,1.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 17:52:00,0.0
2020-01-01 19:00:00,5023,DCNN,62084,6.7,4.3,5.7,84.9,1028.7,1028.1,,150.0,2.0,700.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 18:51:00,0.0
2020-01-01 20:00:00,5023,DCNN,62084,6.7,4.5,5.7,84.9,1028.3,1027.7,,130.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 19:51:00,0.0
2020-01-01 21:00:00,5023,DCNN,62084,6.8,4.5,5.8,85.0,1027.9,1027.2,,130.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 20:53:00,0.0
2020-01-01 22:00:00,5023,DCNN,62084,6.9,4.7,5.9,85.1,1027.6,1027.0,,150.0,1.0,900.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 21:51:00,0.0
2020-01-01 23:00:00,5023,DCNN,62084,7.1,5.0,6.2,86.6,1027.1,1026.5,,130.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 22:51:00,0.0
2020-01-02 00:00:00,5023,DCNN,62084,6.9,5.4,6.2,89.5,1026.5,1025.9,,140.0,3.0,600.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-01 23:51:00,0.0
2020-01-02 01:00:00,5023,DCNN,62084,7.0,5.6,6.4,91.1,1025.9,1025.2,,140.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 00:51:00,0.0
2020-01-02 02:00:00,5023,DCNN,62084,6.9,5.5,6.3,91.1,1025.4,1024.8,,140.0,3.0,900.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 01:51:00,0.0
2020-01-02 03:00:00,5023,DCNN,62084,7.0,5.5,6.3,89.6,1025.0,1024.3,,140.0,3.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 02:51:00,0.0
2020-01-02 04:00:00,5023,DCNN,62084,7.1,5.6,6.4,89.7,1024.5,1023.8,,130.0,3.0,500.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 03:51:00,0.0
2020-01-02 05:00:00,5023,DCNN,62084,7.1,5.7,6.5,91.1,1024.0,1023.3,,140.0,2.0,800.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 04:51:00,0.0
2020-01-02 06:00:00,5023,DCNN,62084,7.3,5.8,6.6,89.7,1023.2,1022.6,,140.0,3.0,1100.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 05:52:00,0.0
2020-01-02 07:00:00,5023,DCNN,62084,7.6,5.8,6.8,88.4,1022.6,1022.0,,130.0,3.0,1300.0,,,,,,,106,106,106,6,6,,106,106,6,106,,,,,,,,K,A,,,,,,,,2020-01-02 06:51:00,0.0
