ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2022-01-01 00:00:00,5260,DCNN,723,13.3,12.0,12.6,91.8,,,,200.0,5.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 00:04:00,0.0
2022-01-01 01:00:00,5260,DCNN,723,13.4,12.2,12.7,91.9,,,,190.0,5.0,,15.0,,,0.0,,,6,6,6,,,,6,6,,6,,,1,,,,,K,A,,,,,,,,2022-01-01 01:03:00,0.0
2022-01-01 02:00:00,5260,DCNN,723,13.5,12.2,12.8,91.9,,,,200.0,6.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 02:03:00,0.0
2022-01-01 03:00:00,5260,DCNN,723,13.5,11.8,12.6,89.6,,,,200.0,6.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 03:03:00,0.0
2022-01-01 04:00:00,5260,DCNN,723,13.2,11.5,12.3,89.5,,,,200.0,5.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 04:03:00,0.0
2022-01-01 05:00:00,5260,DCNN,723,13.1,11.3,12.1,88.3,,,,190.0,5.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 05:03:00,0.0
2022-01-01 06:00:00,5260,DCNN,723,13.0,11.6,12.3,91.8,,,,190.0,7.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 06:03:00,0.0
2022-01-01 07:00:00,5260,DCNN,723,13.1,11.1,12.0,87.2,,,,190.0,6.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 07:03:00,0.0
2022-01-01 08:00:00,5260,DCNN,723,12.7,10.2,11.4,84.7,,,,180.0,7.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 08:03:00,0.0
2022-01-01 09:00:00,5260,DCNN,723,12.9,9.8,11.3,81.4,,,,200.0,5.0,,,,,0.1,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 09:06:00,0.0
2022-01-01 10:00:00,5260,DCNN,723,13.9,9.4,11.6,74.4,,,,190.0,7.0,,,,,0.9,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2022-01-01 10:03:00,0.0
2022-01-01 11:00:00,5260,DCNN,723,15.1,9.4,12.1,68.3,,,,200.0,7.0,,21.0,,,0.6,,,6,6,6,,,,6,6,,6,,,1,,,,,K,A,,,,,,,,2022-01-01 11:04:00,0.0
