ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2009-01-01 09:00:00,5131,DCNN,711,2.0,1.7,1.9,98.2,,,,90.0,2.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-05 11:08:12,37.0
2009-01-03 09:00:00,5131,DCNN,711,-3.0,-3.0,-3.0,97.1,,,,0.0,0.0,,,,,,,,6,6,6,,,,6,6,,,,,,,,,,K,A,,,,,,,,2009-01-05 11:08:12,32.0
2009-01-04 09:00:00,5131,DCNN,711,-3.5,-6.4,-4.2,80.5,,,,230.0,2.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-05 11:08:12,29.0
2009-01-05 09:00:00,5131,DCNN,711,2.0,0.7,1.5,90.8,,,,50.0,19.0,200.0,,,,,,13,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2009-01-05 11:08:12,25.0
2009-01-06 09:00:00,5131,DCNN,711,2.2,2.2,2.2,100.0,,,,360.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-07 10:08:16,47.0
2009-01-07 09:00:00,5131,DCNN,711,-1.0,-1.0,-1.0,98.9,,,,0.0,0.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-07 10:08:16,45.0
2009-01-08 09:00:00,5131,DCNN,711,2.0,0.7,1.5,90.8,,,,0.0,0.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-09 10:08:15,29.0
2009-01-09 09:00:00,5131,DCNN,711,-1.1,-2.1,-1.4,92.6,,,,360.0,1.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-09 10:08:15,26.0
2009-01-10 09:00:00,5131,DCNN,711,-4.5,-4.5,-4.5,95.7,,,,0.0,0.0,100.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-12 10:08:16,26.0
2009-01-11 09:00:00,5131,DCNN,711,5.1,1.6,3.7,77.8,,,,200.0,3.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-12 10:08:16,22.0
2009-01-12 09:00:00,5131,DCNN,711,8.1,6.8,7.5,91.6,,,,140.0,4.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-12 10:08:16,19.0
2009-01-13 09:00:00,5131,DCNN,711,6.9,6.5,6.7,97.1,,,,0.0,0.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-13 10:08:13,26.0
2009-01-14 09:00:00,5131,DCNN,711,1.7,1.4,1.6,98.1,,,,0.0,0.0,10.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-14 10:08:13,55.0
2009-01-15 09:00:00,5131,DCNN,711,6.2,4.8,5.6,90.9,,,,180.0,4.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-16 10:08:11,30.0
2009-01-16 09:00:00,5131,DCNN,711,6.5,6.3,6.4,98.6,,,,200.0,2.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-16 10:08:11,27.0
2009-01-17 09:00:00,5131,DCNN,711,7.8,6.0,7.0,88.6,,,,270.0,9.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-20 09:45:00,0.0
2009-01-18 09:00:00,5131,DCNN,711,5.6,2.9,4.5,83.0,,,,270.0,5.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-19 15:08:08,43.0
2009-01-19 09:00:00,5131,DCNN,711,5.0,4.8,4.9,98.3,,,,50.0,5.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-19 15:08:08,39.0
2009-01-23 09:00:00,5131,DCNN,711,4.6,4.4,4.5,98.5,,,,320.0,19.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-23 13:08:04,50.0
2009-01-24 09:00:00,5131,DCNN,711,0.2,-0.1,0.1,97.9,,,,0.0,0.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-27 13:08:08,39.0
2009-01-25 09:00:00,5131,DCNN,711,7.2,6.1,6.7,92.7,,,,200.0,9.0,200.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-27 13:08:08,36.0
2009-01-26 09:00:00,5131,DCNN,711,6.0,4.8,5.5,92.3,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-27 13:08:08,34.0
2009-01-27 09:00:00,5131,DCNN,711,2.4,2.1,2.3,98.2,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-27 13:08:08,32.0
2009-01-28 09:00:00,5131,DCNN,711,6.0,5.5,5.8,96.9,,,,180.0,5.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-01-28 11:08:11,37.0
2009-01-29 09:00:00,5131,DCNN,711,3.1,1.3,2.4,87.8,,,,150.0,5.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-02-03 10:08:16,60.0
2009-01-30 09:00:00,5131,DCNN,711,3.4,1.9,2.8,89.6,,,,0.0,0.0,400.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-02-03 10:08:16,58.0
2009-01-31 09:00:00,5131,DCNN,711,4.0,0.0,2.5,75.2,,,,0.0,0.0,1000.0,,,,,,,6,6,6,,,,6,6,6,,,,,,,,,K,A,,,,,,,,2009-02-03 10:08:16,55.0
