ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2015-01-01 09:00:00,5129,DCNN,710,8.1,6.8,7.5,91.6,,,,210.0,12.0,200.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-02 09:00:00,5129,DCNN,710,7.5,1.3,5.0,64.9,,,,290.0,8.0,1000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-03 09:00:00,5129,DCNN,710,4.0,3.8,3.9,98.4,,,,90.0,10.0,200.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-04 09:00:00,5129,DCNN,710,-0.5,,,,,,,0.0,0.0,20.0,,,,,,04,6,,,,,,6,6,6,,,,,,6,,,,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-05 09:00:00,5129,DCNN,710,5.5,4.3,5.0,92.2,,,,230.0,2.0,200.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-06 09:00:00,5129,DCNN,710,7.9,7.0,7.5,94.3,,,,210.0,4.0,200.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-07 09:00:00,5129,DCNN,710,3.0,2.0,2.6,93.0,,,,210.0,8.0,1000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-08 09:00:00,5129,DCNN,710,8.0,7.1,7.6,94.3,,,,270.0,2.0,200.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:47,0.0
2015-01-09 09:00:00,5129,DCNN,710,10.5,7.4,9.0,80.9,,,,250.0,12.0,2000.0,,,,,,01,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:48,0.0
2015-01-10 09:00:00,5129,DCNN,710,11.9,9.5,10.7,85.4,,,,270.0,20.0,1000.0,,,,,,02,6,6,6,,,,6,6,6,,,,,,6,,,K,A,,,,,,,,2015-02-17 11:39:48,0.0
