ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2020-01-01 00:00:00,5260,DCNN,723,3.5,2.3,3.0,91.5,,,,120.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 00:04:00,0.0
2020-01-01 01:00:00,5260,DCNN,723,1.8,1.1,1.5,94.4,,,,130.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 01:04:00,0.0
2020-01-01 02:00:00,5260,DCNN,723,1.6,1.4,1.5,98.1,,,,120.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 02:04:00,0.0
2020-01-01 03:00:00,5260,DCNN,723,3.6,3.5,3.6,100.0,,,,100.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 03:04:00,0.0
2020-01-01 04:00:00,5260,DCNN,723,4.2,3.7,4.0,96.6,,,,90.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 04:04:00,0.0
2020-01-01 05:00:00,5260,DCNN,723,4.4,3.1,3.9,91.8,,,,70.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 05:04:00,0.0
2020-01-01 06:00:00,5260,DCNN,723,4.3,2.7,3.7,90.0,,,,110.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 06:04:00,0.0
2020-01-01 07:00:00,5260,DCNN,723,2.7,1.7,2.3,92.9,,,,0.0,0.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 07:04:00,0.0
2020-01-01 08:00:00,5260,DCNN,723,1.9,1.2,1.6,94.4,,,,110.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 08:04:00,0.0
2020-01-01 09:00:00,5260,DCNN,723,2.4,2.2,2.3,98.2,,,,80.0,1.0,,,,,0.1,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 09:04:00,0.0
2020-01-01 10:00:00,5260,DCNN,723,4.4,4.4,4.4,100.0,,,,150.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 10:04:00,0.0
2020-01-01 11:00:00,5260,DCNN,723,5.3,4.4,4.9,93.6,,,,90.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 11:04:00,0.0
2020-01-01 12:00:00,5260,DCNN,723,5.8,4.0,5.0,87.7,,,,150.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 12:04:00,0.0
2020-01-01 13:00:00,5260,DCNN,723,5.9,4.1,5.1,87.7,,,,210.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 13:04:00,0.0
2020-01-01 14:00:00,5260,DCNN,723,6.1,4.4,5.4,89.3,,,,220.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 14:04:00,0.0
2020-01-01 15:00:00,5260,DCNN,723,6.0,4.4,5.3,89.3,,,,200.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 15:03:00,0.0
2020-01-01 16:00:00,5260,DCNN,723,6.0,4.1,5.2,87.8,,,,150.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 16:04:00,0.0
2020-01-01 17:00:00,5260,DCNN,723,5.8,4.4,5.2,90.8,,,,170.0,1.0,,,,,0.1,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 17:04:00,0.0
2020-01-01 18:00:00,5260,DCNN,723,5.8,4.4,5.2,90.8,,,,190.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 18:04:00,0.0
2020-01-01 19:00:00,5260,DCNN,723,6.0,4.8,5.5,92.3,,,,150.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 19:03:00,0.0
2020-01-01 20:00:00,5260,DCNN,723,6.2,4.7,5.5,89.3,,,,170.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 20:02:00,0.0
2020-01-01 21:00:00,5260,DCNN,723,6.1,4.8,5.5,90.8,,,,140.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 21:04:00,0.0
2020-01-01 22:00:00,5260,DCNN,723,6.1,4.9,5.6,92.4,,,,170.0,1.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 22:04:00,0.0
2020-01-01 23:00:00,5260,DCNN,723,6.4,5.4,6.0,93.9,,,,140.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-01 23:03:00,0.0
2020-01-02 00:00:00,5260,DCNN,723,6.8,5.8,6.4,94.1,,,,190.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 00:04:00,0.0
2020-01-02 01:00:00,5260,DCNN,723,6.7,5.8,6.3,94.0,,,,210.0,2.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 01:04:00,0.0
2020-01-02 02:00:00,5260,DCNN,723,6.7,5.8,6.3,94.0,,,,180.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 02:04:00,0.0
2020-01-02 03:00:00,5260,DCNN,723,6.8,5.8,6.4,94.1,,,,180.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 03:04:00,0.0
2020-01-02 04:00:00,5260,DCNN,723,6.9,5.9,6.5,94.1,,,,160.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 04:02:00,0.0
2020-01-02 05:00:00,5260,DCNN,723,6.9,6.0,6.5,94.1,,,,160.0,5.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 05:03:00,0.0
2020-01-02 06:00:00,5260,DCNN,723,7.1,6.0,6.6,92.7,,,,160.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 06:02:00,0.0
2020-01-02 07:00:00,5260,DCNN,723,7.2,6.0,6.7,92.7,,,,190.0,3.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 07:04:00,0.0
2020-01-02 08:00:00,5260,DCNN,723,7.6,6.1,6.9,89.9,,,,190.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 08:04:00,0.0
2020-01-02 09:00:00,5260,DCNN,723,7.9,6.8,7.4,92.9,,,,200.0,5.0,,,,,0.2,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 09:05:00,0.0
2020-01-02 10:00:00,5260,DCNN,723,8.2,7.6,7.9,95.8,,,,200.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 10:04:00,0.0
2020-01-02 11:00:00,5260,DCNN,723,9.1,7.5,8.3,89.2,,,,190.0,4.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 11:04:00,0.0
2020-01-02 12:00:00,5260,DCNN,723,9.7,7.2,8.5,84.2,,,,190.0,5.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 12:04:00,0.0
2020-01-02 13:00:00,5260,DCNN,723,10.3,7.7,9.0,83.3,,,,210.0,7.0,,,,,0.0,,,6,6,6,,,,6,6,,,,,1,,,,,K,A,,,,,,,,2020-01-02 13:04:00,0.0
