ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2020-01-01 00:00:00,03781,WMO,726,3.6,2.1,3.0,89.6,1030.7,1009.4,,140.0,7.0,800.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2019-12-31 23:52:00,0.0
2020-01-01 01:00:00,03781,WMO,726,2.7,1.8,2.4,94.5,1031.0,1009.5,,130.0,3.0,600.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 00:52:00,0.0
2020-01-01 02:00:00,03781,WMO,726,3.0,2.4,2.8,96.4,1030.4,1009.0,,90.0,3.0,420.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 01:51:00,0.0
2020-01-01 03:00:00,03781,WMO,726,3.5,2.8,3.2,94.8,1030.1,1008.7,,120.0,2.0,460.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 02:52:00,0.0
2020-01-01 04:00:00,03781,WMO,726,3.8,2.9,3.4,93.1,1030.0,1008.7,,130.0,4.0,500.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 03:51:00,0.0
2020-01-01 05:00:00,03781,WMO,726,3.8,2.8,3.4,93.1,1030.1,1008.7,,160.0,2.0,500.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 04:51:00,0.0
2020-01-01 06:00:00,03781,WMO,726,4.0,2.8,3.5,91.5,1029.8,1008.4,,160.0,4.0,700.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 05:52:00,0.0
2020-01-01 07:00:00,03781,WMO,726,3.3,2.1,2.8,91.2,1029.9,1008.6,,180.0,2.0,600.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 06:51:00,0.0
2020-01-01 08:00:00,03781,WMO,726,2.9,2.2,2.6,94.6,1030.0,1008.6,,210.0,1.0,600.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 07:51:00,0.0
2020-01-01 09:00:00,03781,WMO,726,3.7,3.1,3.5,96.6,1030.4,1009.0,,180.0,1.0,700.0,,,,0.1,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 08:53:00,0.0
2020-01-01 10:00:00,03781,WMO,726,4.5,3.6,4.1,93.2,1030.4,1009.1,,190.0,1.0,800.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 09:51:00,0.0
2020-01-01 11:00:00,03781,WMO,726,5.0,3.7,4.5,91.9,1030.4,1009.1,,200.0,3.0,700.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 10:51:00,0.0
2020-01-01 12:00:00,03781,WMO,726,4.6,3.7,4.2,93.4,1029.8,1008.5,,210.0,4.0,500.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 11:51:00,0.0
2020-01-01 13:00:00,03781,WMO,726,4.5,3.8,4.2,94.9,1029.4,1008.1,,230.0,4.0,350.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,K,A,,,,,,,,2020-01-01 13:17:00,0.0
2020-01-01 14:00:00,03781,WMO,726,4.5,4.1,4.3,96.7,1028.9,1007.7,,210.0,4.0,240.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 13:51:00,0.0
2020-01-01 15:00:00,03781,WMO,726,4.6,4.3,4.5,98.5,1028.8,1007.6,,220.0,3.0,210.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 14:51:00,0.0
2020-01-01 16:00:00,03781,WMO,726,4.7,4.1,4.4,95.1,1028.6,1007.4,,190.0,1.0,490.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 15:51:00,0.0
2020-01-01 17:00:00,03781,WMO,726,4.7,4.1,4.4,95.1,1029.0,1007.7,,240.0,3.0,500.0,,,,0.1,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 16:51:00,0.0
2020-01-01 18:00:00,03781,WMO,726,4.8,4.2,4.5,95.1,1029.3,1008.0,,220.0,2.0,700.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 17:52:00,0.0
2020-01-01 19:00:00,03781,WMO,726,4.8,4.2,4.5,95.1,1029.2,1008.0,,160.0,2.0,390.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 18:51:00,0.0
2020-01-01 20:00:00,03781,WMO,726,4.8,4.4,4.6,96.7,1028.8,1007.5,,170.0,3.0,350.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 19:51:00,0.0
2020-01-01 21:00:00,03781,WMO,726,5.3,4.6,5.0,95.2,1028.3,1007.1,,180.0,6.0,1000.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 20:53:00,0.0
2020-01-01 22:00:00,03781,WMO,726,5.2,5.0,5.1,98.4,1028.1,1006.9,,180.0,6.0,50.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 21:51:00,0.0
2020-01-01 23:00:00,03781,WMO,726,5.2,5.1,5.2,100.0,1027.8,1006.6,,180.0,5.0,20.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 22:51:00,0.0
2020-01-02 00:00:00,03781,WMO,726,5.1,5.1,5.1,100.0,1027.2,1006.0,,180.0,6.0,20.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-01 23:51:00,0.0
2020-01-02 01:00:00,03781,WMO,726,5.1,5.1,5.1,100.0,1026.5,1005.4,,170.0,3.0,10.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 00:51:00,0.0
2020-01-02 02:00:00,03781,WMO,726,5.2,5.2,5.2,100.0,1026.0,1004.9,,170.0,3.0,40.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 01:51:00,0.0
2020-01-02 03:00:00,03781,WMO,726,5.3,5.3,5.3,100.0,1025.5,1004.4,,170.0,3.0,490.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 02:51:00,0.0
2020-01-02 04:00:00,03781,WMO,726,5.4,5.4,5.4,100.0,1025.0,1003.9,,180.0,5.0,440.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 03:51:00,0.0
2020-01-02 05:00:00,03781,WMO,726,5.8,5.8,5.8,100.0,1024.4,1003.3,,180.0,5.0,340.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 04:51:00,0.0
2020-01-02 06:00:00,03781,WMO,726,5.9,5.9,5.9,100.0,1023.9,1002.9,,190.0,5.0,360.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 05:52:00,0.0
2020-01-02 07:00:00,03781,WMO,726,5.8,5.7,5.8,100.0,1023.4,1002.4,,170.0,5.0,800.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 06:51:00,0.0
2020-01-02 08:00:00,03781,WMO,726,6.1,5.9,6.0,98.4,1023.4,1002.4,,190.0,5.0,1100.0,,,,0.0,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 07:51:00,0.0
2020-01-02 09:00:00,03781,WMO,726,6.5,6.3,6.4,98.6,1023.1,1002.1,,190.0,8.0,600.0,,,,0.1,,,6,6,6,6,6,,6,6,6,,,,1,,,,,K,A,,,,,,,,2020-01-02 08:54:00,0.0
