ob_time,id,id_type,src_id,air_temperature,dewpoint,wetb_temp,rltv_hum,msl_pressure,stn_pres,alt_pres,wind_direction,wind_speed,visibility,q10mnt_mxgst_spd,cs_hr_sun_dur,wmo_hr_sun_dur,drv_hr_sun_dur,snow_depth,ground_state_id,air_temperature_q,dewpoint_q,wetb_temp_q,msl_pressure_q,stn_pres_q,alt_pres_q,wind_direction_q,wind_speed_q,visibility_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,drv_hr_sun_dur_q,snow_depth_q,ground_state_id_q,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,msl_pressure_j,stn_pres_j,alt_pres_j,wind_direction_j,wind_speed_j,visibility_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime
2023-01-01 00:00:00,03672,WMO,709,11.9,8.7,10.3,80.7,1003.0,999.1,,220.0,10.0,2600.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 00:06:06,
2023-01-01 01:00:00,03672,WMO,709,11.7,7.9,9.8,77.4,1003.6,999.6,,230.0,12.0,4000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 01:04:06,
2023-01-01 02:00:00,03672,WMO,709,11.4,6.8,9.2,73.3,1004.7,1000.7,,240.0,15.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 02:04:11,
2023-01-01 03:00:00,03672,WMO,709,10.9,6.3,8.7,73.1,1005.5,1001.5,,230.0,11.0,3000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 03:04:07,
2023-01-01 04:00:00,03672,WMO,709,10.3,6.3,8.4,76.0,1005.9,1001.9,,230.0,10.0,2600.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 04:04:11,
2023-01-01 05:00:00,03672,WMO,709,10.1,6.0,8.2,75.9,1006.7,1002.7,,220.0,9.0,2700.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 05:04:05,
2023-01-01 06:00:00,03672,WMO,709,10.4,6.9,8.7,78.7,1007.1,1003.1,,220.0,10.0,2300.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 06:05:10,
2023-01-01 07:00:00,03672,WMO,709,10.4,6.5,8.6,76.7,1008.0,1004.0,,230.0,11.0,2200.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 07:02:11,
2023-01-01 08:00:00,03672,WMO,709,10.2,6.7,8.5,79.1,1008.6,1004.6,,220.0,10.0,2000.0,,,,,,,6,6,6,6,6,,6,6,6,,,,,,,,,,,,,,,,,,2023-01-01 08:03:12,
2023-01-01 09:00:00,03672,WMO,709,9.8,7.5,8.7,85.5,1009.2,1005.2,,240.0,10.0,1900.0,,,,,,02,6,6,6,6,6,,6,6,6,,,,,,6,,,,,,,,,,,,2023-01-01 09:06:11,
