id,id_type,src_id,met_day,VPD_mean,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode
5260.0,DCNN,723.0,2016-01-01,92.308,4.579166666666667,8.5,-0.2,2.920833333333333,6.3,-0.6,3.85,7.3,-0.4,89.10000000000001,98.3,77.0,,,,5.208333333333333,11.0,,,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,,,,,,,,113.9056329019432,
5260.0,DCNN,723.0,2016-01-02,96.674,9.779166666666667,10.6,8.2,8.533333333333333,10.1,6.8,9.174999999999999,10.3,7.5,92.00833333333333,96.1,85.7,,,,7.625,11.0,,,19.0,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,,6.0,,,,,,147.38876837639015,
5260.0,DCNN,723.0,2016-01-03,93.281,7.0,10.1,3.4,5.575,8.7,2.2,6.358333333333333,9.4,3.3,90.6875,98.3,78.3,,,,5.166666666666667,11.0,,,23.0,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,,6.0,,,1.0,,,186.47814461204953,
5260.0,DCNN,723.0,2016-01-04,85.481,7.079166666666667,10.6,4.0,5.745833333333334,7.3,3.8,6.4624999999999995,8.8,3.9,91.5125,98.5,77.3,,,,3.9583333333333335,7.0,,,,0.0,0.0,2.9,,6.0,6.0,6.0,,,,6.0,6.0,,,,,1.0,,,178.54496262486998,
5260.0,DCNN,723.0,2016-01-05,59.047,6.7124999999999995,9.7,3.2,5.804166666666667,8.8,2.9,6.291666666666667,9.0,3.1,93.9875,98.6,81.6,,,,2.0,6.0,,,,0.0,0.0,1.4000000000000001,,6.0,6.0,6.0,,,,6.0,6.0,,,,,1.0,,,158.92228301473764,
5260.0,DCNN,723.0,2016-01-06,28.329,5.925,7.5,4.1,5.45,6.6,3.6,5.7250000000000005,6.9,3.9,96.95416666666667,98.5,91.2,,,,1.75,4.0,,,,0.0,0.0,0.30000000000000004,,6.0,6.0,6.0,,,,6.0,6.0,,,,,1.0,,,154.63280583688493,
5260.0,DCNN,723.0,2016-01-07,184.054,7.145833333333333,9.8,3.0,4.1125,9.1,-0.1,5.908333333333334,9.3,1.9,81.80833333333334,97.3,62.8,,,,7.5,15.0,,,32.0,0.0,0.0,1.2,,6.0,6.0,6.0,,,,6.0,6.0,,6.0,,,1.0,,,217.8345332182708,
5260.0,DCNN,723.0,2016-01-08,79.402,4.404166666666667,9.4,-1.0,2.966666666666667,6.4,-1.5,3.7916666666666665,7.4,-1.2,90.50833333333333,98.1,72.5,,,,2.9583333333333335,6.0,,,,0.0,0.0,1.2,,6.0,6.0,6.0,,,,6.0,6.0,,,,,1.0,,,193.75699799921225,
5260.0,DCNN,723.0,2016-01-09,137.295,8.487499999999999,11.1,5.7,6.516666666666667,8.1,4.7,7.5625,9.2,5.5,87.61666666666667,97.1,76.6,,,,6.541666666666667,13.0,,,27.0,0.0,0.0,0.30000000000000004,,6.0,6.0,6.0,,,,6.0,6.0,,6.0,,,1.0,,,175.92430261397206,
5260.0,DCNN,723.0,2016-01-10,157.811,5.904166666666666,8.8,3.9,3.225,4.7,2.4,4.7749999999999995,6.6,3.4,83.00833333333334,93.3,70.5,,,,4.958333333333333,9.0,,,20.0,0.0,0.0,1.8,,6.0,6.0,6.0,,,,6.0,6.0,,6.0,,,1.0,,,195.84069246901143,
